	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Ba'y on palkondywit.	Accompagne-la.	Laisse-moi faire un tour de vélo !	49	909	False	0.41510773
1	Ba'y on palkondywit.	Accompagne-le.	Je bois avec une paille.	954	746	False	0.7215154
2	Ba yo on palkondywit.	Accompagne-les.	Viens faire un bisou à papa !	874	402	False	0.65910435
3	A dèmen !	À demain !	Il a quinze ans.	417	606	False	0.4511162
4	Rédé mwen.	Aide-moi.	Au revoir !	162	714	False	0.26906252
5	Rédé mwen !	Aidez-moi !	Voici Gladys.	48	883	False	0.5721618
6	Rédé mwen.	Aidez-moi.	Merci de m'avoir invité.	100	782	False	0.36605334
7	An nou akaz a'y !	Allons chez elle !	Je mange un citron.	39	671	False	0.28305387
8	An nou akaz a'y !	Allons chez lui !	Mes animaux n'ont rien à manger.	710	902	False	0.48609376
9	An nou akaz a'w !	Allons chez toi !	Le ciel sera chargé.	743	451	False	0.2513051
10	Limé bouji-la.	Allume la bougie.	Sont-ils d'ici ?	318	957	False	0.31950033
11	Limé limyè-la.	Allume la lumière.	Viens faire un bisou à papa !	136	402	False	0.48447967
12	Limé bouji-la.	Allumez la bougie.	Nous fermons à 19 heures.	66	640	False	0.5152571
13	Alò, ka ou fè ?	Alors, comment vas-tu ?	Le ciel sera chargé.	431	451	False	0.37500668
14	Aoyi ka dansé.	Aoi danse.	Nous fermons à 19 heures.	918	640	False	0.5528431
15	Bay waka !	Applaudissez !	Je bois avec une paille.	822	746	False	0.5103414
16	Apwé manjé-la, an toujou ka manjé on fwi.	Après le repas, je mange toujours un fruit.	Viens faire un bisou à papa !	561	402	False	0.6511409
17	Ou ni dé liv ?	As-tu deux livres ?	Mes animaux n'ont rien à manger.	102	902	False	0.51562047
18	Ou ni bon vlen ?	As-tu du bon venin ?	Il fera nuageux.	85	901	False	0.5581162
19	Ou pèd lajan'w ?	As-tu perdu ton argent ?	Je mangerai un citron.	261	974	False	0.07544756
20	Ès ou ja fè manjé la ?	As-tu préparé le repas ?	Je bois avec une paille.	187	746	False	0.61527514
21	A talè !	À tout à l'heure !	J'aime manger.	589	984	False	0.34458113
22	Ovwa !	Au revoir !	Ce n'est pas Tom ?	714	938	False	0.5642432
23	Avan an té enmé'w.	Autrefois je t'aimais.	Laisse-moi faire un tour de vélo !	359	909	False	0.370404
24	Avan mwen té enmé'w.	Autrefois je t'aimais.	Ils mangent.	198	963	False	0.4519155
25	Ès ni ou tab pou senk moun ?	Avez-vous une table pour cinq ?	Il a quinze ans.	641	606	False	0.36785913
