	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Mannen snakket med lav stemme.	The man spoke in a low voice.	Nice to meet you, Mrs Jones.	891	897	False	0.55815506
1	Han er uten tvil mye flinkere enn deg.	He is, without doubt, much better than you.	It's a lot easier than I thought.	182	52	False	0.45975447
2	Han småsov hele tiden.	He dozed all the while.	He dozed all the while.	853	853	True	0.3849312
3	Noen spiller piano.	Somebody is playing the piano.	Hi.	312	209	False	0.2704749
4	De krysset atlanterhavet.	They crossed the Atlantic Ocean.	There are islands in the sea.	804	181	False	0.44309545
5	Faen! Jeg har punktert!	Shit! I've got a flat.	Shit! I've got a flat.	650	650	True	0.46665823
6	Det er dyrt å bo i Japan.	It is expensive to live in Japan.	It is expensive to live in Japan.	546	546	True	0.40450072
7	Jeg respekterer uselviskheten hans.	I respect his selflessness.	He knows my wife.	578	410	False	0.48641706
8	Duer og høner er fugler.	Pigeons and hens are birds.	I want the biggest cake.	119	940	False	0.57484853
9	Ikke gå dit alene.	Don't go there alone.	Everyone is ready.	609	774	False	0.5392438
10	Han er min bror.	He's my brother.	He has a Japanese car.	115	290	False	0.41674638
11	Tom trodde han hadde en sjangse til å overleve.	Tom thought he had a chance to survive.	Tom thought he had a chance to survive.	939	939	True	0.4546075
12	Alle fortjener en ny sjanse.	Everyone deserves a second chance.	John lives in New York.	976	902	False	0.44545758
13	Vi må gjøre dette ferdig før vi kan gå hjem.	We've got to finish this before we can go home.	We've already told Tom what he needs to do.	725	670	False	0.5214567
14	Hastverk er lastverk.	More haste, less speed.	John lives in New York.	6	902	False	0.39160633
15	Har noen her noensinne sett nattehimmelen en mørk natt borte fra lysforurensning?	Has anyone here ever seen the night sky on a dark night, away from light pollution?	Has anyone here ever seen the night sky on a dark night, away from light pollution?	403	403	True	0.30625212
16	La barna gå av bussen først!	Let the kids off the bus first!	This is suicide!	57	419	False	0.4950993
17	Hun fikk ikke betalt for det.	She didn't get paid for it.	He pays with a credit card.	549	361	False	0.47848785
18	Har du vært i Kyushu?	Have you ever been to Kyushu?	How long will you remain in New York?	898	971	False	0.42481947
19	Du har en sønn, ikke sant?	You have a son, don't you?	I cannot answer your question.	1	426	False	0.6147232
20	Hender dette nokon gong med deg?	Does that ever happen to you?	Would you mind my moving your car?	357	364	False	0.5608332
21	Jeg må gå snart.	I've got to leave soon.	He cried.	349	606	False	0.5831809
22	Hvor mye måtte du betale for å få bilen din reparert?	How much did you have to pay to get your truck fixed?	How long does it take to get to the stadium?	285	151	False	0.34797287
23	Jeg vil heller ikke være her.	I don't want to be here either.	I don't want to be here either.	341	341	True	0.45377898
24	Eg er klar om ti minuttar.	I'll be ready in ten minutes.	John lives in New York.	567	902	False	0.49346876
25	Gå vekk!	Go away!	I drank.	722	520	False	0.47526574
26	Spis middagen din nå.	Now eat your supper.	Your tie has come undone.	55	86	False	0.56248593
27	Lille Trille satt på hylle; Lille Trille ramlet ned. Ingen mann i dette land Lille Trille bøte kan.	Humpty Dumpty sat on a wall; Humpty Dumpty had a great fall. All the King's horses and all the King's men couldn't put Humpty Dumpty together again.	Humpty Dumpty sat on a wall; Humpty Dumpty had a great fall. All the King's horses and all the King's men couldn't put Humpty Dumpty together again.	492	492	True	0.47219384
28	Jeg vil ikke se det igjen.	I don't want to see that again.	I've got to leave soon.	278	349	False	0.39513445
29	John skyndte seg ut.	John left home in a hurry.	Your nose was bleeding.	996	246	False	0.5628325
30	Hva skal du gjøre i sommerferien?	What're you going to do during your summer vacation?	What're you going to do during your summer vacation?	227	227	True	0.3633654
31	Broren min bruker denne sykkelen.	My brother uses this bike.	My brother uses this bike.	532	532	True	0.56566954
32	Jeg går.	I'll go.	Show me.	353	613	False	0.29721332
33	Jeg har ikke særlig høye tanker om ham som musiker.	I don't think much of him as a musician.	I don't think much of him as a musician.	704	704	True	0.42966938
34	Jeg har vært under en del press den siste tiden.	I have been under a lot of pressure lately.	I have been under a lot of pressure lately.	481	481	True	0.38425148
35	På atomnivå ser vi kvantemekaniske effekter som ikke kan forklares med klassisk mekanikk.	At the atomic scale we observe quantum mechanical effects that can not be explained by classical mechanics.	At the atomic scale we observe quantum mechanical effects that can not be explained by classical mechanics.	465	465	True	0.30777407
36	Du er så hvit som et laken.	You are as white as a sheet.	There were hundreds of ticks in its fur.	894	131	False	0.4805689
37	Det er ikke noe svar på spørsmålet ditt.	Your question has no answer.	Your question has no answer.	484	484	True	0.6405916
38	Tom sa at han håpet Mary ville komme til festen hans.	Tom said he hoped that Mary would come to his party.	Tom said he hoped that Mary would come to his party.	564	564	True	0.22592866
39	Jeg snakker ikke japansk.	I don't speak Japanese.	Nice to meet you, Mrs Jones.	409	897	False	0.3276508
40	Det er ingenting som iskrem om sommeren.	There is nothing like ice cream in the summer.	Were you with my father today?	646	668	False	0.38325
41	Jeg vil elske deg for alltid!	I wanna love you forever!	This is someone I want you to meet.	659	623	False	0.4230044
42	Dette blir som å spørre en forelder om hvilket barn de liker best.	This question is like asking a parent which child they love more.	This question is like asking a parent which child they love more.	519	519	True	0.4296775
43	Han Tom er sjuk.	Tom's sick.	John lives in New York.	270	902	False	0.27462912
44	Ikke skyt!	Don't shoot.	Really?	588	85	False	0.40298247
45	Jeg hater vinter.	I hate winter.	I hate winter.	238	238	True	0.39589214
46	Huset brant ned før brannbilen kom.	The house burned to the ground before the fire truck arrived.	All the workers went home save one.	841	500	False	0.5717244
47	Faren fortalte oss en veldig interessant historie.	Father told us a very interesting story.	Your tie has come undone.	981	86	False	0.61477494
48	Jeg ser du er klar.	I see you are ready.	John lives in New York.	689	902	False	0.3793056
49	Det tror jeg ikke.	I don't believe it.	That's enough.	801	432	False	0.43088818
50	Ho har ein katt. Katten er kvit.	She has a cat. The cat is white.	No doctor can explain that.	479	488	False	0.58556485
51	Jeg var redd jeg skulle komme for sent.	I was afraid I might be late in coming.	I was afraid I might be late in coming.	922	922	True	0.2869166
52	Tom er ikke vant til å kjøre på venstre siden av veien.	Tom isn't used to driving on the left side of the road.	Tom isn't used to driving on the left side of the road.	642	642	True	0.36300766
53	Det er viktig å prøve å komme overens med folk fra andre land.	It is important to try to get along with people from foreign countries.	It is bad manners to point at people.	11	77	False	0.55249
54	Du burde ringe politiet.	You should call the police.	He dozed all the while.	719	853	False	0.4885323
55	Jeg vil ha den største kaken.	I want the biggest cake.	I want the biggest cake.	940	940	True	0.48829174
56	Hvorfor gikk du dit da?	Why did you go there?	Why did you go there?	98	98	True	0.33720613
57	Vi får se.	We'll see.	Go on foot.	717	756	False	0.5411004
58	Jeg har mistet interessen for golf.	I've lost interest in golf.	Would you mind my moving your car?	498	364	False	0.44552398
59	Jeg studerer engelsk.	I'm studying English.	I went to Sweden.	190	79	False	0.45118046
60	Dette er et forferdelig klima.	This is a terrible climate.	This is a terrible climate.	298	298	True	0.4112618
61	Husker du hva Cathy gikk med på festen?	Do you remember what Cathy was wearing at the party?	Do you remember what Cathy was wearing at the party?	43	43	True	0.3298204
62	Tom ble nesten oppsagt.	Tom almost got fired.	Tom almost got fired.	35	35	True	0.38131213
63	Det regnet uten stans hele dagen.	It rained continuously all day.	He had breakfast all alone.	709	191	False	0.6594615
64	Ditt arbeid er langt fra tilfredsstillende.	Your work is far from being satisfactory.	It seems rather expensive to me.	980	329	False	0.47471392
65	Tom pustar ikkje meir.	Tom's not breathing.	Tom died in jail.	472	700	False	0.650625
66	Nei, dette er min sønns DVD.	No, this is my son's DVD.	The man reading a paper over there is my uncle.	163	503	False	0.45786238
67	Jeg var dårlig i engelsk.	I was poor at English.	I'm fed up with homework.	577	439	False	0.41039205
68	Tom er en venn av en venn av meg.	Tom is a friend of a friend of mine.	Tom is clumsy with words.	433	176	False	0.4420774
69	Hva er forskjellen?	What is the difference?	What is the difference?	628	628	True	0.5331094
70	Jeg skal skaffe Tom sin hjemmeadresse.	I'll get Tom's home address.	My brother uses this bike.	157	532	False	0.46017623
71	Denne statuen er laget av marmor.	This statue is made of marble.	This statue is made of marble.	415	415	True	0.4303038
72	Du bør ikke prate med munnen full ved bordet.	You shouldn't speak with your mouth full at table.	You needn't suffer in silence.	558	80	False	0.4015807
73	Jeg er gammel nok til å bo alene.	I'm old enough to live by myself.	I'm old enough to live by myself.	569	569	True	0.4877361
74	Den nærmeste bensinstasjon er bare hundre kilometer mot nord.	The nearest gas station is only one hundred kilometers to the north.	The nearest gas station is only one hundred kilometers to the north.	634	634	True	0.36301684
75	Jeg skjønner ikke sammenhengen.	I don't get the connection.	Those extreme positions are not compatible.	562	464	False	0.57529306
76	Jeg er ikke god på latin.	I'm not good at Latin.	Were you with my father today?	929	668	False	0.32655334
77	Hun kalte meg mange forferdelig ting.	She called me many terrible things.	He dozed all the while.	114	853	False	0.6602249
78	Den lille jenta snublet opp trappa.	The little girl stumbled up the stairs.	The little girl stumbled up the stairs.	453	453	True	0.46599472
79	Eg prøver å lære engelsk.	I'm trying to learn English.	I went to Norway.	69	910	False	0.58790565
80	Jim så seg til høyre og venstre før han gikk over veien.	Jim looked right and left before he crossed the road.	Tom fell down the stairs and hit his head.	913	417	False	0.4170239
81	Har du nøkkelene til dette rommet?	Do you have the key to this room?	Do you have a vacancy?	365	73	False	0.5949006
82	Kan jeg hjelpe deg?	May I help you?	May I come in?	505	336	False	0.48509538
83	Hun har bestemt seg for å bo i USA for godt.	She has decided to live in the United States for good.	The doctor said that Tom has to stay in bed for the next few weeks.	108	60	False	0.50812745
84	Fargeløse grønne ideer sover rasende.	Colorless green ideas sleep furiously.	Colorless green ideas sleep furiously.	583	583	True	0.73260796
85	Du trenger ikke å bruke ordbok når du leser denne boken.	You don't have to use a dictionary when you read this book.	You don't have to use a dictionary when you read this book.	277	277	True	0.37321556
86	Kan du spise rå østers?	Can you eat raw oysters?	Can you eat raw oysters?	446	446	True	0.44036937
87	Tom er veldig stille.	Tom is really quiet.	Tom arrived three minutes early.	516	870	False	0.52732325
88	Jeg kommer til å måtte fortelle ham det.	I'm going to have to tell him.	I'm going to have to tell him.	537	537	True	0.36330926
89	Godt nytt år!	Happy New Year!	Happy New Year!	563	563	True	0.17436528
90	Tom så ikke trøtt ut, spør du meg.	Tom didn't look tired if you ask me.	I want the biggest cake.	907	940	False	0.64634037
91	Gjør det noe om jeg flytter bilen din?	Would you mind my moving your car?	Would you mind my moving your car?	364	364	True	0.47431588
92	Hvordan kan det være?	How can that be?	Where is Mississippi?	497	786	False	0.44636178
93	Tom såg ikkje trøytt ut, spør du meg.	Tom didn't look tired if you ask me.	I want the biggest cake.	889	940	False	0.7978933
94	Han uttrykte alltid sine egne antagelser som om de var uimotsigelige fakta.	He would always project his own suppositions as undeniable facts.	He would always project his own suppositions as undeniable facts.	621	621	True	0.60236645
95	Beklager at jeg er sen.	Sorry I'm late.	John lives in New York.	301	902	False	0.4485072
96	Tom puster ikke mer.	Tom's not breathing.	Tom missed the target.	254	408	False	0.5191283
97	Jeg mente det ikke.	I didn't mean it.	I never expected this.	957	76	False	0.40171134
98	Ved nødutgangen finner man hårete monstre som lusker.	Hairy monsters can be found lurking near the emergency exit.	Hairy monsters can be found lurking near the emergency exit.	582	582	True	0.58300734
99	Hun tar alt for gitt.	She takes everything for granted.	Father came home about ten minutes ago.	857	229	False	0.32233644
100	Du bør dobbelt-sjekke det.	You should double-check that.	Father came home about ten minutes ago.	413	229	False	0.30028248
101	Tom er ikke konservativ.	Tom isn't conservative.	Tom is really quiet.	478	516	False	0.3422525
102	Jeg har rødt hår.	I'm a redhead.	Your tie has come undone.	133	86	False	0.46199918
103	Det finnes ingen dumme spørsmål.	There are no stupid questions.	It was a false alarm.	47	608	False	0.4393338
104	Kva skreiv eg no?	What have I just written?	Were you with my father today?	701	668	False	0.2110734
105	Hyggelig å treffe deg, fru Jones.	Nice to meet you, Mrs Jones.	You're a kind man.	897	584	False	0.40934694
106	Jeg har aldri vært i Paris.	I've never been to Paris.	I went to Sweden.	789	79	False	0.5213579
107	Han har en japansk bil.	He has a Japanese car.	Your tie has come undone.	290	86	False	0.47482777
108	Du er ikke klar ennå, er du?	You're not ready yet, are you?	I have hardly any English books.	842	790	False	0.71233606
109	Du tek han snart igjen viss du lauper.	You will soon come up with him if you run.	In case it rains, I won't go.	833	216	False	0.429379
110	Jeg kjøpte blomster fordi jeg skal besøke min bestemor i ettermiddag.	I bought flowers because I am going to visit my grandmother this afternoon.	I bought flowers because I am going to visit my grandmother this afternoon.	820	820	True	0.35833883
111	Elsk meg i morgen!	Love me tomorrow!	This is suicide!	0	419	False	0.4049611
112	Gjør vel imot dem som hater eder.	Do good to those who hate you.	Do good to those who hate you.	356	356	True	0.5097618
113	Mannen som leser avisen der borte er min onkel.	The man reading a paper over there is my uncle.	The man reading a paper over there is my uncle.	503	503	True	0.4151888
114	Jeg tror det er en mulighet.	I think it's a possibility.	I think it's a possibility.	386	386	True	0.40782166
115	Tom er realistisk.	Tom is realistic.	Were you with my father today?	985	668	False	0.23261046
116	Hun hjalp ikke sin mor.	She wasn't helping her mother.	I want the biggest cake.	858	940	False	0.53399193
117	Det var falsk alarm.	It was a false alarm.	Japan and South Korea are neighbors.	608	194	False	0.49183
118	Er ikke du Mary sin ektemann?	Aren't you Mary's husband?	Run over any obstacle with this monster truck!	738	23	False	0.24865186
119	Prøv å ikke grine.	Try to keep from crying.	Don't believe the media.	350	911	False	0.40571547
120	La meg hjelpe deg.	Let me help you.	He never lies.	469	852	False	0.563028
121	John bor i New York.	John lives in New York.	I went to Sweden.	902	79	False	0.43229198
