	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Na tapande, abungbi ti vorongo mingi amaï tënë ti mango na bê na mbeni ye so ayeke na ngangu mingi.	The result is the enormous diversity of religious views found worldwide.	Sylvie,* who has been serving at Bethel in France for years, commented that sisters can have a share in commending brothers.	79	458	False	0.45220637
1	Me, e yeke na yâ ti mbeni dunia so ayeke pusu e ti sara ye so ayeke na lege ni ape.	After all, we live in a morally depraved world that pressures us to accept its corrupt standards.	Name some of God’s gifts that we can enjoy while awaiting future blessings.	6	207	False	0.50528765
2	So ti tene a lingbi e gi pepe ti hinga gi akozo gere ti afango ye ti Bible wala ti wara gi hingango ye so ayeke polele pepe wala so ayeke gi kete na ndo tâ tene.	This means that we must not be content with knowing just the basic teachings of the Bible or having just hazy or partial knowledge of the truth.	11. How has Satan used persecution to try to silence Christians? 11 A third tactic that the Devil uses in an attempt to silence us is opposition or persecution.	318	98	False	0.7012099
3	Teti so lo nzere na lê ti Nzapa, zo so tënë ayeke na li ti lo pëpe ayeke na beku ti wara fini ti lakue lakue.	Having God’s approval, the blameless one is in line for life.	What was the Festival of Weeks?	707	63	False	0.4028144
4	Ndani la, ala bâ na nene ni pëpe tënë so lo yeke fa nga ala sara ye pëpe alingbi na gbotongo mê so lo yeke mû.	So they did not take his preaching seriously and act on his warning message.	And in a sense, doing so is unscriptural.	481	33	False	0.3891883
5	Ti sala na Jéhovah na bê kue akpengba nga mariage ti e.	Serving Jehovah wholeheartedly has also strengthened our marriage.	Sylvie,* who has been serving at Bethel in France for years, commented that sisters can have a share in commending brothers.	892	458	False	0.52662134
6	Ti hinga ambeni tënë na ndo ni, bâ chapitre 17 ti buku, Bible afa nyen biani?, so aTémoin ti Jéhovah asigigi na ni	For more information, see chapter 17 of this book, What Does the Bible Really Teach?, published by Jehovah’s Witnesses	People need to know that the ransom is the means by which Jehovah lovingly offers all mankind the prospect of everlasting life.	803	123	False	0.79834414
7	E hinga tongana nyen so Nzapa ayeke mû maboko na e ti ngbâ lakue be-ta-zo?	How do we know that God will help us to remain faithful?	(Luke 7:11-15) This miracle certainly bolsters our conviction that the resurrection hope is sure.	57	913	False	0.40666687
8	Tongana ti so tapande so afa, tongana mbeni mariage atingbi na ngoi ti ngangu, fani mingi, ti kangbi mariage ayeke pepe nzoni lege ti leke kpale ni.	As this experience illustrates, when a marriage encounters rough weather, abandoning ship is rarely the answer.	What is the conscience, and how can it help you before you act?	467	597	False	0.3798728
9	So aye ti tene so azo so Nzapa mveni acréé ala ayeke ngbâ gi lakue lakue na yâ ti siokpari tongaso?	Does that mean that God’s human creation was permanently ruined?	11. How has Satan used persecution to try to silence Christians? 11 A third tactic that the Devil uses in an attempt to silence us is opposition or persecution.	855	98	False	0.60118043
10	“Ala ngbâ ti dë bê ti mba nga ti kpengba mba.”​—1 ATHES.	“Keep comforting one another and building one another up.”​—1 THESS.	No doubt this habit strengthened Daniel in a life course of exceptional integrity to God.	8	985	False	0.8041725
11	Elie ahinga so Elisée ahunda mbeni ye so a yeke gi na Nzapa ti mû ni, me pëpe na lo.	So Elijah modestly replied: “You have asked a difficult thing.	Despite their father’s rebellious attitude toward Moses and Aaron, they remained loyal to Jehovah and his representatives.	791	134	False	0.4433931
12	13:4). Ye oko, na ngoi so mbeni zo ade maseka, nzara ti bungbingo koli na wali ayeke sara ngangu mingi na ndo ti lo na asara si li ti lo alingbi ti gue kirikiri; na ngoi ni so, a lingbi ti duti ngangu na lo ti bata tere ti lo.	(Heb. 13:4) However, during “the bloom of youth”​—the period when sexual feelings become strong and can distort one’s judgment—​it can be a struggle to remain chaste.	There is no darkness or deep shadow where wrongdoers can conceal themselves.”	125	115	False	0.52481556
13	Tongana e sambela tongaso alingbi ti pusu e ti hunda na Jéhovah ti mû maboko na e ti tene e sara pëpe mbeni tënë wala mbeni ye so alingbi ti ga na zonga na ndo ti iri ti lo so ayeke nzoni-kue.	Your making such a request may move you to ask Jehovah to help you to avoid doing or saying anything that would dishonor his holy name.	“All things, therefore, that you want men to do to you, you also must likewise do to them.”​—Matthew 7:12.	302	638	False	0.5838839
14	Na pekoni, bâ aye so asi na ala.* (1 aCor.	Consider these five ways: 1. Seek God’s help through prayer.	“I knew the basics of my parents’ language, but the language spoken at the meetings was over my head,” recalls Kristina.	828	286	False	0.60980105
15	Azendo ti zo wa mo lingbi zia bê dä?	Whose Promises Can You Trust?	Beer-sheba	561	10	False	0.7215979
16	Ndia ni amû nga maboko na ala ti hinga so ala yeke lani na bezoin ti ngere so a futa ti zi na azo, so ti tene mbeni sacrifice so ayeke nzoni-kue so ayeke zi asiokpari ti ala biani biani (aGal. 3:19; aHéb.	It also impressed on them the need for a ransom, a perfect sacrifice that would fully cover sin.	I wanted to sanctify Jehovah’s name, and I wanted my son to see his father again in Paradise.”​—Prov. 27:11.	650	409	False	0.19774354
17	Yekia wali ti mo na atene ti gonda	Honor your wife with words of appreciation	Is It for Christians?	499	973	False	0.5740843
18	Mbeni mbeti so a kangbi ni mingi tongana ti Bible ayeke dä pëpe.	No book enjoys such a wide circulation as does the Bible.	Later James and John learn how wrong and unkind they have been, and they change.	188	749	False	0.71564066
19	Fade lo yeke mbô ngu ti lê kue na lê ti ala, kuâ ayeke duti ande dä mbeni pëpe; mua, wala toto, wala pasi ayeke duti dä mbeni pëpe.	And he will wipe out every tear from their eyes, and death will be no more, neither will mourning nor outcry nor pain be anymore.	Was God’s confidence in Daniel misplaced?	48	442	False	0.48931074
20	Na popo ti aye so ahunda na akoli nga na awali ti ala, a yeke wara atene so bazengele Paul atene: “Zia awali amä yanga ti akoli ti ala legeoko tongana ala mä Seigneur. . . .	Among the obligations of husbands and wives are these cited by the apostle Paul: “Let wives be in subjection to their husbands as to the Lord . . .	(John 3:36) You can choose life by learning about God, his Son, and His will from the pages of the Bible and by applying what you learn.	100	54	False	0.742491
21	Paul akiri tënë, a tene: “Biani, e so e yeke na yâ ti tente so, e yeke dema, na ye ahon ndo ti e awe; teti e ye pëpe ti zi da ni so na tere ti e, me ti yü mbeni da ni so, si fini amene ye so ayeke kui kuingo.” (2 aCor. 5:4). A-Chrétien so a soro ala ti gue na yayu aye ti kui ape.	Paul was inspired to answer this way: “In fact, we who are in this tent groan, being weighed down, because we do not want to put this one off, but we want to put the other on, so that what is mortal may be swallowed up by life.” (2 Cor. 5:4) They have not lost interest in this life, wanting it to end quickly.	Is It for Christians?	397	973	False	0.6389742
22	Tongaso, Zabolo ayeke dä biani, na lo yeke pëpe sioni so ayeke na yâ ti bê ti zo.	(Matthew 4:1-4) So the Devil is not imaginary, nor is he just a symbol of evil.	Is It for Christians?	710	973	False	0.5802288
23	Tongana lo gue pëpe na mbeni gbata ti batango zo so Jéhovah azia ni nde, fami ti zo so lo fâ lo so ti koli alingbi ti fâ lo.	If he did not seek refuge in one of the cities Jehovah had set aside, the closest relative of the person he had killed was free to put him to death.	11. How has Satan used persecution to try to silence Christians? 11 A third tactic that the Devil uses in an attempt to silence us is opposition or persecution.	668	98	False	0.6098256
24	[Foto na lembeti 9]	[Picture on page 9]	What shows that the holy spirit is a force for cleanness among God’s people, and how can you show that you are cooperating with the spirit?	492	784	False	0.43341517
25	A fa mungo mbage ti ala na kua ni so na yâ ti vision so bazengele Jean abâ ni lani, so lo tene: “Mbi bâ mbeni ange nde so ayeke huru kâ na lê ti nduzu, lo yeke na mbeni nzoni tene ti lakue lakue ti fa ni tongana nzoni sango na azo so asara kodoro na sese, na amara kue, akete mara kue, azo ti ayanga ti kodoro kue nga na azo ti kodoro kue.”	(Matthew 24:14) Their involvement in this work was revealed in a vision to the apostle John, who wrote: “I saw another angel flying in midheaven, and he had everlasting good news to declare to those who dwell on the earth, to every nation and tribe and tongue and people.”	PREACHERS in Christendom who teach the fear of God frequently do so on the basis of the unscriptural teaching that God punishes sinners eternally in hellfire. Such a doctrine is contrary to what the Bible teaches about Jehovah as a God of love and justice.	157	456	False	0.57691
