	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Long tingting bilong ol, i olsem dispela raskol i dai pinis.*	That condemned criminal is as good as dead.*	A·gaʹpe, however, is not without feeling but can be warm and intense.​—1 Peter 1:22.	555	563	False	0.66662574
1	Tasol gutpela samting olsem ren i pundaun taim ol i kamapim Baibel New World Translation long tokples Tsonga.”	However, the rains came down with the release of the New World Translation in Tsonga.”	(Titus 1:6) He must care for his family in the godly manner Scripturally required of Christian overseers.​—1 Timothy 3:1-7.	766	45	False	0.72955453
2	Taim yumi mekim olsem, dispela i soim olsem yumi onarim ol na laikim ol.	That would be part of showing them honor and love.	(Titus 1:6) He must care for his family in the godly manner Scripturally required of Christian overseers.​—1 Timothy 3:1-7.	840	45	False	0.846269
3	Na long strong bilong yu yet yu stiaim wokabaut bilong mipela na bai yu bringim mipela i go long gutpela ples yu makim bilong yu yet i ken i stap long en. . . .	And in the abundance of your superiority you can throw down those who rise up against you; you send out your burning anger, it eats them up like stubble. . . .	“God is faithful,” promises Paul, “and he will not let you be tempted beyond what you can bear, but . . . he will also make the way out in order for you to be able to endure it.” (1 Corinthians 10:13) Soon now, Jehovah God will destroy this wicked system of things and all its base temptations, desires, and cravings.	113	591	False	0.80666566
4	4 Sapos yu wokim wanpela bung olsem, na yu bosim dispela bung, maski yu singautim tasol sampela wanbilip i kam long wanpela kaikai na stori wantaim ol, yu mas tingim gut ol samting yu laik mekim.	4 If you are arranging such a gathering and are responsible for it, you should think through what is planned, even if you are inviting just a few believers for a meal and friendly conversation.	Back in Shunem, Elisha alone enters the room he knows so well and sees the lifeless body “upon his couch.”	104	805	False	0.73589325
5	Kirap long 1945 na i kam inap long nau, ol woa i stap long ol wan wan hap, tasol planti man i dai wankain olsem long ol bikpela woa.	Since 1945, wars have been more localized but just as brutal.	Back in Shunem, Elisha alone enters the room he knows so well and sees the lifeless body “upon his couch.”	491	805	False	0.78452384
6	12 Ating tok profet bilong Maika 1:​3, 4 i kirapim yu long tingim narapela tok profet i stori long ol samting nogut bai kamap long graun.	12 The prophetic words of Micah 1:3, 4 may remind you of another inspired prophecy foretelling disastrous events on earth.	The circumstances mentioned in this psalm may relate to the stressful time of David’s life when his son Absalom was trying to usurp the throne.​—2 Sam. 15:6, 13, 14.	776	509	False	0.63576436
7	Hevi Bilong Baim Takis	The Burden of Taxes	WHY IT HAPPENS	218	37	False	0.5889411
8	Tok bilong ol inap mekim na kongrigesen i bruk bruk.	Their mouth, indeed, can cause a division in the congregation.	In many lands we are frequently mentioned in the media.	795	452	False	0.67042804
9	Yangpela Meri i Stap Stret	A Chaste Young Woman	Loving-Kindness Shown by a Son	768	536	False	0.529037
10	TAIM yu harim dispela tok “stretim,” yu tingim wanem samting?	WHAT comes to mind when you hear the word “discipline”?	In his Word, Jehovah saw fit to reveal what about Jesus?	448	373	False	0.67844737
11	(Matyu 24:44) Paslain long dispela, Jisas i bin tokim ol disaipel long painim Kingdom pastaim, na em i mekim dispela tok lukaut: “Yupela tu i mas redi. Pikinini Bilong Man bai i kam long wanpela taim yupela i no ting em bai i kam.”	(Matthew 24:44) Earlier, when urging his disciples to seek continually the Kingdom, Jesus cautioned: “Keep ready, because at an hour that you do not think likely the Son of man is coming.”	(Gen. 15:13; Acts 7:6) Those “400 years” of affliction evidently began in 1913 B.C.E. when Ishmael mocked Isaac at the time of his being weaned, and they ended when the Israelites made their exodus out of Egypt in 1513 B.C.E.	891	369	False	0.6310766
12	Paslain liklik long mipela i go, mipela i bung na toktok long olsem wanem mipela bai autim gutnius bilong Kingdom Bilong God long ol dispela longwe ples.	Shortly before setting off, our group met to discuss how to present the good news of God’s Kingdom in an outback setting.	(Rev. 17:1, 5, 16, 17; 19:1, 2) Then, Christ will go forth to execute God’s judgments on the rest of Satan’s wicked system on earth by destroying it at Armageddon, “the war of the great day of God the Almighty.”	981	779	False	0.75100684
13	Planti Juda long nau i save tingim Pasova long Nisan 15. Ol i ting dispela tok long Kisim Bek 12:6 i makim dispela det.	Most Jews today keep the Passover on Nisan 15, believing that the command at Exodus 12:6 points to that date.	(1 Ki. 12:4) How did Jehovah respond when Solomon became unfaithful?	388	998	False	0.63738585
14	Sapos dispela samting i bin painim yu, yu no ken bel hevi.	If that is true in your case, take heart.	In his Word, Jehovah saw fit to reveal what about Jesus?	960	373	False	0.6133423
15	Yumi mas save long bekim bilong dispela askim, long wanem, yumi laik mekim ol samting i stret wantaim wok bilong holi spirit.	We need to know, for we want to work in harmony with the spirit.	They may try to convince us that if we serve Jehovah with a little less zeal, we could pursue worldly goals at the same time.	430	191	False	0.7417284
16	(Jon 4:​35-​38) Yumi insait long kain wok olsem bilong bungim kaikai bilong gaden, olsem na i gutpela sapos yumi skelim amamas bilong ol Kristen bilong pastaim em ol i insait long wankain wok.	(John 4:35-38) Since we are participating in such harvesting activity, it will be encouraging to examine the joy of the early Christian harvest workers.	He wrote to the Corinthians: “I will most gladly spend and be completely spent for your souls.” (2 Cor. 12:15) Indeed, out of love for his brothers, Paul fully spent himself in strengthening them.	228	468	False	0.6653564
17	Ating bai yu tok ol i mas skul, tasol yu mas skelim wanem samting i stret long mekim long kantri bilong yu.	Doubtless you will conclude that they should, although much will depend on what is practical in your country.	But reflecting on the brother’s words, Alex said, “To be reminded that this is Jehovah’s provision relieves you of any negative thoughts that you would be disloyal to your mate or to Jehovah’s marital arrangement by remarrying in the future.”​—1 Cor. 7:8, 9, 39.	963	510	False	0.6199193
18	[Piksa long pes 8, 9]	[Picture on page 8, 9]	[Pictures on page 8, 9]	22	644	False	0.43595934
19	Yes, gutpela samting bai kamap taim yumi bihainim tok bilong God long olgeta samting yumi mekim.—Snd. 3:5, 6; 28:26.	Yes, when we give attention to God in all our ways, we can have the best outcome.​—Prov. 3:5, 6; 28:26.	Yes, when we give attention to God in all our ways, we can have the best outcome.​—Prov. 3:5, 6; 28:26.	610	610	True	0.45767736
20	Sampela taim Jehova i save kisim bek lain bilong em long ol man i mekim nogut long ol​—⁠ating em bai mekim wok long ol jas i gat stretpela pasin, o em bai senisim ol man i gat hatpela pasin na makim ol man i gat gutpela tingting, o em bai givim strong long ol man i save lotuim em long sanap strong na karim hevi.​—⁠1 Korin 10:⁠13.	Jehovah may at times deliver his people from persecution​—perhaps by raising up fair-minded judges, by replacing hostile officials with reasonable ones, or by imparting to his worshippers the strength to endure.​—1 Corinthians 10:13.	(Gen. 12:14-20; 14:13-20; 26:26-29) Regarding Abraham and his descendants, the psalmist could therefore say: “He [Jehovah] did not allow any human to defraud them, but on their account he reproved kings, saying: ‘Do not you men touch my anointed ones, and to my prophets do nothing bad.’”​—Ps. 105:14, 15.	558	675	False	0.7880839
