	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Abierto el puerta.	The door is open.	Where are the cookies?	505	721	False	1
1	Abordo si Tom naquel barco?	Is Tom aboard that ship?	Tom can do that with one hand.	265	42	False	1
2	Agrio el fruta.	The fruit is sour.	I caught him stealing the money.	533	690	False	1
3	Alás nueve ya acabá el party.	The party finished at nine.	They drank coffee.	92	410	False	1
4	Alcanzá cumigo el vino.	Give me the wine.	He asked me if I could do him a favor.	697	299	False	1
5	Allergic yo na maíz.	I'm allergic to corn.	I don't want to read this book.	965	794	False	1
6	Alto esté ponô.	This tree is tall.	Tom doesn't need to go to the store.	892	560	False	1
7	Amó aquel de tuyo plano?	Was that your plan?	There's no one sitting here.	345	670	False	1
8	Amó se cosa tu ya hablá?	Is that what you said?	I'm tired of listening to your complaints.	348	841	False	1
9	Aparte de usted, todo kita pobre.	Apart from you, we are all poor.	This building is made of stone.	631	68	False	1
10	Aquí yo ya dejá de mío bag.	I left my bag here.	You three are very lucky.	778	728	False	1
11	Aumentá un poco leche.	Add a little milk.	They did what they were told.	226	254	False	1
12	Ay cumprá yo un calendario.	I'll buy a calendar.	My eyes itch.	937	64	False	1
13	Ay dale yo cuntigo un bike na de tuyo cumpleaños.	I will give you a bicycle for your birthday.	They won.	383	475	False	1
14	Ay llamá yo cuntigo mediodía.	I'll call you at noon.	The gardener planted a rose tree in the middle of the garden.	14	195	False	1
15	Ay quedá yo na casa.	I'll stay home.	Tom didn't know what to do first.	287	99	False	1
16	Ayudá cumigo mové cuneste piedra.	Help me move this stone.	I left my umbrella at home.	512	757	False	1
17	Baká vené si Jane.	Maybe Jane will come.	I forget who said it.	224	691	False	1
18	Barba cerrada si Tom.	Tom has a full beard.	I ate the whole apple.	255	241	False	1
19	Basta, salé aquí.	Just get out of here.	You look exhausted.	238	165	False	1
20	Bien diútay gayót este cuarto para kanamon.	This room is too small for us.	You don't have to study.	342	729	False	1
21	Bien manada libro si Tom acerca del religión, pero nunca le ya lé kanila.	Tom has a lot of religious books, but he has never read them.	I know what they said.	161	776	False	1
22	Bien pronto crecí el ponô.	The tree grows very quickly.	You're not like me.	264	777	False	1
23	Bien suerte gayót kamó tres.	You three are very lucky.	He was panting.	728	152	False	1
24	Bien suerte kitá.	We've been so lucky.	The tree is green.	159	522	False	1
25	Borles el mujer.	The woman is naked.	Do you know why?	756	336	False	1
26	Buen gente tu.	You are a good person.	Close your eyes and count to ten.	948	744	False	1
27	Cansáo ya yo de oí tuyo mga reclamo.	I'm tired of listening to your complaints.	Please drive safely.	841	871	False	1
28	Colorao esté vino.	This wine is red.	That's the reason she's late.	305	215	False	1
29	Comé cunel pan!	Eat the bread!	Should I be jealous?	704	894	False	1
30	Comé kitá pakwán!	Let's eat a watermelon!	The car is in the garage.	341	472	False	1
31	Con cuidao! Bien caliente el caldo.	Be careful! The soup is very hot.	The flower pot is broken.	615	840	False	1
