	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Bwénu el gátu.	El gato es bueno.	Tom quiere ir.	73	77	False	1
1	Chikítu el gátu ómbri.	El gato es pequeño.	Temo tener problemas.	6	81	False	1
2	Grándi el kamóte.	El camote es grande.	Estoy estudiando.	55	7	False	1
3	Grándi el ómbri.	El hombre es grande.	Debemos esperar por una mesa.	101	96	False	1
4			No me gustan estas tazas, las de la mesa me gustan más.	88	70	False	1
5	Andá sintá.	Ve a sentarte.	¿Cómo se llama la nena?	49	42	False	1
6	Apuráo pirmi si Tom.	Tom siempre está apurado.	¿De dónde eres?	62	47	False	1
7	Apuráo tu?	¿Estás apurado?	Yo traté de ayudar.	51	95	False	1
8	Baklá yo, acabar?	Soy gay, ¿y qué?	Yo traté de ayudar.	25	95	False	1
9	¡Buenos días!	¡Buenos días!	Estoy estudiando.	3	7	False	1
10	Cerca ya gat kita.	Ya estamos cerca.	Vivimos cerca de la escuela.	12	10	False	1
11	Conoce de mío tata'y nana cunel de mío novia.	Mis padres conocen a mi novia.	Plega la hoja por la mitad.	91	68	False	1
12	Cosa el nombre del batita mujer?	¿Cómo se llama la nena?	Plega la hoja por la mitad.	42	68	False	1
13	Cosa el precio desté reloj?	¿Cuál es el precio de este reloj?	Ayer fue feriado.	94	98	False	1
14	Cosa tu ya decidi?	¿Qué decidiste?	Ve a sentarte.	102	49	False	1
15	¿Cuánto?	¿Cuánto?	El camote es grande.	2	55	False	1
16	Cuidáo! Tiene vaca na camino!	¡Cuidado! ¡Hay una vaca en el camino!	Por favor quítate la camisa.	57	85	False	1
17	Debe kita espera para un mesa.	Debemos esperar por una mesa.	Estoy estudiando.	96	7	False	1
18	¿De dónde tú?	¿De dónde eres?	"""¿Tienes la llave?"" ""Sí, la tengo."""	47	48	False	1
19	Dublá cunel hojas na medio.	Plega la hoja por la mitad.	¿Cuánto?	68	2	False	1
20	Ele ya andá na escuela.	Él fue a la escuela.	Alguien puso algo en mi bebida.	72	103	False	1
21	Ele ya andá na escuela.	Ella fue a la escuela.	¿Estás apurado?	26	51	False	1
22	El hombre, con quien tu yan encuentro, de mi hermano aquel.	El hombre que tú ya has encontrado es mi hermano.	Tu salud es más importante.	61	43	False	1
23	"El ""Tatoeba"", quiere decir na lenguaje japón ""por ejemplo""."	"""Tatoeba"" quiere decir ""por ejemplo"" en japonés."	Tom quiere ir.	44	77	False	1
24	Esta noche le salé, pero nuáy pa le principiá prepará su mga maleta.	Ella parte esta noche, pero todavía no empezó a preparar las valijas.	Tom ha tosido.	50	87	False	1
25	Este el llave que ta buscá tu?	¿Es ésta la llave que buscas?	Preguntemos a alguien.	79	16	False	1
26	Favor, ablá cumigo el verdad.	Por favor, dime la verdad.	Temo tener problemas.	23	81	False	1
27	Favor, quitá de tuyo camisa.	Por favor quítate la camisa.	Tengo una revista en mi cuarto.	85	93	False	1
28	Hinde ta come ese batâ.	Ese niño no está comiendo.	Come botana.	97	58	False	1
29	Hindé yo ta acordá.	No me acuerdo.	En español hay muchas palabras de origen árabe: azahar, aljibe, almazara, almendra, albaricoque, ojalá, ...	84	18	False	1
30	"""Hola! Que tal tu?"" ""Bueno lang yo."""	"""¡Hola! ¿Cómo estás?"" ""Estoy muy bien."""	A veces ella usa un vestido rojo.	19	53	False	1
31	Holiday de ayer.	Ayer fue feriado.	Tom siempre está apurado.	98	62	False	1
32	Instrumento el mayonesa?	¿La mayonesa es un instrumento?	Todos tenemos la responsabilidad de protegernos unos a otros.	28	41	False	1
