	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Die kann man nicht in einem Geschäft kaufen. 	You can't buy these in a store. 	I wish you knew how much I wish that you were here with me. 	373	708	False	1
1	Unterlasse deine Lügen! 	Stop with your lies. 	Maybe I'm better than you. 	527	885	False	1
2	Es gibt kein schlechtes Wetter. Es gibt nur schlechte Kleidung. 	There is no such thing as bad weather, only the wrong clothes. 	There's enough room for everyone. 	503	10	False	1
3	Tom sucht einen Bleistift. 	Tom is looking for a pencil. 	"""If you trip, you'll fall down. And if you fall down, that will be your downfall"", said Arnaud Vannay. "	499	695	False	1
4	Hast du in Erfahrung bringen können, warum Tom von der Schule geflogen ist? 	Did you find out why Tom was kicked out of school? 	Tom is now a Canadian. 	721	352	False	1
5	Unsere jüngste Tochter heißt Maria. 	Our youngest daughter's name is Mary. 	Ask someone else. 	999	648	False	1
6	Hat Tom viel Geld? 	Does Tom have a lot of money? 	I don't work on weekends unless I have to. 	840	630	False	1
7	Bis morgen kann ich damit nicht fertig werden. 	I won't be able to finish the work by tomorrow. 	I make it a rule not to work on weekends. 	895	532	False	1
8	Du akzeptierst mich, wie ich bin. 	You accept me for who I am. 	We'll go there by bike. 	93	854	False	1
9	Energietränke sind sehr teuer. 	Energy drinks are really expensive. 	It's not my job to teach you how to behave. 	940	723	False	1
10	Es gereut uns nie, zu wenig gegessen zu haben. 	We never repent having eaten too little. 	Let's make one last effort. 	660	766	False	1
11	Er plant, für zwei Wochen hierzubleiben. 	He is planning to stay here for two weeks. 	I got home fairly late. 	797	513	False	1
12	Wusstest du, dass Tom und Johannes Brüder sind? 	Did you know that Tom and John were brothers? 	My mother is an alcoholic. 	177	604	False	1
13	Tom geht jeden Morgen dorthin. 	Tom goes there every morning. 	You should change your password. 	95	524	False	1
14	Wer hat ihr meine Adresse gegeben? 	Who gave her my address? 	Your theory is wrong. 	318	759	False	1
15	Ich muss mich bei dir für meine gestrigen Worte entschuldigen. 	I need to apologize to you for what I said yesterday. 	When everyone is responsible, no one is. 	173	250	False	1
16	Tom sah wirklich schlimm aus. 	Tom really looked terrible. 	You're a useless man. 	542	951	False	1
17	Tom und Maria scheinen sich guter Gesundheit zu erfreuen. 	Tom and Mary seem to be in good health. 	Don't pay more for something than you need to. 	845	642	False	1
18	Es ist ein Wunder, dass sie nach diesem Sturz noch lebt. 	It's a miracle she's still alive after that fall. 	The wind is getting stronger. 	377	432	False	1
19	Als Tom am Laden ankam, war schon geschlossen. 	By the time Tom got to the store, it was already closed. 	I should send Tom a message. 	690	484	False	1
20	Es lösche bitte jemand diesen Satz. 	Someone please delete this sentence. 	I'm waiting for it to start raining. 	143	807	False	1
21	Tom bedeutete mir, still zu sein. 	Tom motioned for me to be quiet. 	What is the universe? 	272	180	False	1
22	Als ich ankam, war die Feier schon vorbei. 	By the time I got there, the party was already over. 	I always thought Picasso was Italian. 	580	626	False	1
23	Es ist gestern am späten Abend passiert. 	It was late last night that that happened. 	It is the country where lemons bloom. 	109	801	False	1
24	Nur weil sich niemand beschwert, kann man noch lange nicht schlussfolgern, dass die Kunden zufrieden sind. 	Just because no one's complaining doesn't mean the customers are happy. 	Let go of my pants. 	869	178	False	1
25	Eine einfache Fahrt nach Newcastle bitte. 	A single to Newcastle, please. 	Just do what you want to do. 	917	455	False	1
26	Tom reitet schon sein ganzes Leben lang. 	Tom has been riding horses all his life. 	Stop comparing Tom with Mary. 	426	664	False	1
27	Davor fürchtet sich Tom am meisten. 	That's what Tom fears the most. 	I think either is OK. 	259	195	False	1
28	Du solltest nicht allzu nahe an Toms Wagen parken. 	You might not want to park too close to Tom's car. 	The baby arrived early. 	39	102	False	1
29	Es ist für alle genug Platz. 	There's enough room for everyone. 	What are the children afraid of? 	398	700	False	1
30	Wir waren alle in Tom verliebt. 	We were all in love with Tom. 	Tom pointed a finger at me. 	248	779	False	1
31	Er war ein ganz Harter. 	He was a tough guy. 	Tom didn't get anything handed to him. He actually had to work for it. 	814	563	False	1
