	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Dans cet incroyable « zugzwang », le joueur avait toutes ses pièces et ses pions sur l'échiquier et n'était sous aucune menace directe, mais n'avait que des mouvements suicidaires disponibles, ce qui l'a conduit à perdre la partie. 	"In that amazing ""zugzwang"", the player had all his pieces and pawns on the board and was not under any direct threat, but had only suicidal moves available, which led him to lose the game. "	These are nursery rhymes. 	38	350	False	1
1	Elles m'ont oublié. 	They forgot me. 	Have you ever received treatment for a sexually transmitted disease? 	917	916	False	1
2	As-tu déjà ressenti une douleur à la poitrine ? 	Have you ever experienced chest pain? 	Step one is done. 	840	211	False	1
3	Sortez vos cavaliers avant de développer les fous. 	Bring out your knights before developing the bishops. 	The bedrooms are upstairs and the living room is downstairs. 	391	465	False	1
4	Au travail ! 	Let's get it done! 	Speak Hungarian! 	147	111	False	1
5	Veuillez suivre mon doigt sans bouger votre tête. 	Please follow my finger without moving your head. 	Mary is following me. 	116	748	False	1
6	Nos condoléances, nos pensées et notre sympathie vont aux survivants, aux familles et aux amis des victimes et à tout le peuple israélien en cette période difficile. 	Our condolences, thoughts and sympathy go out to the survivors, families and friends of the victims and to the entire Israeli people at this difficult time. 	The children are tired. 	82	288	False	1
7	Quelqu'un est entré. 	Someone entered. 	Your stitches will be removed in a few days. 	31	317	False	1
8	Ils ne m'ont pas oubliée. 	They didn't forget me. 	Have you ever been diagnosed with a learning disability? 	685	168	False	1
9	Lis les bons livres ! 	Read good books! 	Is it okay if I ask you a few questions about your medical history? 	716	627	False	1
10	Leur maison est en vente. 	Their house is for sale. 	Is it painful to move like this? 	297	338	False	1
11	Après l'explosion, j'ai vu trois mecs sortir du restaurant en boitant. 	After the explosion, I saw three guys limping out of the restaurant. 	I'd like to come at nine. 	67	985	False	1
12	Huit frères et aucune sœur ? Pas étonnant qu'elle soit un garçon manqué. 	Eight brothers and no sisters? No wonder she's a tomboy. 	I'm not Mark. 	6	303	False	1
13	Ils m'ont oubliée. 	They forgot me. 	What country did you visit and how long did you stay? 	404	807	False	1
14	Connais-tu quelqu’un qui joue de la guitare ? 	Do you know anyone who plays the guitar? 	Tom remembers the time that he spent with Mary. 	882	731	False	1
15	Avez-vous régulièrement des problèmes de sinus ? 	Do you regularly have sinus issues? 	No one understood what Tom wanted. 	791	860	False	1
16	Le livre a des points de vente dans toute la France, la Belgique, la Suisse romande et le Québec. 	The book has points of sale throughout France, Belgium, French-speaking Switzerland and Quebec. 	Friends help each other. 	544	1	False	1
17	Comment est votre vue ? 	How is your vision? 	I have a friend whose father is a doctor. 	253	95	False	1
18	As-tu déjà eu un décollement de la rétine ? 	Have you ever had a detached retina? 	The boy is alone. 	242	699	False	1
19	Ce n'est pas son seul problème. 	That's not his only problem. 	Do you know how much you weigh? 	233	698	False	1
