	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Ba'y on palkondywit.	Accompagne-la.	Le bac du réfrigérateur est plein, il n'y a pas de place pour ces tomates.	49	713	False	1
1	Ba'y on palkondywit.	Accompagne-le.	Je tiens le coup.	954	173	False	1
2	Ba yo on palkondywit.	Accompagne-les.	Ce n'est pas la peine.	874	629	False	1
3	A dèmen !	À demain !	Je pourrais manger un cheval.	417	967	False	1
4	Rédé mwen.	Aide-moi.	Jésus est vivant !	162	25	False	1
5	Rédé mwen !	Aidez-moi !	Il est fou de cette femme.	48	767	False	1
6	Rédé mwen.	Aidez-moi.	Donne-moi le couteau.	100	426	False	1
7	An nou akaz a'y !	Allons chez elle !	S'il ne tenait qu'à moi.	39	979	False	1
8	An nou akaz a'y !	Allons chez lui !	J'ai un frère et deux sœurs.	710	547	False	1
9	An nou akaz a'w !	Allons chez toi !	Je mangerai un kiwi.	743	95	False	1
10	Limé bouji-la.	Allume la bougie.	Je cherche une épicerie.	318	219	False	1
11	Limé limyè-la.	Allume la lumière.	J'aime les oiseaux.	136	958	False	1
12	Limé bouji-la.	Allumez la bougie.	Elle est fâchée car tu es partie.	66	921	False	1
13	Alò, ka ou fè ?	Alors, comment vas-tu ?	Je sais où il est.	431	560	False	1
14	Aoyi ka dansé.	Aoi danse.	Il retourna les mains vides, les mains dans les poches.	918	542	False	1
15	Bay waka !	Applaudissez !	Elle est fâchée car tu es partie.	822	921	False	1
16	Apwé manjé-la, an toujou ka manjé on fwi.	Après le repas, je mange toujours un fruit.	Je t'aime !	561	141	False	1
17	Ou ni dé liv ?	As-tu deux livres ?	J'aime boire.	102	725	False	1
18	Ou ni bon vlen ?	As-tu du bon venin ?	Un rien suffit à donner la nausée à une femme enceinte.	85	525	False	1
19	Ou pèd lajan'w ?	As-tu perdu ton argent ?	Un rien suffit à donner la nausée à une femme enceinte.	261	525	False	1
20	Ès ou ja fè manjé la ?	As-tu préparé le repas ?	Oui. Merci.	187	847	False	1
21	A talè !	À tout à l'heure !	Où sommes-nous ?	589	73	False	1
22	Ovwa !	Au revoir !	Voici Thomas.	714	159	False	1
23	Avan an té enmé'w.	Autrefois je t'aimais.	Donne-lui celui de maman !	359	631	False	1
24	Avan mwen té enmé'w.	Autrefois je t'aimais.	Non, ne fais pas ça !	198	31	False	1
25	Ès ni ou tab pou senk moun ?	Avez-vous une table pour cinq ?	J'aime marcher.	641	846	False	1
26	Bésé mizik-la !	Baisse la musique !	Et vous ?	567	397	False	1
27	Byenvini !	Bienvenue !	Je suis constipé.	40	348	False	1
28	Byenbonjou, non an mwen sé Tina.	Bonjour, je m'appelle Tina.	Ça va.	355	138	False	1
29	Bonjou ! Non an mwen sé Tòm.	Bonjour ! Je m'appelle Tom.	Où es-tu né ?	927	306	False	1
30	Bonjou konpè ! Ka sa yé ?	Bonjour mon ami ! Comment ça va ?	Il n'y a pas de quoi.	482	250	False	1
