	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Mannen snakket med lav stemme.	The man spoke in a low voice.	What is it you really want to tell me?	891	397	False	1
1	Han er uten tvil mye flinkere enn deg.	He is, without doubt, much better than you.	An old man was resting in the shade of the tree.	182	402	False	1
2	Han småsov hele tiden.	He dozed all the while.	We talked until two in the morning.	853	359	False	1
3	Noen spiller piano.	Somebody is playing the piano.	Can you lend me 10,000 yen?	312	965	False	1
4	De krysset atlanterhavet.	They crossed the Atlantic Ocean.	There is a girl reading under a tree.	804	863	False	1
5	Faen! Jeg har punktert!	Shit! I've got a flat.	Come eat with us.	650	268	False	1
6	Det er dyrt å bo i Japan.	It is expensive to live in Japan.	The mistake cost him his head.	546	116	False	1
7	Jeg respekterer uselviskheten hans.	I respect his selflessness.	His childlike laugh is charming.	578	687	False	1
8	Duer og høner er fugler.	Pigeons and hens are birds.	Don't forget about Tom.	119	325	False	1
9	Ikke gå dit alene.	Don't go there alone.	I gave him what little money I had with me.	609	792	False	1
10	Han er min bror.	He's my brother.	Why can't you be more like me?	115	831	False	1
11	Tom trodde han hadde en sjangse til å overleve.	Tom thought he had a chance to survive.	Tom hates Mary as much as she hates him.	939	565	False	1
12	Alle fortjener en ny sjanse.	Everyone deserves a second chance.	He pays with a credit card.	976	361	False	1
13	Vi må gjøre dette ferdig før vi kan gå hjem.	We've got to finish this before we can go home.	I can't stand this stomach-ache.	725	946	False	1
14	Hastverk er lastverk.	More haste, less speed.	I have a boring job.	6	989	False	1
15	Har noen her noensinne sett nattehimmelen en mørk natt borte fra lysforurensning?	Has anyone here ever seen the night sky on a dark night, away from light pollution?	Tom missed the target.	403	408	False	1
16	La barna gå av bussen først!	Let the kids off the bus first!	Tom's clothes were old, but clean.	57	757	False	1
17	Hun fikk ikke betalt for det.	She didn't get paid for it.	I was poor at English.	549	577	False	1
18	Har du vært i Kyushu?	Have you ever been to Kyushu?	Come!	898	15	False	1
19	Du har en sønn, ikke sant?	You have a son, don't you?	He showed me his collection of butterflies.	1	226	False	1
20	Hender dette nokon gong med deg?	Does that ever happen to you?	More haste, less speed.	357	6	False	1
21	Jeg må gå snart.	I've got to leave soon.	Then why have you sold it?	349	605	False	1
22	Hvor mye måtte du betale for å få bilen din reparert?	How much did you have to pay to get your truck fixed?	Tom will return next week.	285	674	False	1
