	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Bâ ambeni ti akpengba-ndia ti Bible so adë bê ti azo so a sala sioni na ala:	Bible principles that have comforted victims of mistreatment include the following:	With that schedule, I started regular pioneering.	807	46	False	1
1	A yeke polele so na ngoi ti lo mingi ti azo ayeke na siriri ti bibe pepe.	Evidently, in his day most people did not enjoy inner peace.	“Do Not Forget Kindness to Strangers”	776	166	False	1
2	Bible afa kozo awe so sarango sioni ayeke hon ndo ni “na alango ti nda ni” so.	The Bible foretold that wicked conduct would prevail in “the last days.”	JEHOSHAPHAT SEARCHED FOR JEHOVAH	849	207	False	1
3	Mbi na mba ti mbi (na mbage ti koli), so e yeke sara kua ti pionnier spécial na Mistelbach, na Autriche	With my partner (right), serving as special pioneers in Mistelbach, Austria	Achan of the tribe of Judah sinned while invading Jericho.	117	345	False	1
4	Casque so turugu ti Rome ayü ayeke ti bata li ti lo, go ti lo nga na face ti lo.	The helmet worn by the Roman infantry was designed to ward off blows directed at the head, neck, and face.	Instead, he was totally dependent on those around him, most of whom hated him!	34	246	False	1
5	“Ala girisa pëpe tënë ti yambango agene nzoni”	“Do Not Forget Kindness to Strangers”	• A picture of elephants brings good luck if it faces a door	166	510	False	1
6	26 Apuse ti mbarata nga na mbeni couronne ayeke bata mo	26 Chariots and a Crown Safeguard You	They therefore looked to the heavens for signs and omens to guide them.	535	714	False	1
7	(Hab. 3:18).	(Hab. 3:18) In what ways will Jehovah prove to be “a real dwelling” during that tumultuous time?	Jehovah blessed the first ten years of Asa’s reign with complete peace.	151	290	False	1
8	Wala Jésus ayeke lani pendere mingi wala lo yeke pendere mingi ape, Bible asara tënë mingi dä ape.	The Scriptures say very little about Jesus’ physical appearance.	As Christians, they had all made real changes.​—1 Peter 4:3, 4.	765	248	False	1
9	Peut-être e bâ même so mbeni ye nde ti sarango ni ayeke dä ape na atâa a yeke zo wa la aye ti mû maboko na e, e yeke yeda na ni.	We may even become so desperate for emotional support that we will accept attention from just about anyone.	What happens when Jesus goes to the temple?	766	872	False	1
10	A-Romain abâ ti ala so Judée ayeke mara ti ndo tongaso.	The Romans considered Judaea to be such a place.	The brothers in Eastern Europe also produced literature in their own countries by using mimeograph machines or by reproducing material from film.	284	578	False	1
11	So Jésus ayeke nduru ti mû fini ti lo na kuâ, ye so aga na nyen?	What did he achieve by willingly giving up his life?	Maybe the people you meet show no interest in the Bible.	620	875	False	1
12	Na tapande, Joseph, Moïse, nga na David atingbi lani na angangu tara.	Think of Joseph, Moses, and David.	What else can we learn from the Bible?	682	392	False	1
13	Legeoko tongana ti so tengo anzoni kobe alingbi ti mû ngangu na mo ti sala kua, dikongo Tënë ti Nzapa ayeke mû ngangu na mo ti sala ye alingbi na andia ti lo.	Jesus likened God’s utterances to life-sustaining bread.	So he spent part of the year as a seasonal worker.	331	7	False	1
14	Nyen la ayeke mû maboko na mo ti dabe ti mo na aversê so ayeke na yâ ti Bible ti mû maboko na azo?	What will help you to recall Bible passages when you need them to help others?	How Is Your Meeting Attendance?	667	180	False	1
15	[Foto na lembeti 32]	[Picture on page 32]	What can we do to overcome lingering doubts?	427	771	False	1
16	Mbeni oko ti atënë so awato ti Jésus aluti na ndo ni ti bi tënë na li ti lo na adisciple ti lo lani la.	This was just one of many issues in which Jesus’ enemies found fault with him and his disciples.	“But speaking the truth, let us by love grow up in all things into him who is the head, Christ.”​—4:15.	812	18	False	1
17	(Diko 1 Pierre 4:10.)	(Read 1 Peter 4:10.)	During the darkest periods of David’s life, Jehovah acted in his behalf, loyally protecting and guiding the faithful king.	670	734	False	1
