	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Abri este puerta.	Open this door.	Open this door.	932	932	True	0.005515218
1	Agregá dos dientes de ajo.	Add two cloves of garlic.	Beware of the gorilla.	868	440	False	0.004930496
2	Alegre yo si junto yo cuntigo.	When I'm with you, I'm happy.	I bought an umbrella.	376	788	False	0.0053521395
3	Allergic yo na maíz.	I'm allergic to corn.	He has boozy breath.	747	435	False	0.006929755
4	Amó se cosa ya pasá?	Is that what happened?	I ate a tuna salad.	287	401	False	0.008324742
5	Aquí yo ya dejá de mío bag.	I left my bag here.	I left my umbrella at home.	66	784	False	0.007147908
6	Ay man miss yo cun ustedes todo.	I will miss you all.	I ate a tuna salad.	256	401	False	0.0065284967
7	Ay tené gayót yo mucho cuidáo.	I will be very careful.	What is your ethnicity? Zamboangueño!	515	576	False	0.007933497
8	Ayudá cumigo mové cuneste piedra.	Help me move this stone.	I bought an umbrella.	530	788	False	0.005257368
9	Basta, salé aquí.	Just get out of here.	I have to apologize.	534	238	False	0.0048799515
10	Besá cun Tom.	Kiss Tom.	Got milk?	299	439	False	0.0061906576
11	Bien manada yo mordedura de lamuk.	I got a lot of mosquito bites.	Beware of the gorilla.	834	440	False	0.0051976442
12	Bien rico gayot yo.	I am very rich.	Tom borrowed mine.	647	555	False	0.005517602
13	Bien sensitivo yo na calor.	I am very sensitive to heat.	A lion is strong.	476	284	False	0.0047843456
14	Borles el mujer.	The woman is naked.	Tom gave blood.	77	317	False	0.007884026
15	¡Buenas tardes!	Good afternoon.	They already have eaten.	184	399	False	0.006974697
16	Busy yo este día.	I've been busy today.	I ate a tuna salad.	162	401	False	0.0045747757
17	Cerrá el libro.	Close the book.	I have bread.	63	598	False	0.0077131987
18	Cerrao el ventana.	The window is closed.	Open this door.	466	932	False	0.009406924
19	Colorao de suyo maga uñas.	Her nails are red.	Beware of the gorilla.	357	440	False	0.00736928
20	Colorao de tuyo sangre.	Your blood is red.	I ate a tuna salad.	935	401	False	0.0039412975
21	Color verde el falda.	The skirt is green.	Trees are alive.	65	837	False	0.0049892664
22	Con cuidao! Bien caliente el caldo.	Be careful! The soup is very hot.	Beware of the gorilla.	918	440	False	0.0051021576
