	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Bwénu el gátu.	El gato es bueno.	Ella me trenzó el pelo.	73	100	False	0.0050917864
1	Chikítu el gátu ómbri.	El gato es pequeño.	Lo caché robándose la feria	6	71	False	0.0071228743
2	Grándi el kamóte.	El camote es grande.	Mario ya durmió en la casa.	55	52	False	0.0066188574
3	Grándi el ómbri.	El hombre es grande.	Me gusta el color negro.	101	69	False	0.009607315
4				88	9	False	0.0
5	Andá sintá.	Ve a sentarte.	¡Óyeme!	49	54	False	0.00724411
6	Apuráo pirmi si Tom.	Tom siempre está apurado.	Ocupo mi pasaporte.	62	1	False	0.0075006485
7	Apuráo tu?	¿Estás apurado?	Mi tío es rico.	51	24	False	0.009715319
8	Baklá yo, acabar?	Soy gay, ¿y qué?	Ocupo mi pasaporte.	25	1	False	0.0051447153
9	¡Buenos días!	¡Buenos días!	¡Buenos días!	3	3	True	0.0
10	Cerca ya gat kita.	Ya estamos cerca.	Tom ha tosido.	12	87	False	0.0052410364
11	Conoce de mío tata'y nana cunel de mío novia.	Mis padres conocen a mi novia.	Ella está jugando con una muñeca.	91	11	False	0.0090277195
12	Cosa el nombre del batita mujer?	¿Cómo se llama la nena?	Tom siempre está apurado.	42	62	False	0.0045892
13	Cosa el precio desté reloj?	¿Cuál es el precio de este reloj?	Lo caché robándose la feria	94	71	False	0.0073190928
14	Cosa tu ya decidi?	¿Qué decidiste?	Me gusta tu libro.	102	64	False	0.0073492527
15	¿Cuánto?	¿Cuánto?	¿Cuánto?	2	2	True	2.3841858e-07
16	Cuidáo! Tiene vaca na camino!	¡Cuidado! ¡Hay una vaca en el camino!	Mi tío es rico.	57	24	False	0.0063887835
17	Debe kita espera para un mesa.	Debemos esperar por una mesa.	Debemos esperar por una mesa.	96	96	True	0.0046061277
18	¿De dónde tú?	¿De dónde eres?	¿De dónde eres?	47	47	True	0.0017741919
19	Dublá cunel hojas na medio.	Plega la hoja por la mitad.	Lo caché robándose la feria	68	71	False	0.004722595
20	Ele ya andá na escuela.	Él fue a la escuela.	Mario ya durmió en la casa.	72	52	False	0.005309224
21	Ele ya andá na escuela.	Ella fue a la escuela.	Mario ya durmió en la casa.	26	52	False	0.005309224
22	El hombre, con quien tu yan encuentro, de mi hermano aquel.	El hombre que tú ya has encontrado es mi hermano.	El hombre que tú ya has encontrado es mi hermano.	61	61	True	0.0038309097
23	"El ""Tatoeba"", quiere decir na lenguaje japón ""por ejemplo""."	"""Tatoeba"" quiere decir ""por ejemplo"" en japonés."	"""Tatoeba"" quiere decir ""por ejemplo"" en japonés."	44	44	True	0.0015945435
24	Esta noche le salé, pero nuáy pa le principiá prepará su mga maleta.	Ella parte esta noche, pero todavía no empezó a preparar las valijas.	Tom echó agua caliente en la taza.	50	39	False	0.0061024427
25	Este el llave que ta buscá tu?	¿Es ésta la llave que buscas?	¿Es ésta la llave que buscas?	79	79	True	0.0042818785
26	Favor, ablá cumigo el verdad.	Por favor, dime la verdad.	Tom siempre está apurado.	23	62	False	0.0051915646
27	Favor, quitá de tuyo camisa.	Por favor quítate la camisa.	Tom siempre está apurado.	85	62	False	0.0045609474
28	Hinde ta come ese batâ.	Ese niño no está comiendo.	Ocupo mi pasaporte.	97	1	False	0.005505085
29	Hindé yo ta acordá.	No me acuerdo.	Ella estornudó.	84	33	False	0.0072487593
30	"""Hola! Que tal tu?"" ""Bueno lang yo."""	"""¡Hola! ¿Cómo estás?"" ""Estoy muy bien."""	"""¿Tienes la llave?"" ""Sí, la tengo."""	19	48	False	0.0051927567
31	Holiday de ayer.	Ayer fue feriado.	Tom quiere ir.	98	77	False	0.0067652464
32	Instrumento el mayonesa?	¿La mayonesa es un instrumento?	¿La mayonesa es un instrumento?	28	28	True	0.0039697886
33	Manada palabra español que ya salé na lenguaje arabo: azahar, aljibe, almazara, almendra, albaricoque, ojalá ...	En español hay muchas palabras de origen árabe: azahar, aljibe, almazara, almendra, albaricoque, ojalá, ...	En español hay muchas palabras de origen árabe: azahar, aljibe, almazara, almendra, albaricoque, ojalá, ...	18	18	True	0.0012507439
34	Mario ya dormí na casa.	Mario ya durmió en la casa.	Mario ya durmió en la casa.	52	52	True	0.0032621622
35	Mas bunita pa tu que cunele.	Eres más bonita que ella.	Lo caché robándose la feria	99	71	False	0.0048240423
36	Mas importante de tuyo salud.	Tu salud es más importante.	Tu salud es más importante.	43	43	True	0.0025203228
37	Masquín el pinakalargo viaje ta principiá cun un paso.	Hasta el viaje más largo comienza con un paso.	Tom echó agua caliente en la taza.	30	39	False	0.0050855875
38	Merendá.	Come botana.	Ve a sentarte.	58	49	False	0.011553884
39	Mio nombre tamen es Tom.	Mi nombre también es Tom.	Mi tío es rico.	45	24	False	0.007804632
40	Necesita yo andá meá.	Necesito ir a mear.	Alguien puso algo en mi bebida.	46	103	False	0.008413196
41	Necesita yo mio pasaporte.	Necesito mi pasaporte.	Por favor quítate la camisa.	13	85	False	0.0041252375
42	Necesita yo mio pasaporte.	Ocupo mi pasaporte.	Por favor quítate la camisa.	1	85	False	0.0041252375
43	No quiere yo este maga tasa; mas quiere yo aquel tallá na mesa.	No me gustan estas tazas, las de la mesa me gustan más.	Alguien puso algo en mi bebida.	70	103	False	0.0049847364
44	Nuáy kamé mirá.	Nosotros no vimos.	Mario ya durmió en la casa.	31	52	False	0.0064076185
45	Nuáy ya virá el pajaro.	El pájaro no ha regresado.	Alguien puso algo en mi bebida.	36	103	False	0.006357789
46	Oí cumigo!	¡Óyeme!	¡Óyeme!	54	54	True	0.005140662
47	Ojala queda tu enbuenamente.	Ojalá que te recuperes pronto.	Lo caché robándose la feria	38	71	False	0.0047365427
48	Ojala queda ya tu bueno.	Ojalá que te recuperes pronto.	Ocupo mi pasaporte.	63	1	False	0.0042597055
49	Por que hindé tu kanamon mandá andá?	¿Por qué no nos dejas ir?	Lo caché robándose la feria	37	71	False	0.009551883
50	Por que largo el mga orejas del cunejo?	¿Por qué son largas las orejas del conejo?	¿Por qué son largas las orejas del conejo?	34	34	True	0.0075286627
