	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Tom überkam plötzlich ein Hungergefühl. 	Tom suddenly felt hungry. 	I wish Tom would stop singing. 	572	510	False	0.0054912567
1	Ich habe diesen Film schon viele Male gesehen. 	I've already seen this movie many times. 	I've already seen this movie many times. 	552	552	True	0.0039885044
2	Ich habe erst gestern Abend erfahren, dass Tom der Urheber ist. 	I didn't find out that Tom was the one who did that until last night. 	I didn't find out that Tom was the one who did that until last night. 	601	601	True	0.005925536
3	Tom hat einen Welpen mit in die Schule gebracht. 	Tom brought a puppy to school. 	In the living room there was a huge spider. 	282	663	False	0.0055907965
4	Wo sind die Bücher, die ich brauche? 	Where are the books I need? 	I know that your favorite color is blue. 	786	700	False	0.0063391924
5	Es gibt kein schlechtes Wetter. Es gibt nur schlechte Kleidung. 	There is no such thing as bad weather, only the wrong clothes. 	There is no such thing as bad weather, only the wrong clothes. 	372	372	True	0.005031109
6	Tom sucht einen Bleistift. 	Tom is looking for a pencil. 	Tom is looking for a pencil. 	996	996	True	0.006445527
7	Kennst du „Heidi“? 	"Do you know about ""Heidi, Girl of the Alps""? "	Does Tom know you? 	437	941	False	0.006992817
8	Mein Mann hat gesagt, er sei gleich zurück. Das ist schon zwei Jahre her. 	My husband said he would come back soon. It's been two years. 	My husband said he would come back soon. It's been two years. 	543	543	True	0.00627172
9	Bis morgen kann ich damit nicht fertig werden. 	I won't be able to finish the work by tomorrow. 	If I can avoid it, I don't work on weekends. 	709	831	False	0.006562233
10	Du akzeptierst mich, wie ich bin. 	You accept me for who I am. 	Tom pranked Mary by making her believe she was invisible. 	872	41	False	0.004510641
11	Zitronen sind gewöhnlich sauer. 	Lemons are usually sour. 	Tom pranked Mary by making her believe she was invisible. 	122	41	False	0.006191969
12	Ist das eine vertrauenswürdige Quelle? 	Is that a trustworthy source? 	Is that a trustworthy source? 	280	280	True	0.0060076714
13	Einige von uns wissen nicht, was sie tun sollen. 	A number of us don't know what to do. 	All these things are different today than from how they were before, when I was younger. 	487	349	False	0.0061326027
14	Es gereut uns nie, zu wenig gegessen zu haben. 	We never repent having eaten too little. 	I sound like a dying donkey when I speak French. 	46	637	False	0.0058119297
15	Tom geht jeden Morgen dorthin. 	Tom goes there every morning. 	Tom goes there every morning. 	360	360	True	0.0042698383
16	Wir haben dort niemanden gesehen. 	We didn't see anybody there. 	We didn't see anybody there. 	577	577	True	0.0039452314
17	Haben Tom und Maria jemanden gefunden, der auf Johannes aufpassen kann? 	Did Tom and Mary find a sitter for John? 	Even though Tom was innocent, after hours of interrogation, he confessed. 	119	16	False	0.005567193
18	Es ist jemand in deinem Zimmer. 	There's somebody in your room. 	Tom wanted to talk with me. 	324	11	False	0.0049614906
19	Ich hasse Alpträume. 	I hate nightmares. 	I hate nightmares. 	251	251	True	0.0043236017
20	Es erinnerte sich niemand, wo wir unseren Wagen geparkt hatten. 	No one remembered where we'd parked our car. 	No one remembered where we'd parked our car. 	434	434	True	0.0058875084
21	Ihr könntet es im Laden gegenüber versuchen. Vielleicht hat man dort, wonach ihr sucht. 	You could try the store across the street. They may have what you're looking for. 	If you have a daughter in this country, you hope she'll meet a foreigner and go abroad. 	163	730	False	0.0061308146
22	Es ist ein Wunder, dass sie nach diesem Sturz noch lebt. 	It's a miracle she's still alive after that fall. 	Even though Tom was innocent, after hours of interrogation, he confessed. 	333	16	False	0.0053721666
23	Tom war noch am Leben. 	Tom was still alive. 	Tom was no longer listening. 	819	36	False	0.0036672354
24	Tom kann das auch nicht. 	Tom can't do it either. 	Tom did this but not that. 	176	396	False	0.0049245358
25	Ich muss den Bleistift spitz machen. 	I need to make the pencil sharp. 	Tom pranked Mary by making her believe she was invisible. 	849	41	False	0.006285906
26	Wir sind bald damit fertig. 	We're pretty close to finishing this. 	We were once friends with Tom. 	310	785	False	0.005739689
27	Ich habe ein paar Bücher gelesen. 	I have read some books. 	I need to read more books. 	942	291	False	0.00717175
28	Verstehst du, wie sehr ich dich liebe? 	Do you know how much I love you? 	I wonder why Tom looks so depressed. 	384	531	False	0.004922867
29	Gestern habe ich mit einem neuen Buch angefangen. 	I started a new book yesterday. 	It's a great honor for me to have been elected chairman. 	794	993	False	0.0073132515
30	Hast du in Erfahrung bringen können, warum Tom das machen musste? 	Did you find out why Tom had to do that? 	I want to become better at expressing my ideas in French. 	433	390	False	0.0057166815
31	Davor fürchtet sich Tom am meisten. 	That's what Tom fears the most. 	Tom pranked Mary by making her believe she was invisible. 	692	41	False	0.005923271
32	Ich finde, es ist beides in Ordnung. 	I think either one is fine. 	I agree with Tom and Mary's proposal. 	355	534	False	0.006352663
33	Es ist uns gelungen, Tom aufzuspüren. 	We managed to track Tom down. 	Tom pranked Mary by making her believe she was invisible. 	689	41	False	0.006003976
34	Ich freue mich zu hören, dass es Tom gutgeht. 	I'm glad to hear Tom is well. 	I'm glad to hear Tom is doing better. 	438	959	False	0.0061101913
