	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Dans cet incroyable « zugzwang », le joueur avait toutes ses pièces et ses pions sur l'échiquier et n'était sous aucune menace directe, mais n'avait que des mouvements suicidaires disponibles, ce qui l'a conduit à perdre la partie. 	"In that amazing ""zugzwang"", the player had all his pieces and pawns on the board and was not under any direct threat, but had only suicidal moves available, which led him to lose the game. "	"In that amazing ""zugzwang"", the player had all his pieces and pawns on the board and was not under any direct threat, but had only suicidal moves available, which led him to lose the game. "	38	38	True	0.0032384396
1	Elles m'ont oublié. 	They forgot me. 	They didn't forget me. 	917	252	False	0.0053521395
2	As-tu déjà ressenti une douleur à la poitrine ? 	Have you ever experienced chest pain? 	Can you eat the skin of a kiwifruit? 	840	85	False	0.005676985
3	Sortez vos cavaliers avant de développer les fous. 	Bring out your knights before developing the bishops. 	Bring out your knights before developing the bishops. 	391	391	True	0.005329132
4	Au travail ! 	Let's get it done! 	Save now! 	147	961	False	0.005710244
5	Veuillez suivre mon doigt sans bouger votre tête. 	Please follow my finger without moving your head. 	Please follow my finger without moving your head. 	116	116	True	0.004145503
6	Nos condoléances, nos pensées et notre sympathie vont aux survivants, aux familles et aux amis des victimes et à tout le peuple israélien en cette période difficile. 	Our condolences, thoughts and sympathy go out to the survivors, families and friends of the victims and to the entire Israeli people at this difficult time. 	Our condolences, thoughts and sympathy go out to the survivors, families and friends of the victims and to the entire Israeli people at this difficult time. 	82	82	True	0.0037885904
7	Quelqu'un est entré. 	Someone entered. 	I want to buy a hat. 	31	605	False	0.004898429
8	Ils ne m'ont pas oubliée. 	They didn't forget me. 	They didn't forget me. 	685	252	False	0.00423491
9	Lis les bons livres ! 	Read good books! 	Marie's parents are rich. 	716	405	False	0.006873131
10	Leur maison est en vente. 	Their house is for sale. 	Their house is for sale. 	297	297	True	0.0066467524
11	Après l'explosion, j'ai vu trois mecs sortir du restaurant en boitant. 	After the explosion, I saw three guys limping out of the restaurant. 	After the explosion, I saw three guys limping out of the restaurant. 	67	67	True	0.004810214
12	Huit frères et aucune sœur ? Pas étonnant qu'elle soit un garçon manqué. 	Eight brothers and no sisters? No wonder she's a tomboy. 	Eight brothers and no sisters? No wonder she's a tomboy. 	6	6	True	0.0047861338
13	Ils m'ont oubliée. 	They forgot me. 	They didn't forget me. 	404	252	False	0.004283786
14	Connais-tu quelqu’un qui joue de la guitare ? 	Do you know anyone who plays the guitar? 	Do you know anybody who plays the guitar? 	882	714	False	0.0057622194
15	Avez-vous régulièrement des problèmes de sinus ? 	Do you regularly have sinus issues? 	Have you ever been diagnosed with ulcers? 	791	454	False	0.005816698
16	Le livre a des points de vente dans toute la France, la Belgique, la Suisse romande et le Québec. 	The book has points of sale throughout France, Belgium, French-speaking Switzerland and Quebec. 	The book has points of sale throughout France, Belgium, French-speaking Switzerland and Quebec. 	544	544	True	0.006520748
17	Comment est votre vue ? 	How is your vision? 	How is your vision? 	253	253	True	0.0042734146
18	As-tu déjà eu un décollement de la rétine ? 	Have you ever had a detached retina? 	I have to shave your chest for the electrocardiogram. 	242	954	False	0.005337119
19	Ce n'est pas son seul problème. 	That's not his only problem. 	That's not my only problem. 	233	524	False	0.0028173923
20	Tom saute d'un sujet à l'autre. 	Tom jumps from one subject to another. 	Tom jumps from one subject to another. 	166	166	True	0.0052404404
21	L'ami de mon ennemi est mon ennemi. 	The friend of my enemy is my enemy. 	He plied me with tequila all evening. 	971	822	False	0.005233407
22	Prenez-vous actuellement des médicaments qui vous ont été prescrits par un psychiatre ? 	Do you currently take any medication prescribed to you by a psychiatrist? 	Have you recently had unexplained swelling of your arms or legs during periods of inactivity? 	689	727	False	0.0062764883
23	Est-ce que ce mouvement fait mal ? 	Is it painful to move like this? 	Is it painful to move like this? 	338	338	True	0.005913973
24	Ne regardez pas par le trou de la serrure. 	Don't look through the keyhole. 	On a carousel horse, you will not go very far! 	176	500	False	0.0060087442
25	Avez-vous ressenti des douleurs corporelles récemment ? 	Have you experienced body aches recently? 	Have you recently felt any unexplained pain or stiffness in your neck? 	619	122	False	0.0060989857
26	C'est à Tom que Mary veut parler. 	It's Tom that Mary wants to talk to. 	It's Tom that Mary wants to talk to. 	979	979	True	0.004558563
27	Tu veux que je te chante une berceuse ? 	Do you want me to sing you a lullaby? 	He plied me with tequila all evening. 	32	822	False	0.0058665276
28	Elle ne m'a pas oubliée. 	She didn't forget me. 	She didn't forget me. 	334	268	False	0.0035686493
29	La boîte est toute sale. 	The box is all dirty. 	The box is all dirty. 	891	891	True	0.007881999
30	Ils ne m'ont pas oublié. 	They didn't forget me. 	They didn't forget me. 	448	252	False	0.003015399
31	Ce n'est pas mon seul problème. 	That's not my only problem. 	That's not my only problem. 	524	524	True	0.0028511286
32	A-t-on diagnostiqué chez toi un souffle cardiaque ? 	Have you been diagnosed with a heart murmur? 	I have to shave your chest for the electrocardiogram. 	153	954	False	0.006028056
33	As-tu été piquée par une abeille ? 	Were you stung by a bee? 	A wasp stung him and he had an allergic reaction. 	589	652	False	0.0062978268
34	Les noms russes peuvent être masculins, féminins ou neutres. 	Russian nouns can be masculine, feminine, or neuter. 	Chess players are ideal women: they can spend hours in silence, follow the maneuvers well and get to know many interesting positions. 	663	607	False	0.00721097
35	La guerre était perdue. 	The war was lost. 	Stalin was a bad person. 	385	406	False	0.006418586
36	Il faut que Tom voie ça. 	Tom needs to see this. 	Tom needs to see this. 	767	547	False	0.005552292
37	Je suis asexuel. 	I'm asexual. 	I'm asexual. 	929	929	True	0.0067192316
38	Avez-vous déjà été diagnostiquée avec une hépatite ? 	Have you ever been diagnosed with hepatitis? 	Have you ever been intubated because of an asthma attack? 	608	58	False	0.0056681633
39	Elles la craignent. 	They're afraid of her. 	Others cried. 	307	151	False	0.0045975447
40	Tom n’a pas encore répondu. 	Tom hasn't answered yet. 	Tom hasn't answered yet. 	986	986	True	0.0042750835
41	Yanni s'est excusé. 	Yanni apologized. 	I'm an idealist. 	965	227	False	0.004388571
42	Tom est plus sportif que Charles. 	Tom is sportier than Charles. 	Tom is sportier than Charles. 	40	40	True	0.0023248196
43	Ça va si je te pose quelques questions sur tes antécédents médicaux ? 	Is it OK if I ask you a few questions about your medical history? 	Sir, we need to stabilize your fracture before transferring you to the stretcher. 	458	897	False	0.006645918
44	Badigeonne-toi de crème solaire. 	Slather yourself with sunscreen. 	Slather yourself with sunscreen. 	812	812	True	0.0077967644
45	Es-tu de langue maternelle française ? 	Are you a native French speaker? 	You should have done a language study abroad. 	292	25	False	0.006649971
46	Ce virus est un problème partout dans le monde. 	This virus is a problem all over the world. 	This virus is a problem all over the world. 	609	110	False	0.004858494
47	Marie me suit. 	Mary is following me. 	I testified. 	748	157	False	0.0042874813
48	Vous a-t-on diagnostiqué un souffle cardiaque ? 	Have you been diagnosed with a heart murmur? 	I have to shave your chest for the electrocardiogram. 	471	954	False	0.0059728622
49	Ce n'est pas votre seul problème. 	That's not your only problem. 	That's not your only problem. 	455	383	False	0.0030499697
50	Tom a dit qu'il aimerait être un poisson. 	Tom said that he wished he were a fish. 	Tom said he'd like to be a fish. 	683	399	False	0.004802227
51	Lucy est une étudiante américaine. 	Lucy is an American student. 	Mary is a student of physics. 	569	972	False	0.008288622
52	Au cours des deux dernières semaines, avez-vous été en contact étroit avec une personne présentant des symptômes de la grippe ? 	Within the last two weeks, have you had close contact with anyone with flu-like symptoms? 	Have you recently had unexplained swelling of your arms or legs during periods of inactivity? 	901	727	False	0.006231427
53	Les dinosaures régnaient sur Terre. 	Dinosaurs ruled Earth. 	Ostriches are the largest birds in the world. 	541	579	False	0.0071185827
54	Il rencontre des étrangers pendant ses voyages. 	He meets foreigners during his travels. 	He meets foreigners during his travels. 	290	290	True	0.0057914257
55	Vous nous craignez. 	You're afraid of us. 	You are no son of mine. 	911	649	False	0.0042403936
56	À quoi sert la vie, si on finit tous par mourir ? 	What's the point of life if we all eventually die? 	What's the point of life if we all eventually die? 	344	344	True	0.0066239834
57	Faites de l'exercice avec modération. 	Exercise moderately. 	Please look at the top of my glasses. 	746	721	False	0.0070996284
58	As-tu quitté l'État au cours des 14 derniers jours ? 	Have you left the state within the last 14 days? 	Have you had a persistent cough within the past few days? 	492	370	False	0.0061602592
59	Nos femmes nous manquent vraiment. 	We really miss our wives. 	Marie's parents are rich. 	93	405	False	0.0044066906
60	Continue de rêver. 	Keep dreaming. 	I testified. 	99	157	False	0.0055348873
61	Prends ton portable avec toi. 	Bring your phone. 	I went to bed with my clothes on. 	325	80	False	0.006211281
62	Écrivez avec un stylo, s'il vous plaît. 	Write with a pen, please. 	Add me on Facebook if you want. My name there is Ryck Vernaut. 	578	188	False	0.005999446
63	Les trucs que j'ai mis à la poubelle ne sont plus utiles. 	The things I put in the trash can are no longer useful. 	The things I put in the trash can are no longer useful. 	198	198	True	0.00699389
64	Depuis qu'elle est partie, il a perdu son sourire. 	Since she left he has lost his smile. 	I haven't seen him lately; give him my regards. 	615	163	False	0.0043628216
65	On ne peut pas gagner sans participer. 	You can't win if you don't play. 	I can finally walk without a limp. 	536	42	False	0.0050718784
66	Les arbres perdent rapidement leurs feuilles. 	Trees lose their leaves quickly. 	Trees lose their leaves quickly. 	450	450	True	0.007363081
67	Pourquoi voulez-vous apprendre le portugais ? 	Why do you want to learn Portuguese? 	Why do you want to learn Portuguese? 	512	512	True	0.0037487745
68	Vous a-t-on déjà diagnostiqué un problème cardiaque ? 	Have you ever been diagnosed with a heart condition? 	Have you ever been diagnosed with hemophilia? 	102	805	False	0.005783081
69	Elle va s'y habituer rapidement. 	She's going to get used to it quickly. 	You're afraid of us. 	43	266	False	0.003984213
