	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	Gi mi da one deh.	Give me that one.	Give me that one there.	121	23	False	0.010648251
1	Gi mi da one deh.	Give me that one there.	Give me that one there.	23	23	True	0.010648251
2	Mi gaan!	Good bye!	References 	50	40	False	0.0065145493
3	Mi gaan!	Good-bye!	References 	52	40	False	0.0065145493
4	Mi gaan.	Good-bye.	Good morning.	46	135	False	0.00813055
5	Mi gaan, Sayoko!	Good-bye, Sayoko!	Good-bye, Sayoko!	101	101	True	0.005627036
6	Gud Mawnin!	Good morning!	I am hungry!	144	58	False	0.006878257
7	Gud Mawnin.	Good morning.	I am old.	135	97	False	0.0066848993
8	How yuh duh?	How are you doing?	I'm 19.	136	118	False	0.009583712
9	How yuh duh?	How are you?	I'm 19.	70	118	False	0.009583712
10	Mi a 12.	I am 12 years old.	I'm 19.	95	118	False	0.008488536
11	Mi a 18.	I am 18 years old.	I'm 19.	108	118	False	0.008872032
12	Mi a 19.	I am 19 years old.	I'm 19.	106	118	False	0.00811255
13	Mi a 24.	I am 24 years old.	I'm 19.	109	118	False	0.009150505
14	Hungry have mi!	I am hungry!	I am old.	58	97	False	0.005737424
15	Mi old.	I am old.	I am old.	97	97	True	0.004568696
16	Mi nuh hab it.	I don't have it.	I'm 19.	36	118	False	0.005727291
17	Mi luv yuh!	I love you!	I'm 19.	47	118	False	0.0075780153
18	Mi luv yuh!	I love you.	I'm 19.	1	118	False	0.0075780153
19	Mi a 18.	I'm 18 years old.	I'm 19.	113	118	False	0.008872032
20	Mi a 19.	I'm 19.	I'm 19.	118	118	True	0.00811255
21	Mi a 24.	I'm 24 years old.	I'm 19.	69	118	False	0.009150505
22	Mi a 25.	I'm 25 years old.	I am old.	138	97	False	0.009071827
23	Hungry have mi!	I'm hungry!	I am old.	134	97	False	0.005737424
24	Mi old.	I'm old.	I am old.	88	97	False	0.004568696
25	Tom dehyah?	Is Tom here?	I'm 19.	48	118	False	0.007048011
26	Mi deh wish yuh a Merri Crissmuss.	I wish you a Merry Christmas.	Good-bye, Sayoko!	139	101	False	0.010735631
27	Merri Crissmuss!	Merry Christmas!	Good-bye, Sayoko!	112	101	False	0.006865144
28	No, mi nuh hab it.	No, I don't have it.	Give me that one there.	145	23	False	0.0070391893
29	Tom a 30.	Tom is 30 years old.	I am old.	84	97	False	0.004855275
30	Wah yuh faada niem?	What is your father's name?	Main symptoms of malaria[10] 	7	6	False	0.007924318
31	Wah yuh muma name?	What is your mother's name?	Good-bye, Sayoko!	67	101	False	0.011446595
32	Wah yuh name?	What's your name?	I'm 19.	15	118	False	0.009137869
33	Weh yuh did deh?	Where were you?	I'm 19.	102	118	False	0.011083126
34	Yuh nyam too much.	You eat too much.	Good-bye, Sayoko!	71	101	False	0.0071651936
35				140	21	False	0.0
36	Simtom naamali prizent dehself afta wan tu chrii die ah deh yuujali no laas langga dah wan wiik.	Symptoms normally present themselves after one to three days and are usually no longer present after a week. 	"Retrieved 23 August 2017. ↑ ""ليال عبود layal abboud"". asraroki.com/. "	44	110	False	0.01161015
37	Tempareri laktuos intalrans kiah okor.	Temporary lactose intolerance can occur. 	Main symptoms of malaria[10] 	93	6	False	0.011866212
38	Di Yunaitid Stiet Senta fi Diziiz Kanchuol ah Privenshan (CDC) mentien wah op-tu-diet somari a avielebl labrichri tes.[26] Askaadin tu di CDC, rapid dayagnastik tes ab a sensitiviti a 50–75% ah spisifisiti a 90–95% wen kompier wid vairal kolcha.[27] Demaya tes maita espeshali yuusful juurin di influenza siizn (privalens=25%) bot ina di absens a luokal outbriek, ar peri-influenza siizn (privalens=10%[25]).	The United States Centers for Disease Control and Prevention (CDC) maintains an up-to-date summary of available laboratory tests.[26] According to the CDC, rapid diagnostic tests have a sensitivity of 50–75% and specificity of 90–95% when compared with viral culture.[27] These tests may be especially useful during the influenza season (prevalence=25%) but in the absence of a local outbreak, or peri-influenza season (prevalence=10%[25]). 	Secondary parkinsonism is due to known causes like toxins. 	13	99	False	0.0071873665
39	Apraximetli 33% a piipl wid influenza deh asimtomatik.[14]	Approximately 33% of people with influenza are asymptomatic.[14] 	Approximately 33% of people with influenza are asymptomatic.[14] 	31	31	True	0.008367419
40	Ina fiimiel, di muos kaman taip a bres kiansa, kolorektal kiansa, long kiansa ah soervikal kiansa.[6] Ef kin kiansa outsaida melanuoma weh fi ingkluud ina tuotal nyuu kiansa iich ier iwuda akount fi rong 40% a kies.[17][18] Ina pitni, akyuut limfoblastik lyuukiimia ah brien tyuuma a di muos kaman exep ina hAfrika we nan-Ajkin limfuoma okor muotaim.[14] Ina 2012, bout 165,000 pitni anda 15 ier a iej eh-dayagnuoz wid kiansa.	In females, the most common types are breast cancer, colorectal cancer, lung cancer and cervical cancer.[6] If skin cancer other than melanoma were included in total new cancers each year it would account for around 40% of cases.[17][18] In children, acute lymphoblastic leukaemia and brain tumors are most common except in Africa where non-Hodgkin lymphoma occurs more often.[14] In 2012, about 165,000 children under 15 years of age were diagnosed with cancer. 	Secondary parkinsonism is due to known causes like toxins. 	61	99	False	0.009054184
41	Tubako yuus a di kaaz a bout 22% a kiansa det.[1] Aneda 10% juu tu obisiti, puo dayat, lak a fizikal aktiviti ah jingkin alkowal.[1][4] Adaels fakta ingkluud soertn infekshan, expuoja tu ayanaizin redieshan ah invairamental paluutant.[5] Ina di divelopin wol nieli 20% a kiansa juu tu infekshan laka epataitis B, epataitis C ah yuuman papiluomavairos (HPV).[1] Demaya fakta hak, akliis paatli, bai chienjop di jiinzdem ina sel.[6] Tipikali nof jinetik chienj rikuaya bifuo kiansa kiah divelop.[6] Apraximetli 5–10% a kiansa juu tu jinetik difek inerit frah di poersn pierans.[7] Kiansa kiah ditek bai soertn sain ah simtom ar skriinin tes.[1] Ikiah den tipikali investigiet forda bai medikal imijin ah kanfoerm bai bayapsi.[8]	Tobacco use is the cause of about 22% of cancer deaths.[1] Another 10% is due to obesity, poor diet, lack of physical activity and drinking alcohol.[1][4] Other factors include certain infections, exposure to ionizing radiation and environmental pollutants.[5] In the developing world nearly 20% of cancers are due to infections such as hepatitis B, hepatitis C and human papillomavirus (HPV).[1] These factors act, at least partly, by changing the genes of a cell.[6] Typically many genetic changes are required before cancer develops.[6] Approximately 5–10% of cancers are due to inherited genetic defects from a person's parents.[7] Cancer can be detected by certain signs and symptoms or screening tests.[1] It is then typically further investigated by medical imaging and confirmed by biopsy.[8] 	Secondary parkinsonism is due to known causes like toxins. 	41	99	False	0.008613944
42	Okiejanali, influenza kiah kaaz sivier ilnis ingkluudn praimri vairal nyuumuonia ar sekanderi baktiirial nyuumuonia.[28][29] Di abvios simtom a chobl wid briidin.	Occasionally, influenza can cause severe illness including primary viral pneumonia or secondary bacterial pneumonia.[28][29] The obvious symptom is trouble breathing. 	Secondary parkinsonism is due to known causes like toxins. 	18	99	False	0.008345842
43	Som STI kiah kaaz prablem wid di abiliti fi get prignant.[1]	Some STIs may cause problems with the ability to get pregnant.[1] 	"Retrieved 23 August 2017. ↑ ""ليال عبود layal abboud"". asraroki.com/. "	115	110	False	0.009503841
44	Dis paashal rizistans disapier uoba soh mont tu ier ef di poersn no kantiniu expuoz tu malieria.[2]	This partial resistance disappears over months to years if the person has no continuing exposure to malaria.[2] 	"Retrieved 23 August 2017. ↑ ""ليال عبود layal abboud"". asraroki.com/. "	104	110	False	0.012217879
45	Aizak Mendiz Belisario ar Isaac Mendes Belisario (1795–1849) wena Jumiekan aatis a Juwish disent.	Isaac Mendes Belisario (1795–1849) was a Jamaican artist of Jewish descent. 	Isaac Mendes Belisario (1795–1849) was a Jamaican artist of Jewish descent. 	105	14	False	0.007049203
46	Klin Iiswud (baan Rabat Braama) a wan Jumiekan regay DJ, huu did rekaad az wan suolo aatis inna di liet 1970-dem an orly 1980-dem bifuor im tiim op wid British DJ Jinaral Sient az di dewuo Klin Iiswud an Jinaral Sient.	Clint Eastwood (born Robert Brammer) is a Jamaican reggae deejay, who recorded as a solo artist in the late 1970s and early 1980s before teaming up with UK deejay General Saint as the duo Clint Eastwood & General Saint. 	"ISBN 0-415-90345-9. ↑ Serju, Christopher (29 January 2011). ""Bairds Bare Sligoville's Rich Past"". The Gleaner. "	90	2	False	0.008665681
