	source_sent	gold_sent	predicted_sent	true_id	predicted_id	correct_pair	cosine_similarity
0	5 Namba 1, sapos man i tingting planti tru long pasin nogut i stap long dispela graun, ating sampela samting nogut i bin painim em yet o wanpela long famili bilong em.	What Did You Learn?	12 Lands and PeoplesA Visit to Azerbaijan	695	605	False	0.006215334
1	Taim mi go bek long haus, famili bilong mi i lukim olsem dispela trening mi kisim i bin helpim mi gut.	In the parable, all the virgins responded to the nighttime shout: “Here is the bridegroom!”	12 Lands and PeoplesA Visit to Azerbaijan	159	605	False	0.005195737
2	Pasin Bilong Senisim Tingting —YU MAS MEKIM	“Let each one keep seeking, not his own advantage, but that of the other person.”​—1 Corinthians 10:24.	12 Lands and PeoplesA Visit to Azerbaijan	864	605	False	0.0055531263
3	YIA MI BON: 1941	Eventually, José decided to change his lifestyle and took a serious interest in studying the Bible.	12 Lands and PeoplesA Visit to Azerbaijan	432	605	False	0.0077974796
4	Narapela memba bilong komiti i save go wantaim mi olgeta taim.	(Psalm 1:1, 2) Reading God’s Word daily will bring us the “happy” result of being truly refreshed and reinvigorated, prepared to continue our Christian course.	12 Lands and PeoplesA Visit to Azerbaijan	632	605	False	0.005239725
5	Ol kongrigesen sevan i mekim wanem ol wok bilong helpim kongrigesen long i stap wanbel?	You see, I suffer from a condition called osteogenesis imperfecta, better known as brittle bone disease.	12 Lands and PeoplesA Visit to Azerbaijan	523	605	False	0.009648323
6	Olsem, sampela taim bikpela hevi i kamap na ol brata long ol Hospital Lieson Komiti i mas lusim slip na kirap i go lukim brata o sista long haus sik samting.	(Jeremiah 17:9; Ephesians 2:12; 4:18; Colossians 1:21) To gain God’s friendship, we must learn to pattern our thinking after God’s ways.	(1 Chronicles 29:14; 1 Timothy 6:17, 18) In fact, the weightier our responsibilities, the more humble we need to be.	44	299	False	0.007889032
7	Ol i tok ol wan wan hap o “haus long heven,” em ol ples bilong sampela god.	(Psalm 26:12; Luke 2:36, 37) Meetings are an important way in which we are fed spiritually.	He added that no one can gain salvation by his own efforts.	126	530	False	0.0054872036
8	Jehova i harim toktok bilong tupela, na em yet i bekim tok bilong helpim Moses.	Life Story	12 Lands and PeoplesA Visit to Azerbaijan	388	605	False	0.0072962046
9	Nehemia i makim planti famili bilong mekim dispela bikpela wok bilong stretim bek banis, na olgeta famili i wok gut wantaim.* Em i makim olsem 40 narapela narapela lain na olgeta wan wan lain i stretim wanpela “hap bilong banis.”	You benefit yourself, and you delight Jehovah and your fellow Christians!​—Ps. 110:3.	COVER SUBJECT | THE FOUR HORSEMEN​—HOW THEIR RIDE AFFECTS YOU	909	222	False	0.0071846247
10	Em i kolim ol stori olsem, “stori bilong Adam na Iv, Kein na Abel, Devit na Goliat, mama i karim Jisas, Sakius em man bilong kisim takis, stori bilong pikinini i lusim papa, na man Samaria.”	To the east, he seems to have reached Babylon, and he probably finished his days in the west, at a Greek colony in what is now southern Italy.	12 Lands and PeoplesA Visit to Azerbaijan	208	605	False	0.005906701
11	Bagarap i bin kamap long taim ol Juda i no stap gut long Jehova na em i no lukautim ol moa​—⁠em i larim ol Babilon i kam na bagarapim Jerusalem na kisim ol lain bilong en i go kalabus.	A pioneer named Janeen explains: “Each time I have an opportunity to teach the truth to others, I feel that a deeper impression of these truths is engraved on my mind and heart.	1, 2. (a) What did some religious leaders want to know, and how did Peter respond?	735	569	False	0.008575559
12	[Blok/Ol Piksa long pes 22]	(James 3:17) His laws are superior to all others.	He is aware of all our hard work, and nothing that affects his servants can be hidden from him.	766	223	False	0.0059797764
13	Tasol sampela i stap, olsem na yumi inap bihainim ol samting Gideon i bin mekim.	What warning did Jehovah give the Israelites shortly before they entered the Promised Land?	12 Lands and PeoplesA Visit to Azerbaijan	863	605	False	0.007193327
14	Dispela man i laik helpim yu na em i laik bai yu stap amamas.—Stiatok bilong Baibel: Song 141:5.	During such periods, nobody could become patriarch against the emperor’s will or remain so for long.	12 Lands and PeoplesA Visit to Azerbaijan	54	605	False	0.004793167
15	Ulrich Luz em wanpela saveman long Swiselan i tok, long nau ol saveman bilong Baibel i kamapim tingting bilong ol long dispela tok Jisas i mekim long Pita.	Jesus foretold that this wicked world would be brought to an end so that a better world could begin.	12 Lands and PeoplesA Visit to Azerbaijan	361	605	False	0.0067204237
16	18 Taim strongpela ami bilong ol Asiria i kam insait long Juda na tok long bagarapim Jerusalem long yia 732 B.C.E. samting, King Hesekia i beten olsem: “God, Bikpela bilong mipela, nau mi laik bai yu helpim mipela na kisim bek mipela . . . na bai olgeta lain manmeri bilong graun i ken save gut olsem, yu tasol yu Bikpela.”	But the cold bore into us relentlessly all the same.	12 Lands and PeoplesA Visit to Azerbaijan	203	605	False	0.0077545643
17	Na olsem wanem long tupela pikinini man bilong Aron, em Nadap na Abihu?	(Matthew 19:19) Work on developing healthy self-respect.* Enduring mistreatment will not help you to do that.	12 Lands and PeoplesA Visit to Azerbaijan	14	605	False	0.0059816837
18	Taim yumi wok oltaim long kisim ol kaikai bilong spirit “long taim bikman i makim”​—⁠long ol buk Kristen, ol miting, na ol kibung​—⁠yumi ken save dispela bai mekim yumi stap “wanbel” wantaim ol wanbilip long bilip na stretpela save.​—⁠Matyu 24:⁠45.	Imagine the mother’s crushing grief.	12 Lands and PeoplesA Visit to Azerbaijan	702	605	False	0.0057588816
19	YU BIN ritim hap bilong niuspepa i kamapim nem bilong ol man i bin i dai, o ritim stori bilong wanpela man i dai pinis na ol bikpela wok em i bin mekim?	I was rather apprehensive, wondering what he might be up to.	12 Lands and PeoplesA Visit to Azerbaijan	957	605	False	0.011636257
20	Em wantaim man bilong em Joachim i ritim ol buk i stori long wok bilong ol spirit nogut, na ol i save gut long ritim ol kas tarot.	(Acts 7:22) Instead, Moses chose to be “ill-treated with the people of God.”	Today such titles as Your Excellency and Your Honor are also customarily used to address those holding public office.	926	924	False	0.01180172
21	Olsem na ol i kisim em taim ol i wok long painim ol yangpela meri, na ol i rausim em long Mordekai na bringim em i go long haus king long hapsait bilong wara.	The emotion of romantic love and the ecstasy enjoyed between a man and a woman are gifts from God.	12 Lands and PeoplesA Visit to Azerbaijan	341	605	False	0.009488106
22	Em i tok: “Mi go stap long wanpela liklik haus we i no gat frits, TV, o rot bilong kisim Intenet.	What Happens After Death? 3	12 Lands and PeoplesA Visit to Azerbaijan	950	605	False	0.006863594
23	Mi beten askim Jehova long lusim rong bilong mi na long givim strong long mi long bihainim stretpela rot.	11 Jehovah’s long-suffering in dealing with the faithless nation of Israel provides further insight into how he looks for the good in his people.	[Pictures on page 19]	377	555	False	0.007139206
24	Mi ritim stori bilong ol planti taim, na long tingting bilong mi i olsem ol i stap laip.	Illustrate.	12 Lands and PeoplesA Visit to Azerbaijan	49	605	False	0.008499265
25	Jisas i bekim tok olsem: “Ol man i no gat sik ol i no save go lukim dokta, tasol ol sikman ol i save go lukim dokta.	Everything about the castle​—its multicolored relief sculptures of winged bulls, archers, and lions of glazed brickwork, its fluted stone columns and imposing statues, even its position atop huge platforms near the snowcapped Zagros Mountains and overlooking the pure waters of the river Choaspes—​was designed to remind each visitor of the immense power of the man whom she was going to see, the one who called himself “the great king.”	12 Lands and PeoplesA Visit to Azerbaijan	577	605	False	0.007009268
26	Maski i olsem, yumi bilip tru long ol tok promis bilong God long gutpela laip long bihain.	“The sun of righteousness,” Jesus Christ, shines forth upon those reverentially fearing God’s name, and they enjoy Jehovah’s favor.	12 Lands and PeoplesA Visit to Azerbaijan	187	605	False	0.006870389
27	Taim yu baim samting long stua, stretim haus, o skelim pe bilong ol kopra samting yu save yusim matematiks.	(Proverbs 4:23) In making his decision regarding birthstones, each Christian would do well to consider his motive and the possible effects of his course on himself and others.​—Romans 14:13.	12 Lands and PeoplesA Visit to Azerbaijan	403	605	False	0.006297469
28	Na sapos mi givim olgeta samting bilong mi long ol rabisman, na sapos mi larim ol man i holimpas mi na kukim bodi bilong mi long paia na mi dai pinis, tasol sapos mi no bin givim bel bilong mi long ol, orait dispela olgeta pasin bilong mi bai i no inap helpim mi liklik.” (1 Korin 13:​1-3) Tru tumas, pasin bilong givim bel, olsem pasin laikim, em i bikpela samting bambai God i ken orait long lotu bilong yumi.	“It was something I deeply regretted and just wanted to lock away and forget.”	12 Lands and PeoplesA Visit to Azerbaijan	102	605	False	0.007902622
29	Ol i no lain yet long yusim Baibel tasol long autim tok—ol i save tilim buk na larim ol man yet long ritim, na i olsem dispela buk i autim tok long ol man.	Just think of it!	12 Lands and PeoplesA Visit to Azerbaijan	780	605	False	0.009229541
30	Sapos ol narapela i bagarapim bel bilong wanpela wanblut bilong ol, orait ol tu bai pilim wankain.	For example, we no longer “speak in tongues” or “prophesy.” (1 Cor. 13:8; 14:5) Even so, Paul’s instructions give us insight into how Christian meetings should be conducted today.	In our race for everlasting life, we do not know the “day and hour” when the end of the race will come.	145	470	False	0.011025548
31	Givim ol dispela askim long yu yet:	Drawn by the lively marching tune, I followed the musicians to the station in time to see Father and other men dressed in military uniform boarding the train.	12 Lands and PeoplesA Visit to Azerbaijan	26	605	False	0.0047255754
32	Narapela painia sista long kongrigesen bilong Bobbi i tok: “I hatwok tru long painim ol poroman bilong autim tok long apinun.”	Therefore, Tiberius’ reputation may well have figured in Pilate’s decision to bow to the pressure from the Jewish leaders and order the execution of Jesus.​—John 19:13-16.	12 Lands and PeoplesA Visit to Azerbaijan	379	605	False	0.009105325
33	Long ol yia i go pinis, sampela volantia long brens ofis bilong ol Witnes Bilong Jehova long Japan i mas kisim operesen.	One survivor of the 1906 earthquake called it “the most terrible disaster that ever befell a state or city.”	12 Lands and PeoplesA Visit to Azerbaijan	562	605	False	0.0073052645
34	Ating yu pilim olsem yu no inap mekim wanpela samting bilong helpim pikinini taim em i wok long i go bikpela.	How can a clear picture of our unseen reward help us today?	In this article, we will consider some of them.	505	760	False	0.00564003
35	Dispela inap mekim wanem long pasin bilong yu long bilip long yu yet?	(1 Chronicles 29:14; 1 Timothy 6:17, 18) In fact, the weightier our responsibilities, the more humble we need to be.	12 Lands and PeoplesA Visit to Azerbaijan	299	605	False	0.007453203
36	Bilong wanem ol i pilim olsem?	But we always apologized to each other later.	12 Lands and PeoplesA Visit to Azerbaijan	698	605	False	0.0072832108
37	I stap bilong Jisas em i gutpela piksa tru na i skulim yumi olsem yumi mas i stap wanem kain man.	Can these manuscripts be useful to Bible students today?	12 Lands and PeoplesA Visit to Azerbaijan	404	605	False	0.007822394
38	“Dispela tok yu mas givim long ol man i save holimpas bilip. Na ol bai inap tru long winim mak bilong skulim ol arapela.”—2 TIM.	When we find out that someone was offended by what we said or did, we may feel that the person is being unreasonable or too sensitive.	Instead of helping ordinary people to understand the Bible, the Vulgate made it a closed book because eventually most people knew no Latin at all.	941	46	False	0.0140122175
39	Long rot bilong Moses, God i mekim wok long bikpela strong bilong em long helpim ol Israel long lusim Isip, na em i soim rot long ol long ples drai nating i go inap long Graun Bilong Promis.	Why could Judah not escape woe?	12 Lands and PeoplesA Visit to Azerbaijan	263	605	False	0.007100463
40	Sapos yumi no mekim gutpela disisen, dispela inap bagarapim bilip bilong ol narapela, pundaunim ol, na bagarapim pasin wanbel insait long kongrigesen.	This tribe lived here long before the Spanish colonization.	When the brothers finally reached Rome, Pope Adrian II granted full approval for their use of Slavonic.	872	141	False	0.0044560432
41	Ol i mas bilip tru long God, em God i save givim yumi planti gutpela samting bilong mekim yumi amamas.” (1 Timoti 6:17) Planti man i lain long bilip long Jehova na i no long ol samting bilong skin o ol samting bilong amamas, na dispela i mekim na ol inap long daunim hevi bilong tingting planti na wari olsem bipo ol i bin mekim.​—⁠Matyu 6:​19-21.	He added that no one can gain salvation by his own efforts.	Some find it comparatively easy to control themselves, self-control posing no great problem.	530	963	False	0.0043548346
42	Ating em i gat tingting olsem ol bai mekim bikpela wok long dispela bilong wokim Baibel Komplutensian Poliglot.	Bethuel’s family blessed their beloved Rebekah.	12 Lands and PeoplesA Visit to Azerbaijan	438	605	False	0.006798029
43	[Blok/Piksa long pes 16]	But we must also keep in mind the second part of this expression, namely, “and his righteousness.”	12 Lands and PeoplesA Visit to Azerbaijan	334	605	False	0.008340955
44	Tupela brata bilong mi​—⁠Mike i gat 94 krismas, na Peter i gat 90 krismas​—⁠ol i stap yet na mekim wok bilong Jehova long Kanada.	17 Though nearly 2,000 years have passed since Jesus said that the good news would be preached, the zeal that God’s people have for the work has not diminished.	Shops closed.	405	114	False	0.0076417923
45	Bihain em i stori long mi long wanem samting i bin kamap.	[Picture on page 29]	12 Lands and PeoplesA Visit to Azerbaijan	217	605	False	0.006969452
46	“Na bikpela lait i raunim em.	PAGE 7 • SONGS: 65, 64	12 Lands and PeoplesA Visit to Azerbaijan	982	605	False	0.007972717
47	15 Planti man long nau i pilim olsem ol i no gat taim long mekim gut long ol arapela.	WATCHING THE WORLD	11 We do not have to endure alone.	771	454	False	0.009367824
48	Long wanpela kantri long Esia, i gat 13 o 14 man ol i pas pas insait long sel i liklik tru olsem 3-pela skwe mita tasol.	Many go into debt, learning the hard way that “the borrower is a slave to the lender.”​—Proverbs 22:7.	12 Lands and PeoplesA Visit to Azerbaijan	553	605	False	0.0067204237
49	Ol dispela paitman i bin dring long ol kap ol i wokim long het bilong ol man ol i bin kilim i dai, na ol i werim laplap ol i bin wokim long skin bilong het bilong ol dispela man.	“God is love.” (1 John 4:8) He never lies.	(Genesis 1:12, 18, 21, 25, 31) Before reaching that perfect conclusion, however, God spoke of something that was “not good.”	933	890	False	0.054755926
50	Ol i no gat bikpela strong, olsem na yupela i mas givim ona long ol.” (1 Pita 3:7) Taim tupela marit i stap long ai bilong ol narapela o tupela yet i stap, maritman i mas yusim ol tok i soim rispek long meri na em i mas mekim ol pasin i soim olsem em i sori long meri.	Many foreigners have moved to the beach resorts in Mexico, seeking some kind of paradise.	12 Lands and PeoplesA Visit to Azerbaijan	309	605	False	0.0059444904
51	Tasol taim ol i tanim bel na singaut long em i helpim ol, em i marimari long ol na kamapim ol hetman bilong kisim bek ol.	They can also spread through skin contact, such as hugging or shaking hands.	Martin Luther was born in Eisleben, Germany, in November 1483.	840	705	False	0.0053958893
52	Kamapim Ol Kastam na Pasin Bilong Ol Man	The good news is being preached in 37 foreign languages by over 24,000 publishers	12 Lands and PeoplesA Visit to Azerbaijan	516	605	False	0.00875783
53	Em i soim olsem i stret yumi bel hevi long kain taim olsem.	As of September 1, 2014, appointments are being made as follows: Each circuit overseer carefully reviews the recommendations being made in his circuit.	12 Lands and PeoplesA Visit to Azerbaijan	422	605	False	0.0058401823
54	Olsem wanpela Papa, God Jehova i save givim tok long yumi long rot bilong Baibel: “Pikinini, yu mas harim gut tok bilong mi, na bai yu stap longpela taim long graun. . . .	Did Jesus really die on a cross?	12 Lands and PeoplesA Visit to Azerbaijan	574	605	False	0.007345438
55	Yumi tok promis long mekim laik bilong God, na yumi inap mekim wankain tok olsem man bilong raitim song, em i tok: “Mi surik long bihainim pasin nogut, long wanem, mi laik bihainim tok bilong yu tasol.”	OSSETIA	This counsel was meant to discourage public prayer that was offered to call attention to the one praying and to elicit praise from others.	736	373	False	0.0068056583
56	19 Ritim Song 45:1, 17.	[2] (paragraph 3) See the box “Reasons to Attend Meetings.”	12 Lands and PeoplesA Visit to Azerbaijan	207	605	False	0.008355856
57	Tasol man i no bilong dispela kantri, olsem na ol i mas mekim wanem?	Such repeated failure of human attempts to end war merely emphasizes the truth of Jeremiah’s words: “I well know, O Jehovah, that to earthling man his way does not belong.	1, 2. (a) What did some religious leaders want to know, and how did Peter respond?	573	569	False	0.0077034235
58	Tingim evidens i kamapim klia olsem Jisas i bin kirap bek.	Suggestion: Make a list of any negative statements you use to describe your situation, and then write down next to each one a positive statement to replace it.	For example, Noah was living when the pre-Flood world was ending.	476	559	False	0.006376624
