text,text_preprocessed,LEN,label
Sa paj ka konsèrné lannen 1397 di [[kalandriyé julyen]].,Sa paj ka konsèrné lannen di kalandriyé_julyen,7,0
"[[Lò]] [[Mahomet]] mouri, musulman-yan té konfronté à dé ka di figir ki pa abòrdé dirèkman annan Koran-an, di jésyon-an di monn é di partaj di pouvwar.",Lò Mahomet mouri musulmanyan té konfronté à dé ka di figir ki pa abòrdé dirèkman annan Koranan di jésyonan di monn é di partaj di pouvwar,26,324
Oun vètman sa roun artik di aliman ki ka sèrvi pou kouvri oun [[parti]] di kò moun.,Oun vètman sa roun artik di aliman ki ka sèrvi pou kouvri oun parti di kò moun,17,111
1547 sa roun lannen koumin ki ka koumansé oun [[sanmdi]].,sa roun lannen koumin ki ka koumansé oun sanmdi,9,1
"[[So]] sirfas d'échanj sa soupannan byen pli piti ki entésten-an (300 à 400 m2, anviron Dé téren di ténis) ké poumon-an (80 m2).",So sirfas déchanj sa soupannan byen pli piti ki entéstenan ké poumonan,12,202
4 janvyé : Gustave II Adolphe di [[Swèd]] ka pran Greifenhagen épi Garz (6 janvyé).,janvyé Gustave II Adolphe di Swèd ka pran Greifenhagen épi Garz,11,48
"[[Ibn Al-Roumi]], oben [[Abou el-Hassan]] Ali ben Abbas ar-[[Roumi]], sirnonmen ibn ar-[[Roumi]] pas so pè té krétchen, sa roun powèt arab chiite né an 836 é mouri an 896, atè [[Bagdad]].",Ibn_AlRoumi oben Abou elHassan Ali ben Abbas arRoumi sirnonmen ibn arRoumi pas so pè té krétchen sa roun powèt arab chiite né an é mouri an atè Bagdad,28,2
"Tèrm-an sa résan é sa envanté pou dézigné pansé filozofik-a di sivilizasyon ògsidantal-a di so rakaba grèk-ya, an Lagrès antik, é ka kouvri évantchwèlman oun grann [[parti]] di glòb ki ka enkli [[Amérik]] di Nò ké [[Ostrali]]-a.",Tèrman sa résan é sa envanté pou dézigné pansé filozofika di sivilizasyon ògsidantala di so rakaba grèkya an Lagrès antik é ka kouvri évantchwèlman oun grann parti di glòb ki ka enkli Amérik di Nò ké Ostralia,37,325
"[[Mo]] ""filozofi"" sa li-menm orijinèr di Lagrès antik-a : philosophia (φιλοσοφία), litéralman, « lanmou di sajès-a » (φιλεῖν - philein « kontan » épi σοφία - sophia ""sajès"", annan sans-a di konésans-a)",Mo filozofi sa limenm orijinèr di Lagrès antika philosophia litéralman « lanmou di sajèsa »,15,158
"Roger d’Antioche ka asiré so kò kontrol-a di tout larout-ya mennen atè [[Alep]], ka tchipé prensipal fòrtérès-ya ki kz antouré lavil-a, é fot di rézistans, ka rivé menm à prélvé oun taks asou chak pèlren ki ka randé so kò à [[La Mecque]].",Roger d ’ Antioche ka asiré so kò kontrola di tout laroutya mennen atè Alep ka tchipé prensipal fòrtérèsya ki kz antouré lavila é fot di rézistans ka rivé menm à prélvé oun taks asou chak pèlren ki ka randé so kò à La Mecque,45,32
