text,text_preprocessed,LEN,label
"Layal Mounir Aboud ([[árabe]]:ليال عبود, nasí [[15 di mei]] [[1982]], Kanisah) ta un kantante di musika popular i musika folkloriko, farandulero, poeta liriko, bailadó di konsierto, modelo (di fitness) i humanista islamita di [[Líbano]].",Layal Mounir Aboud ta un kantante di musika popular i musika folkloriko farandulero poeta liriko bailadó di konsierto modelo i humanista islamita di Líbano,24,42
Turin ([[Italiano]]: Turin) ta un siudat den e parti nort di [[Italia]] i [[kapital]] di region di [[Piemonte]].,Turin ta un siudat den e parti nort di Italia i kapital di region di Piemonte,16,115
Slovenia ta un pais den [[Oropa Sentral]].,Slovenia ta un pais den Oropa_Sentral,6,428
E kapital di Slovenia ta [[Ljubljana]].,E kapital di Slovenia ta Ljubljana,6,151
Slovenia tabata forma parti di [[Yugoslavia]] prome ku e pais aki a desintegra den ananan nobenta di siglo pasa.,Slovenia tabata forma parti di Yugoslavia prome ku e pais aki a desintegra den ananan nobenta di siglo pasa,19,496
Slovenia ta miembro di [[Union Oropeo]].,Slovenia ta miembro di Union_Oropeo,5,0
"Dia di Betico ta un dia nashonal na [[Aruba]], selebrá anualmente riba dia [[25 di yanüari]].",Dia di Betico ta un dia nashonal na Aruba selebrá anualmente riba dia di yanüari,15,110
"Betico Croes tabata e lider i gran luchador pa e [[status aparte di Aruba]] den [[Reino Hulandes]], sakando Aruba for di e konstelashon Antiano na 1986.",Betico Croes tabata e lider i gran luchador pa e status_aparte_di_Aruba den Reino Hulandes sakando Aruba for di e konstelashon Antiano na,22,504
Selebrashonnan riba Plaza Betico Croes na [[Oranjestad]] ta konsisti di un seremonia protokolario parti mainta y un manifestashon kultural anochi.,Selebrashonnan riba Plaza Betico Croes na Oranjestad ta konsisti di un seremonia protokolario parti mainta y un manifestashon kultural anochi,20,391
"Komunidat arubano residensha na [[Kòrsou]] i [[Boneiru]] tambe ta selebra Dia di Betico, sinembargo na un eskala mas chikitu.",Komunidat arubano residensha na Kòrsou i Boneiru tambe ta selebra Dia di Betico sinembargo na un eskala mas chikitu,19,504
 ta un pueblo di [[Soria]].,ta un pueblo di Soria,5,1
Gerrit Fransisco Schotte (n. 9 september [[1974]] na [[Willemstad]]) ta un polítiko kurasoleño.,Gerrit Fransisco Schotte ta un polítiko kurasoleño,7,85
Entre 2010 i 2012 e tabata minister-presidente di [[Kòrsou]].,Entre i e tabata ministerpresidente di Kòrsou,7,54
Schotte ta bay den historia komo e prome minister-presidente di Kòrsou komo pais outonomo i ademas esun mas hoben den [[Reino Hulandes]] te e momento ey.,Schotte ta bay den historia komo e prome ministerpresidente di Kòrsou komo pais outonomo i ademas esun mas hoben den Reino_Hulandes te e momento ey,25,466
E koalishon aki lo bira e promé gabinete di [[Kòrsou]] despues di desmantelashon di Antias Hulandes dia 10 di òktober 2010.,E koalishon aki lo bira e promé gabinete di Kòrsou despues di desmantelashon di Antias Hulandes dia di òktober,19,154
