text,text_preprocessed,k10_label
"Fak es a kohman tuhi werd yuusd i' meni laengwij, inkluuden [[Inglish]].",Fak es a kohman tuhi werd yuusd i meni laengwij inkluuden Inglish,8_26
Ets a' form o' [[transport]]: a weih f' getten araun an t' carrieh kargo.,Ets a form o transport a weih f getten araun an t carrieh kargo,8_59
Leten Merika es wun region sityuuaitid i' [[Sowth Merika]] an' [[North Merika]].,Leten Merika es wun region sityuuaitid i Sowth_Merika an North Merika,8_26
"T' termin ""Osheania"" wos kreaytid i' 1831 b' [[French]] eksplora Dumont d'Urville.",T termin Osheania wos kreaytid i b French eksplora Dumont dUrville,8_59
Et es spoken mas i' [[Urup]] a' [[Asya]].,Et es spoken mas i Urup a Asya,8_26
Human enetomii es [[enetomii]] o' humans.,Human enetomii es enetomii o humans,8_26
 es t' ofishol [[kurencii]] a' [[Fiijii]].,es t ofishol kurencii a Fiijii,8_59
"Iin [[Norfuk]]/[[Pitkern]], t' uni letaa difr'nt iin t' [[Inglish]] ekronim es t' ""S"" as t' ""G"" (as t' Norfuk/Pitkern werd f' ""gay"" es ""suuta"").",Iin NorfukPitkern t uni letaa difrnt iin t Inglish ekronim es t S as t G,8_26
Dis 's wen Niue got independens an join'd i' t' frii associashun wi' [[Nyuu Ziilan]].,Dis s wen Niue got independens an joind i t frii associashun wi Nyuu_Ziilan,8_4
"Hebe Maria Camargo (barn 8 Maach 1929) esa [[Bresel]]yan television presenta, aktres an singa.",Hebe Maria Camargo esa Breselyan television presenta aktres an singa,8_20
"[[Puerto Rico]] ofishili t' [[Commonwealth of Puerto Rico]] ""(Spanish: [[Estado Libre Asociado de Puerto Rico]])"" esa Merikan teritorii.",Puerto_Rico ofishili t Commonwealth of Puerto Rico esa Merikan teritorii,8_20
[[A]]' Etem es a' baesik paatikel a' t' metaa.,A Etem es a baesik paatikel a t metaa,8_26
"[[Theresa Mary May]] (née Brasier, born 1 Oktoeba 1956) es t' Priim Minista a' t' [[Yunitid Kingdum]].",Theresa_Mary_May es t Priim Minista a t Yunitid Kingdum,8_58
"Mas salan a' Esrail es em [[Jua]], taedha salan a' em Erab an a' em Druus.",Mas salan a Esrail es em Jua taedha salan a em Erab an a em Druus,8_59
Blomberg esa toen i' [[Doichland]].,Blomberg esa toen i Doichland,8_13
Yaren Konstituensii es wan a' dem konstituensiis o' [[Nauruu]].,Yaren Konstituensii es wan a dem konstituensiis o Nauruu,8_26
"Iin d' Northern Hemisfiir, d' Kresmes siisen es iin [[winta]].",Iin d Northern Hemisfiir d Kresmes siisen es iin winta,8_26
Plenti o' em sitiis an tauns silibreit [[Kresmes]] lorngf' putinap dekorayshuns.,Plenti o em sitiis an tauns silibreit Kresmes lorngf putinap dekorayshuns,8_26
"Thus, Ángela and Samantha will hauf t' fight wi' all dem obstacles daa their enemies will [[put]] them through i' order t' b' hapii wi' t' piopel dey love, while always having a' brave heart.",Thus Ángela and Samantha will hauf t fight wi all dem obstacles daa their enemies will put them through i order t b hapii wi t piopel dey love while always having a brave heart,8_0
"Hii an hiis kuntrii, [[Nazi Jirmanii]], wos difiitid i' [[Werl War II]].",Hii an hiis kuntrii Nazi_Jirmanii wos difiitid i Werl War II,8_59
"Ongdalen esa plaes, formaa munisipalitii i' [[Norwaii]].",Ongdalen esa plaes formaa munisipalitii i Norwaii,8_20
"Nihat Haluk Bilginer (Juun 5 1954, Ismir, [[Turkii]]) esa wun Turkiish akter, huu plaay rols a' em [[Inglish]] an Merikan film.",Nihat Haluk Bilginer esa wun Turkiish akter huu plaay rols a em Inglish an Merikan film,8_66
"Ivens François ""Toon"" Buffett wos wun politikel figure o' t' Ostrielyan External Teritrii a' [[Norfuk Ailen]].",Ivens François Toon Buffett wos wun politikel figure o t Ostrielyan External Teritrii a Norfuk_Ailen,8_4
"T' Sauth Ailen moa ([[Maaori]]: ""Moa o Te Waipounamu"") es a [[moa]] from t' [[Sauth Ailen]] o' [[Nyuu Ziilan]].",T Sauth Ailen moa es a moa from t Sauth Ailen o Nyuu Ziilan,8_4
T’ largest citii es [[Johannesburg]].,T ’ largest citii es Johannesburg,8_26
"Bobrov esa toen i' [[Rusha]], t' populayshun esa 20 460 piopel (2018).",Bobrov esa toen i Rusha t populayshun esa piopel,8_13
" (), ofisholi , es one a' t' 47 prefectures a' [[Japan]].",ofisholi es one a t prefectures a Japan,8_26
A' haus es a' [[bilding]] daa salan liiv i'.,A haus es a bilding daa salan liiv i,8_26
A' haus es a' part o' [[aarkitekchur]].,A haus es a part o aarkitekchur,8_26
A dor esa ting daa ken bin yuusen f' getten intuu a' [[bilding]].,A dor esa ting daa ken bin yuusen f getten intuu a bilding,8_20
"Ardon esa toen i' [[Rusha]], a' populayshun a' 19,371 (2017).",Ardon esa toen i Rusha a populayshun a,8_13
"Mosaik esa aart a' maaken dekorashun a' letl piise o' glas, [[stoen]] ulla tiel.",Mosaik esa aart a maaken dekorashun a letl piise o glas stoen ulla tiel,8_20
"Daa refers tuu raiten as a' [[aart]] form, espeshuali novels, novellas, plais an poems.",Daa refers tuu raiten as a aart form espeshuali novels novellas plais an poems,8_59
"Valerii Leontiev ([[Maach]] 19, 1949) esa [[Rushan]] singer.",Valerii Leontiev esa Rushan singer,8_20
"Siiland ([[Inglish]]: ""Sealand"") esa mikronashun (letl kuntrii) a' t' platform i' North Sii neya t' coast o' t' [[Yunitid Kingdum]].",Siiland esa mikronashun a t platform i North Sii neya t coast o t Yunitid_Kingdum,8_29
[[Pridi Banomyong]] (1900 - 1983) is the Priim Minista a' t' Yunitid [[Tailan]].,Pridi_Banomyong is the Priim Minista a t Yunitid Tailan,8_58
Dis es biikaus dem [[ken]] receive t' piinus i' a' better way daa small briists.,Dis es biikaus dem ken receive t piinus i a better way daa small briists,8_26
Gels or cremes lokayted on t' briists o' t' piinus [[maa]] bii yusful.,Gels or cremes lokayted on t briists o t piinus maa bii yusful,8_59
I' es selebratid i' [[Nyuu Ziilan]] an [[Ostrielya]].,I es selebratid i Nyuu_Ziilan an Ostrielya,8_4
"Dani Rodrik ([[Orgas]] 14, 1957) esa Turkiish ekonomiist an t' Ford Foundayshun Professa o' Entanashunal Politikl Ekonomii a' t' Harvar Yuuniversitii.",Dani Rodrik esa Turkiish ekonomiist an t Ford Foundayshun Professa o Entanashunal Politikl Ekonomii a t Harvar Yuuniversitii,8_1
"[[Nyuu Ziilan]] es riisponsibel f' Dem Kuuk Ailens' defens an entanashunal riilaeshensheps, alla, dem ar eksersis'd i' konsyulayshun [[wit]]' [[Dem Kuuk Ailen]].",Nyuu_Ziilan es riisponsibel f Dem Kuuk Ailens defens an entanashunal riilaeshensheps alla dem ar eksersisd i konsyulayshun wit Dem Kuuk Ailen,8_2
"I' riisent tiems, [[Dem Kuuk Ailen]] hauf edoptid an enkriisinglii endapendint entanashunal polisii.",I riisent tiems Dem_Kuuk_Ailen hauf edoptid an enkriisinglii endapendint entanashunal polisii,8_26
"Alla Dem Kuuk Ailenas ar sitizens a' [[Nyuu Ziilan]], dem hauf t' status a' dem Kuuk [[Ailen]] nashunals, wich es nor giwen t' otha [[Nyuu Ziilan]] sitizens.",Alla Dem Kuuk Ailenas ar sitizens a Nyuu_Ziilan dem hauf t status a dem Kuuk Ailen nashunals wich es nor giwen t otha Nyuu_Ziilan sitizens,8_3
"T' Nyuu Ziilan dola es t' ofishil kurencii o' [[Nyuu Ziilan]], [[Dem Kuuk Ailen]], [[Tokelau]] an [[Niue]].",T Nyuu Ziilan dola es t ofishil kurencii o Nyuu_Ziilan Dem Kuuk Ailen Tokelau an Niue,8_4
  [[A]] flag [[esa]] wun a' em ofishol sembels o' kuntrii.,A flag esa wun a em ofishol sembels o kuntrii,8_20
Sam liw en [[Ostrielya]] an [[Nyuu Ziilan]].,Sam liw en Ostrielya an Nyuu Ziilan,8_4
"T' kapitel o' Nyuu Ziilan, [[Welingtan]], es on t' North Ailen.",T kapitel o Nyuu Ziilan Welingtan es on t North Ailen,8_4
Dem Isla Salas y Gómez es a' eist Pesific Oshen [[ailen]].,Dem Isla Salas y Gómez es a eist Pesific Oshen ailen,8_26
" es d' fifth manth a' d' iya, d' laas manth a' [[spring]] en d' laas manth a' [[ortam]].",es d fifth manth a d iya d laas manth a spring en d laas manth a ortam,8_15
"Asplenium dimorphum (Norfuk Ailen Spleenwort) esa species a' fern in t' Aspleniaceae family, endemic i' [[Norfuk Ailen]].",Asplenium dimorphum esa species a fern in t Aspleniaceae family endemic i Norfuk_Ailen,8_20
"I' 1910, t' Koriyan Peninsula waa aneksed b' [[Japan]], which waa at t' tiem known as t' Empire o' Japan.",I t Koriyan Peninsula waa aneksed b Japan which waa at t tiem known as t Empire o Japan,8_59
"Afta t' Japanese surrender followin their defeat i' [[Werl War II]] i' 1945, Koriya waa divided biitwiin t' [[Yunitid Staits o' Merika]] an t' Sowiet Yunyuun.",Afta t Japanese surrender followin their defeat i Werl_War_II i Koriya waa divided biitwiin t Yunitid Staits o Merika an t Sowiet Yunyuun,8_5
T' Flag o' t' [[Pitkern Ailen]] esa flag a' t' [[Pitkern Tal']] an t' flag o' t' [[Yunitid Kingdum]].,T Flag o t Pitkern_Ailen esa flag a t Pitkern Tal an t flag o t Yunitid Kingdum,8_58
