,text,text_preprocessed,LEN,label,score,aff_lcs,aff_lcs_label
1,"Lilistrasyon-an ki annan ankadré-a di sa artik ka montré loséyan [[Pasifik]]-a asou roun plannisfè : [[Pasifik]]-a sa patajé an nò ké sid, swivan lékwatò-a.",Lilistrasyonan ki annan ankadréa di sa artik ka montré loséyan Pasifika asou roun plannisfè Pasifika sa patajé an nò ké sid swivan lékwatòa,23,33,45.0,1,33-1
0,"Èstad Bwa Choda, di 4 000 [[plas]], ka sitchwé so kò asou lariv nò-a di [[lak]] éponnim ké roun kan d'antrennman à koté.",Èstad Bwa Choda di plas ka sitchwé so kò asou lariv nòa di lak éponnim ké roun kan dantrennman à koté,21,33,45.0,0,33-0
4,Li té fondé asou nosyon-an d'enpéryalism é té ka tchenbé di [[bay]] roun fon di dòktrin politik à nouvèl [[vag]]-a di kolonizasyon.,Li té fondé asou nosyonan denpéryalism é té ka tchenbé di bay roun fon di dòktrin politik à nouvèl vaga di kolonizasyon,22,45,44.6,0,45-0
3,"[[Pannanman]], an fòrm lonng répiblik di [[Pannanman]] (an èspangnòl : [[Panamá]] é [[República de Panamá]]), sa roun péy di 75 420 km2 ki sitchwé à èstrenmité sid-a di [[Lanmérik santral]], asou lism-an di [[Pannanman]].",Pannanman an fòrm lonng répiblik di Pannanman sa roun péy di km ki sitchwé à èstrenmité sida di Lanmérik santral asou lisman di Pannanman,24,45,44.6,0,45-0
2,"[[So]] rol di résèptò di limyè òptik, I ka pèrmèt d'apèrsouvwè dé lòbjè sélès ponktchwèl difisilman pèrsèptib oben envizib ké wéy touni.",So rol di résèptò di limyè òptik I ka pèrmèt dapèrsouvwè dé lòbjè sélès ponktchwèl difisilman pèrsèptib oben envizib ké wéy touni,22,45,44.6,0,45-0
1,[[Lanmérik di Sid]] ka prézanté roun [[tré]] gran nonm di lanng minoritèr : nou ka dénonbré bò di 600 lanng ki ka apartni bay 118 fanmi lengwistik.,Lanmérik_di_Sid ka prézanté roun tré gran nonm di lanng minoritèr nou ka dénonbré bò di lanng ki ka apartni bay fanmi lengwistik,22,45,44.6,0,45-0
0,[[Sa]] prensip politik ka progrésivman enpozé so kò an Éròp o kour di xixe syèk é o koumansman di xxe syèk.,Sa prensip politik ka progrésivman enpozé so kò an Éròp o kour di xixe syèk é o koumansman di xxe syèk,21,45,44.6,0,45-0
0,"[[Lagwiyann]] sa doté di roun lasanblé di senkant-é-oun manm, lasanblé don sa isou roun koumisyon pèrmannan, é di roun konséy ékonnonmik, sosyal ké anvironnmantal.",Lagwiyann sa doté di roun lasanblé di senkantéoun manm lasanblé don sa isou roun koumisyon pèrmannan é di roun konséy ékonnonmik sosyal ké anvironnmantal,24,39,43.8,0,39-0
5,Enfratis di myokard (IDM ki sa roun abréyasyon kourant) sa roun nékroz (lanmò di sélil) di roun [[parti]] di mousk kardjak ségondèr akoz di roun défo d'apò sangen (ischémi) annan kad-a di maladi koronaryenn.,Enfratis di myokard sa roun nékroz di roun parti di mousk kardjak ségondèr akoz di roun défo dapò sangen annan kada di maladi koronaryenn,24,39,43.8,2,39-2
1,"Gravité-a di boulour-a ka dépann di plizyò paramèt : so lokalizasyon, so topografi (oun boulour sirkilèr ké fika toujou [[grav]]), so profondò (dégré-a di boulour), étandou-a di sirfas-a ki abdomajé (an pousantaj di sirfas kòporèl total-a) ké ajan kozal-a an késyon.",Gravitéa di bouloura ka dépann di plizyò paramèt so lokalizasyon so topografi so profondò étandoua di sirfasa ki abdomajé ké ajan kozala an késyon,24,39,43.8,1,39-1
