,text,text_preprocessed,LEN,label,score,aff_lcs,aff_lcs_label
5,"Di kolchral revaluushan invalv a soertn amount a voilens wen dehn tek uoba di yuniversiti kiamposdem sens aya edikieshan ina [[Iran]] a di taim ehn daminiet bai leftis fuosiz opuoz tu [[Ayatollah Khomeini]] vijan a tiyakrasi, ahn dehn ansoksesful chrai fi rizis [[Khomeini]]-is kanchruol a nof yuniversiti.",Di kolchral revaluushan invalv a soertn amount a voilens wen dehn tek uoba di yuniversiti kiamposdem sens aya edikieshan ina Iran a di taim ehn daminiet bai leftis fuosiz opuoz tu Ayatollah Khomeini vijan a tiyakrasi ahn dehn ansoksesful chrai fi rizis Khomeiniis kanchruol a nof yuniversiti,47,24,47.142857142857146,2,24-2
4,"Bai di taim a 3,000 BCE dem kom bout ina ""Mesopotamia"" (""lan bitwiin di riva dem"" Euprates an Tigris), pan di bangk a di Nail, ina di Indus Riva Vali a India, an langsaid di big riva dem ina [[Chaina]].",Bai di taim a BCE dem kom bout ina Mesopotamia pan di bangk a di Nail ina di Indus Riva Vali a India an langsaid di big riva dem ina Chaina,31,24,47.142857142857146,1,24-1
3,"[39] Ina riisent ier deh kaal pah di JDF fi asis di nieshan poliis, di [[Jumieka Kanstabileri Fuos]] (JKF), fi fait jrog smoglin ah raizin kraim riet weh ingkluud wan a di ayis moerda riet ina di wol.",Ina riisent ier deh kaal pah di JDF fi asis di nieshan poliis di Jumieka_Kanstabileri_Fuos fi fait jrog smoglin ah raizin kraim riet weh ingkluud wan a di ayis moerda riet ina di wol,34,24,47.142857142857146,1,24-1
2,"Ina 21s-senchri [[Joermani]], di ischri korikiulom kanchuol bai di 16 stiet, ah kiaraktaraiz no bai syuupapiechriatizim bot reda bai ""aamuos pasifistik ah dilibretli anpiechriatik andatuon"" ah riflek ""prinsipl faamiuliet bai intanashinal aaganizieshan laka [[UNESCO]] ar di Kongsl a [[Yuurop]], so deh uorient tuwadz yuuman raits, dimakrasi ah piis.""",Ina ssenchri Joermani di ischri korikiulom kanchuol bai di stiet ah kiaraktaraiz no bai syuupapiechriatizim bot reda bai aamuos pasifistik ah dilibretli anpiechriatik andatuon ah riflek prinsipl faamiuliet bai intanashinal aaganizieshan laka UNESCO ar di Kongsl a Yuurop so deh uorient tuwadz yuuman raits dimakrasi ah piis,47,24,47.142857142857146,0,24-0
1,"Krixtifa Kolombos, (Ingglish: Christopher Columbus; Panish: Cristóbal Colón) (bitwiin Aagos 25 ahn Aktuoba 31, 1451 – Mie 20, 1506) wehna Jino'iiz navigieta, kalanaiza ahn ""h""expluora uufa vaayj dem kraas di ""h""Atlantik Uoshan — fon bai Kwiin Izabela a Spien — opn op [[Yuurop]]ian yai dem tu di Morkan kantinent dem ina di Westan Emisfier.",Krixtifa Kolombos wehna Jinoiiz navigieta kalanaiza ahn hexpluora uufa vaayj dem kraas di hAtlantik Uoshan — fon bai Kwiin Izabela a Spien — opn op Yuuropian yai dem tu di Morkan kantinent dem ina di Westan Emisfier,37,24,47.142857142857146,1,24-1
0,"Midiival filasafi, andastan az a prajek a hindipendant filasafikal ingkwairi, eh-bigin ina Bagdad, ina di migl a di 8t senchry, ah ina [[Frans]], ina di haitinarant kuot a Chaalimien (Charlemagne), ina di laas kwaata a di 8t senchri.",Midiival filasafi andastan az a prajek a hindipendant filasafikal ingkwairi ehbigin ina Bagdad ina di migl a di t senchry ah ina Frans ina di haitinarant kuot a Chaalimien ina di laas kwaata a di t senchri,37,24,47.142857142857146,1,24-1
6,"[9][nb 3] Wails di klasifikieshan a di matiirial [[wol]] bai di ienshent Indian ah Griikdem ina ier, oert, faya ah waata weh muo filasafikal, midiival Migl Iistan sayantis eh-yuuz praktikal, experimental abzavieshan fi klasifai matiirial.",nb Wails di klasifikieshan a di matiirial wol bai di ienshent Indian ah Griikdem ina ier oert faya ah waata weh muo filasafikal midiival Migl Iistan sayantis ehyuuz praktikal experimental abzavieshan fi klasifai matiirial,34,24,47.142857142857146,1,24-1
7,"Di res a di tuor eh-kiansl ah [[Maali]] go siik chriitment a di Bavierian klinik a Josef Iselz, we ih risiiv wah kanchovoershal taip a kiansa terapi (Iselz chriitment) paatli bies pah avaidans a soertn fuud, jingx, ah adaels sobstans.",Di res a di tuor ehkiansl ah Maali go siik chriitment a di Bavierian klinik a Josef Iselz we ih risiiv wah kanchovoershal taip a kiansa terapi paatli bies pah avaidans a soertn fuud jingx ah adaels sobstans,38,13,45.91111111111111,3,13-3
0,"Di fos extablish yuus a di toerm ina palitikal kantex arijiniet wid Frahsua-Renei de Shatobriah (François-René de Chateaubriand) ina 1818, juurin di piiriad a Boerban (Bourbon) restorieshan we ena-luk fi ruol bak di palisi a di [[French Revaluushan]].",Di fos extablish yuus a di toerm ina palitikal kantex arijiniet wid FrahsuaRenei de Shatobriah ina juurin di piiriad a Boerban restorieshan we enaluk fi ruol bak di palisi a di French_Revaluushan,32,13,45.91111111111111,3,13-3
1,"[4] Libaraldem espouz wah waid arie a vyuu dipen pah ou deh andastan demya prinsipl, bot jinarali deh supuot aidie ah pruogram laka friidom a spiich, friidom a di pres, friidom a [[rilijan]], frii maakit, [[sivl raits]], dimokratik sasayati, sekiula gobament, ah intanashinal kwaaparieshan.",Libaraldem espouz wah waid arie a vyuu dipen pah ou deh andastan demya prinsipl bot jinarali deh supuot aidie ah pruogram laka friidom a spiich friidom a di pres friidom a rilijan frii maakit sivl raits dimokratik sasayati sekiula gobament ah intanashinal kwaaparieshan,43,13,45.91111111111111,0,13-0
2,"Ina di [[ischri a sayans]], di Sayantifik Revaluushan wehna piriad wen nyuu ""h""aidie ina fisix, [[aschranami]], [[bailoji]], yuuman anatami, [[kimischri]], ahn ada els sayans liid tu a rijekshan a dakchrin wa wehn priviel taat frahn [[Ienshent Griis]] ahn kantiniu chuu di [[Migl Iejiz]], ahn ilie di foundieshan fi madoern sayans.",Ina di ischri_a_sayans di Sayantifik Revaluushan wehna piriad wen nyuu haidie ina fisix aschranami bailoji yuuman anatami kimischri ahn ada els sayans liid tu a rijekshan a dakchrin wa wehn priviel taat frahn Ienshent Griis ahn kantiniu chuu di Migl Iejiz ahn ilie di foundieshan fi madoern sayans,48,13,45.91111111111111,1,13-1
