,text,text_preprocessed,LEN,label,score,aff_lcs,aff_lcs_label
1,"Despues cu a lanta un fundacion na 2003 a ricibi 7.1 miyon [[euro]] di Fondo Europeo pa Desaroyo, cual tabata destina pa e infrastructura di e parke.",Despues cu a lanta un fundacion na a ricibi miyon euro di Fondo Europeo pa Desaroyo cual tabata destina pa e infrastructura di e parke,25,28,46.19047619047619,1,28-1
6,"Parke di Herensia Tanki Maraka ta un museo na aire liber na [[Boneiru]], ku ta situa 8,5 km panort di [[Kralendijk]] kant'i Kaminda Tras di Montaña.",Parke di Herensia Tanki Maraka ta un museo na aire liber na Boneiru ku ta situa km panort di Kralendijk kanti Kaminda Tras di Montaña,25,28,46.19047619047619,1,28-1
2,"Artikulo unu ta proteha e ""gran writ"" di habeas [[corpus]] anto Arkikulo tres ta garantisa e derecho pa un juisio den tur kaso kriminal.",Artikulo unu ta proteha e gran writ di habeas corpus anto Arkikulo tres ta garantisa e derecho pa un juisio den tur kaso kriminal,24,28,46.19047619047619,1,28-1
3,"Despues di su estudio na scol basico y secundario, el a studia na [[Vrije Universiteit]] di [[Amsterdam]] den materia Notarieel Recht y [[Nederlands]] Recht.",Despues di su estudio na scol basico y secundario el a studia na Vrije_Universiteit di Amsterdam den materia Notarieel Recht y Nederlands Recht,23,28,46.19047619047619,2,28-2
4,"[[Dor]] di e diferensha di haltura (10 meter) e akuedukto tabata tin un largura di 16,5km, mientras e fuente tabata riba solamente un distansha di 11 kilometer.",Dor di e diferensha di haltura e akuedukto tabata tin un largura di km mientras e fuente tabata riba solamente un distansha di kilometer,24,28,46.19047619047619,1,28-1
5,"Partidonan aktivo ta e partidonan ku a partisipa na diferente elekshon despues ku Saba a asumi e status di ""entidat publiko"" (openbaar lichaam) di [[Hulanda]].",Partidonan aktivo ta e partidonan ku a partisipa na diferente elekshon despues ku Saba a asumi e status di entidat publiko di Hulanda,23,28,46.19047619047619,1,28-1
0,"[[Skoutismo]], tambe konosí komo Movementu di Skout, ta un movementu hubenil ku e obhetivo indiká pa yuda hobennan den nan desaroyo mental, físiko i spiritual.",Skoutismo tambe konosí komo Movementu di Skout ta un movementu hubenil ku e obhetivo indiká pa yuda hobennan den nan desaroyo mental físiko i spiritual,25,28,46.19047619047619,0,28-0
1,"Huntu ku José de San Martín, e la hunga un rol grandi den Latino Amerika su lucha pa independensia for di e emperio [[spaño]].",Huntu ku José de San Martín e la hunga un rol grandi den Latino Amerika su lucha pa independensia for di e emperio spaño,24,15,46.0,1,15-1
0,E sentro di e bario ta wordu forma pa e misa [[katoliko]] ku ta riba un seru Paradera ku tin un altura di 47 meter.,E sentro di e bario ta wordu forma pa e misa katoliko ku ta riba un seru Paradera ku tin un altura di meter,24,15,46.0,0,15-0
0,"Si no tin bientu den atmosfer pa trèk e tormenta tropikal den un direkshon, e ta keda mové pokopoko di 5 á [[10 km]] pa ora.",Si no tin bientu den atmosfer pa trèk e tormenta tropikal den un direkshon e ta keda mové pokopoko di á _km pa ora,24,48,44.82222222222222,0,48-0
