,text,text_preprocessed,LEN,label,score,aff_lcs,aff_lcs_label
4,"Ol kanaka blo [[Ostrelia]] i bin gat namba nabaut 750'000 na 1'000'000 (seven handet na faivten tausen, na wan milien) bipo ol Yuropmanmeri i kam long hap, tasol bihain [[Yurop]] i statim, namba long indigenous i go daun tru, planti olsem sik i bringim long nupela [[Yurop]] pipol.",Ol kanaka blo Ostrelia i bin gat namba nabaut na bipo ol Yuropmanmeri i kam long hap tasol bihain Yurop i statim namba long indigenous i go daun tru planti olsem sik i bringim long nupela Yurop pipol,38,9,51.7,2,9-2
3,"Website bilong College: www.st-peters.school.nz Moto bilong skul: To Love and To Share (Amare et Servire) Kain College: [[Skul]] bilong ol mangi tasol long grade 7 i go long grade 13 Adres bilong skul: 23 Mountain Rd, Epsom, [[Auckland]] 3  Phone: +64 9 524 8108   Fax: +64 9 524 9459  Email: admin@st-peters.school.nz  Nam belong Prinsipol bilong skul: K F Fouhy",Website bilong College wwwstpetersschoolnz Moto bilong skul To Love and To Share Kain College Skul bilong ol mangi tasol long grade i go long grade Adres bilong skul Mountain Rd Epsom Auckland Phone Fax Email adminstpetersschoolnz Nam belong Prinsipol bilong skul K F Fouhy,44,9,51.7,1,9-1
0,"Netirel seleksan (Inglis: natural selection) em i pasin bilong [[ivolusan]]: ol animal na planis senis long bigpela taim, na givim senis long pikinini bilong ol long [[DNA]].",Netirel seleksan em i pasin bilong ivolusan ol animal na planis senis long bigpela taim na givim senis long pikinini bilong ol long DNA,24,9,51.7,0,9-0
1,"I stap wanpela ofisel tokples long Saina, [[Taiwan]], [[Hong Kong]], [[Makau]] na Singapo; na bikpela namba long [[Malesia]], [[Tailan]], [[Filipin]], Indonesia, [[Ostrelia]], Yunaitet Stet, [[Niu Silan]] na narapela kantri.",I stap wanpela ofisel tokples long Saina Taiwan Hong Kong Makau na Singapo na bikpela namba long Malesia Tailan Filipin Indonesia Ostrelia Yunaitet Stet Niu Silan na narapela kantri,29,9,51.7,0,9-0
2,"Ol manmeri husat i save long Unserdeutsch ol i save long tupela tokples o antap; ol i save long [[Tok Jeman]], Tok Inglis, [[Tok Pisin]] o Kuanua.",Ol manmeri husat i save long Unserdeutsch ol i save long tupela tokples o antap ol i save long Tok_Jeman Tok Inglis Tok Pisin o Kuanua,26,9,51.7,0,9-0
1,"Ol Kristen ol i manmeri ol i save lotuim [[Jisas]], o Krais, na ol i tingting Jisas em i Got o Bikpela i kam long Graun.",Ol Kristen ol i manmeri ol i save lotuim Jisas o Krais na ol i tingting Jisas em i Got o Bikpela i kam long Graun,26,2,50.666666666666664,1,2-1
0,"Ostrelia i gat sikispela [[stet]]; New South Wales (NSW [[Niu Saut Wels]]), Queensland (QLD [[Kwinslan]]), South Australia (SA [[Saut Ostrelia]]), Victoria (VIC [[Viktoria]]), Tasmania (TAS [[Tasmenia]]) na Western Australia (WA [[Wes Ostrelia]]), na tupela bikpela graunples teritori, Australian Capital Territory (ACT [[Kapitol Teritori bilong Ostrelia]]) na Northern Territory (NT [[Noten Teritori]]).",Ostrelia i gat sikispela stet New South Wales Queensland South Australia Victoria Tasmania na Western Australia na tupela bikpela graunples teritori Australian Capital Territory na Northern Territory,27,2,50.666666666666664,0,2-0
2,"Long Tok Inglis, nem bilong ol de bilong wik i kam long got bilong pipel Nos, tasol [[sarere]] i kam long Saten, i got bilong pipel [[Rom]].",Long Tok Inglis nem bilong ol de bilong wik i kam long got bilong pipel Nos tasol sarere i kam long Saten i got bilong pipel Rom,27,2,50.666666666666664,1,2-1
0,"Long namel blong triangle, [[gol]] san i kisim etpla lain na mining blong en i etpla provins blong [[Filipin]] husat long taim bipo i bin wokim pait blong gavman blong [[Spen]] husat i kisim [[Filipin]] blong en.",Long namel blong triangle gol san i kisim etpla lain na mining blong en i etpla provins blong Filipin husat long taim bipo i bin wokim pait blong gavman blong Spen husat i kisim Filipin blong en,37,11,49.0,0,11-0
1,"[[Cook Islands]] Nius Sevis i ripot olsem ol ibin kisim Sir Thomas igo long hausik tupela dei igo pinis, tasol ol ino tok [[aut]] iet long 'public' hau em ibin dai.",Cook_Islands Nius Sevis i ripot olsem ol ibin kisim Sir Thomas igo long hausik tupela dei igo pinis tasol ol ino tok aut iet long public hau em ibin dai,30,11,49.0,0,11-0
