Text,Wiki_ID,Wikidata_ID,Source
Europa,1714,Q46,Wikipedia
Unión Europea,2043,Q458,Wikipedia
Dinamarca,19875,Q35,Wikipedia
Polonia,19832,Q36,Wikipedia
Chequia,21051,Q213,Wikipedia
Austria,7923,Q40,Wikipedia
Suiza,19842,Q39,Wikipedia
Francia,7929,Q142,Wikipedia
Luxemburgo,19863,Q32,Wikipedia
Bélgica,18720,Q31,Wikipedia
República Democrática Alemana,18725,Q16957,Wikipedia
Berlín,2714,Q64,Wikipedia
mundo,None,Q2,OpenTapioca
Europa,None,Q46,OpenTapioca
Alemania,None,Q183,OpenTapioca
Versalles,None,Q621,OpenTapioca
el mundo,None,Q2,OpenTapioca
Japon,None,Q17,OpenTapioca
Y,None,Q38,OpenTapioca
Unido,None,Q386120,OpenTapioca
La,None,Q1588,OpenTapioca
Del,None,Q1393,OpenTapioca
Reich,None,Q12548,OpenTapioca
Hitler,None,Q352,OpenTapioca
Brasil,1684,Q155,Wikipedia
2005,21753,Q2019,Wikipedia
Tierra,4678,Q2,Wikipedia
Asia,1678,Q48,Wikipedia
junio,21674,Q120,Wikipedia
diciembre,21680,Q126,Wikipedia
enero,2443,Q108,Wikipedia
Japón,1739,Q17,Wikipedia
China,1752,Q148,Wikipedia
India,1629,Q668,Wikipedia
Uste,None,Q60437084,OpenTapioca
pan,None,Q296872,OpenTapioca
Brasil,None,Q155,OpenTapioca
catolicismo,None,Q1841,OpenTapioca
São Paulo,19265,Q174,Wikipedia
Leonardo da Vinci,19341,Q762,Wikipedia
Paris,19340,Q90,Wikipedia
España,1626,Q29,Wikipedia
no se sabe,None,Q1251492,OpenTapioca
Portugal,2033,Q45,Wikipedia
1974,21728,Q2478,Wikipedia
1965,21735,Q2650,Wikipedia
Fado,2038,Q185676,Wikipedia
Nueva York,1701,Q1384,Wikipedia
2007,21751,Q2024,Wikipedia
Carlos do Carmo,2533,Q983479,Wikipedia
Finlandia,19497,Q33,Wikipedia
Holanda,21066,Q55,Wikipedia
fado,2038,Q185676,Wikipedia
1980,21723,Q2439,Wikipedia
1957,21741,Q5311,Wikipedia
2016,21763,Q25245,Wikipedia
1968,21732,Q2644,Wikipedia
dia,21287,Q573,Wikipedia
Calendario Gregoriano,7710,Q12138,Wikipedia
Luna,24440,Q405,Wikipedia
Lunes,2179,Q105,Wikipedia
Miercoles,2182,Q128,Wikipedia
Sol,24441,Q525,Wikipedia
1565,7634,Q6634,Wikipedia
Pero,None,Q419,OpenTapioca
Gomburza,1976,Q655263,Wikipedia
Katipunan,18,Q673018,Wikipedia
con,None,Q5997110,OpenTapioca
Madrid,1685,Q2807,Wikipedia
Venezuela,1636,Q717,Wikipedia
estado Mérida,None,Q165582,OpenTapioca
Colombia,2672,Q739,Wikipedia
lagunas,None,Q23397,OpenTapioca
agricultura,None,Q2715455,OpenTapioca
papa,None,Q19546,OpenTapioca
Mérida,None,Q23551,OpenTapioca
todos,None,Q659679,OpenTapioca
Venezuela,None,Q717,OpenTapioca
Edo,None,Q1490,OpenTapioca
son,None,Q4174776,OpenTapioca
Apodo,None,Q10501,OpenTapioca
Pueblo,None,Q79923,OpenTapioca
Primera división,None,Q606832,OpenTapioca
Los Rebeldes del Rock,2620,Q11689586,Wikipedia
Tarlac,7435,Q13892,Wikipedia
Filipinas,34,Q928,Wikipedia
1985,8073,Q2431,Wikipedia
Manila,1927,Q1461,Wikipedia
Marcos,17582,Q39523,Wikipedia
Carlos P. Romulo,None,Q737664,OpenTapioca
Batangas,18637,Q13744,Wikipedia
Emilio Aguinaldo,61,Q188939,Wikipedia
Kawit,17412,Q62755,Wikipedia
Zamboanga,None,Q1629,OpenTapioca
cay,None,Q10884,OpenTapioca
Filipinas,None,Q928,OpenTapioca
Mindanao,None,Q124873,OpenTapioca
Zamboanga,None,Q13682,OpenTapioca
Parque de Pasonanca,None,Q7142289,OpenTapioca
Gracias,None,Q744138,OpenTapioca
Man,None,Q9676,OpenTapioca
16 de Agosto,2467,Q2812,Wikipedia
Grammy,3132,Q41254,Wikipedia
Tina Turner,2520,Q131814,Wikipedia
1963,19170,Q2755,Wikipedia
ballet,7504,Q41425,Wikipedia
1976,21726,Q2480,Wikipedia
1977,8070,Q2481,Wikipedia
1979,21724,Q2484,Wikipedia
1982,8071,Q2436,Wikipedia
Madonna,1723,Q1564372,Wikipedia
Michael Jackson,4380,Q2831,Wikipedia
Madonna,None,Q345,OpenTapioca
Globo,None,Q2,OpenTapioca
California,21517,Q99,Wikipedia
Gianni Versace,None,Q264490,OpenTapioca
Europe,None,Q46,OpenTapioca
2000,21758,Q1985,Wikipedia
2001,21757,Q1988,Wikipedia
noviembre,21679,Q125,Wikipedia
2002,21756,Q1987,Wikipedia
2003,21755,Q1986,Wikipedia
Christina Aguilera,1748,Q41594,Wikipedia
2004,21754,Q2014,Wikipedia
Indonesia,16239,Q252,Wikipedia
Tailandia,21175,Q869,Wikipedia
ABBA,24433,Q18233,Wikipedia
2006,21752,Q2021,Wikipedia
mayo,21673,Q119,Wikipedia
proyecto,None,Q170584,OpenTapioca
CD+DVD,None,Q974,OpenTapioca
Lenny Kravitz,None,Q180224,OpenTapioca
Guy Ritchie,None,Q192990,OpenTapioca
Malawi,None,Q1020,OpenTapioca
6 de Octubre,None,Q335708,OpenTapioca
provincia de Soria,None,Q55276,OpenTapioca
Castilla y Leon,None,Q5739,OpenTapioca
