Text,Wiki_ID,Wikidata_ID,Source
Léròp,2190,Q46,Wikipedia
Lazi,2123,Q48,Wikipedia
Lanmérik,2082,Q828,Wikipedia
loséyan Atlantik,2160,Q97,Wikipedia
loséyan Pasifik,2163,Q98,Wikipedia
parti,None,Q7278,OpenTapioca
So,None,Q23397,OpenTapioca
Latè,None,Q2,OpenTapioca
Soul,None,Q8684,OpenTapioca
frèt,None,Q24278783,OpenTapioca
van,None,Q686,OpenTapioca
Sibéri,None,Q5428,OpenTapioca
Netherlands,None,Q55,OpenTapioca
NIOZ,None,Q1362890,OpenTapioca
Byen,None,Q31749654,OpenTapioca
Michigan,None,Q1166,OpenTapioca
Létazini,None,Q30,OpenTapioca
Fonn,None,Q31209940,OpenTapioca
Parmi,None,Q54633,OpenTapioca
gen,None,Q5555008,OpenTapioca
Loséyan Atlantik,None,Q97,OpenTapioca
Pasifik,None,Q98,OpenTapioca
Atèsté,None,Q34607,OpenTapioca
Jibralta,None,Q1410,OpenTapioca
Atlant,None,Q97,OpenTapioca
Hérodote,None,Q26825,OpenTapioca
Atlantik,None,Q97,OpenTapioca
Atlas,None,Q130135,OpenTapioca
Lafrik,None,Q15,OpenTapioca
Léròp,None,Q46,OpenTapioca
Lazi,None,Q48,OpenTapioca
Òbò,None,Q973,OpenTapioca
Féroé,None,Q4628,OpenTapioca
LIE,None,Q347,OpenTapioca
Brézil,None,Q155,OpenTapioca
Libérya,None,Q1014,OpenTapioca
Maròk,None,Q1028,OpenTapioca
Arktik,None,Q25322,OpenTapioca
sala,None,Q34442,OpenTapioca
bay,None,Q3715386,OpenTapioca
Mègsik,None,Q96,OpenTapioca
Ensi,None,Q2,OpenTapioca
Karayb,None,Q664609,OpenTapioca
Lanmérik,None,Q828,OpenTapioca
Abò,None,Q38511,OpenTapioca
Nouvèl,None,Q214317,OpenTapioca
Panjé,None,Q4398,OpenTapioca
Lafrans,None,Q142,OpenTapioca
Acores,None,Q25263,OpenTapioca
Açores,None,Q25263,OpenTapioca
rotò,None,Q23397,OpenTapioca
L'Anse aux Meadows,None,Q189113,OpenTapioca
Bojador,None,Q599897,OpenTapioca
Sahara,None,Q40362,OpenTapioca
Gil Eanes,None,Q360391,OpenTapioca
Lenn,None,Q23397,OpenTapioca
Christophe Colomb,None,Q7322,OpenTapioca
Loséyan Endjen,None,Q1239,OpenTapioca
Liran,None,Q794,OpenTapioca
Pakistan,None,Q843,OpenTapioca
Taylann,None,Q869,OpenTapioca
Malézi,None,Q833,OpenTapioca
Java,None,Q3757,OpenTapioca
Lostrali,None,Q408,OpenTapioca
A,None,Q48,OpenTapioca
Loryan,None,Q71724,OpenTapioca
Maldiv,None,Q826,OpenTapioca
Alliance of Small Island States,None,Q496967,OpenTapioca
tèl,None,Q5641096,OpenTapioca
Loséyan Ostral,None,Q7354,OpenTapioca
Men,None,Q724,OpenTapioca
projè,None,Q170584,OpenTapioca
L’OHI,None,Q1043,OpenTapioca
Scotia,None,Q22,OpenTapioca
Haakon VII,None,Q154927,OpenTapioca
Riiser Larsen,None,Q524106,OpenTapioca
Dumont d'Urville,None,Q204735,OpenTapioca
Lanmérik di Sid,None,Q18,OpenTapioca
Arctic,None,Q25322,OpenTapioca
Greenpeace,None,Q81307,OpenTapioca
Loséyanni,2164,Q538,Wikipedia
Loséyan Pasifik,None,Q98,OpenTapioca
Kouril,None,Q80389,OpenTapioca
Filipin,None,Q928,OpenTapioca
Christmas,None,Q19809,OpenTapioca
cho,None,Q27433,OpenTapioca
Away,None,Q782,OpenTapioca
Japon,None,Q17,OpenTapioca
Pacific Tsunami Warning Center,None,Q1201236,OpenTapioca
Pak,None,Q21196,OpenTapioca
vas,None,Q4052620,OpenTapioca
tré,None,Q10884,OpenTapioca
Ségon,None,Q20929,OpenTapioca
kontinan,1993,Q5107,Wikipedia
Latè,2118,Q2,Wikipedia
Lostrali,2156,Q408,Wikipedia
Mikronézi,2255,Q3359409,Wikipedia
Mélanézi,2311,Q37394,Wikipedia
Polinézi,2424,Q35942,Wikipedia
Loséyanni,None,Q538,OpenTapioca
