Text,Wiki_ID,Wikidata_ID,Source
gen,None,Q5555008,OpenTapioca
lòt,None,Q220998,OpenTapioca
paske,None,Q21196,OpenTapioca
Di (adjektif),58591,Q12889562,Wikipedia
Di (vèb),58592,Q12889565,Wikipedia
Mo,None,Q28,OpenTapioca
feu,None,Q188063,OpenTapioca
Dikte,None,Q1225372,OpenTapioca
Pale,None,Q90,OpenTapioca
Pase,None,Q21196,OpenTapioca
Gide,None,Q47484,OpenTapioca
fòm,None,Q18640,OpenTapioca
pous,None,Q19546,OpenTapioca
Depi,None,Q990305,OpenTapioca
janm,None,Q86272852,OpenTapioca
Diven (adjektif),58665,Q12889607,Wikipedia
Diven (non),58664,Q282,Wikipedia
Divize,None,Q3599064,OpenTapioca
divize,None,Q3599064,OpenTapioca
relijyon,2447,Q9174,Wikipedia
peche,59449,Q65324082,Wikipedia
Bondye,13889,Q190,Wikipedia
krisyanis,1628,Q5043,Wikipedia
lanfè,14584,Q25579773,Wikipedia
Salvadò,None,Q792,OpenTapioca
Henri Salvador,None,Q318060,OpenTapioca
18 jiyè,3323,Q2730,Wikipedia
Kayèn,72051,Q44401,Wikipedia
Frans,14,Q142,Wikipedia
13 fevriye,3537,Q2333,Wikipedia
Pari,2774,Q90,Wikipedia
Walt Disney,None,Q8704,OpenTapioca
ayisyen,18660,Q20576938,Wikipedia
rele,None,Q10894691,OpenTapioca
Nan,None,Q34442,OpenTapioca
bouch,13919,Q9635,Wikipedia
Ayisyen,18660,Q20576938,Wikipedia
kochon,2606,Q787,Wikipedia
likid,61202,Q11435,Wikipedia
lanmè,14586,Q165,Wikipedia
rivyè,3869,Q4022,Wikipedia
oksijèn,3797,Q629,Wikipedia
idwojèn,3778,Q556,Wikipedia
lang franse,4094,Q150,Wikipedia
laten,14605,Q397,Wikipedia
kò,14409,Q170494,Wikipedia
pwatrin,59099,Q12895841,Wikipedia
Senk,None,Q500664,OpenTapioca
Etazini,None,Q30,OpenTapioca
Dominik,None,Q784,OpenTapioca
Dominikani,None,Q786,OpenTapioca
òdinatè,61462,Q68,Wikipedia
plas,None,Q23397,OpenTapioca
Dyare,None,Q23197695,OpenTapioca
Moun,None,Q23667222,OpenTapioca
sipò,15216,Q25580268,Wikipedia
sekou,15138,Q12897206,Wikipedia
bay,None,Q3715386,OpenTapioca
sou,None,Q95177431,OpenTapioca
Voye,None,Q34442,OpenTapioca
tèt,None,Q404542,OpenTapioca
Sous,None,Q124714,OpenTapioca
dlo,80794,Q283,Wikipedia
zèl,59129,Q161358,Wikipedia
kouryèl,67552,Q65323358,Wikipedia
piman,2431,Q165199,Wikipedia
lay,2362,Q23400,Wikipedia
pèsi,2573,Q25284,Wikipedia
zonyon,2379,Q23485,Wikipedia
vyann,58624,Q10990,Wikipedia
pwason,2539,Q152,Wikipedia
diri,2533,Q5090,Wikipedia
pwa,2382,Q48688602,Wikipedia
soup,68299,Q41415,Wikipedia
yo ka,None,Q76514184,OpenTapioca
Echèk (fayit),59201,Q12889781,Wikipedia
Echèk (jwèt),59202,Q718,Wikipedia
esklavaj,3960,Q8463,Wikipedia
Espas,None,Q47034,OpenTapioca
Venis,None,Q641,OpenTapioca
Tè,None,Q43407,OpenTapioca
tren,None,Q2141116,OpenTapioca
Leta,14625,Q12893474,Wikipedia
wòl,None,Q42329,OpenTapioca
lwa,12914,Q1878463,Wikipedia
vodou,12992,Q177764,Wikipedia
Damballa,70307,Q1158297,Wikipedia
Ogoun,70306,Q255116,Wikipedia
Mari,None,Q912,OpenTapioca
tifi,58687,Q3031,Wikipedia
Poud,None,Q15275,OpenTapioca
kòlè,59011,Q79871,Wikipedia
Favè,None,Q1134358,OpenTapioca
van,None,Q686,OpenTapioca
fòme,None,Q99595133,OpenTapioca
Fèmen,None,Q64000,OpenTapioca
Elimine,None,Q35404958,OpenTapioca
Fen (adjektif),59246,Q12890611,Wikipedia
Fen (non),59247,Q12248956,Wikipedia
"gè, nan",None,Q45689584,OpenTapioca
Fizi,None,Q712,OpenTapioca
fizik,4080,Q413,Wikipedia
Flè,14218,Q506,Wikipedia
bèt,None,Q95215776,OpenTapioca
Ayiti,None,Q790,OpenTapioca
Latibonit,None,Q844024,OpenTapioca
Sant,None,Q844528,OpenTapioca
Fon (adjektif),58751,Q25582696,Wikipedia
Fon (non),58750,Q25582697,Wikipedia
pate,None,Q11239395,OpenTapioca
Ford,None,Q9582,OpenTapioca
Fou (adjektif),59405,Q12890728,Wikipedia
Fou (non),59406,Q12890727,Wikipedia
Fran,None,Q841585,OpenTapioca
Frans,None,Q142,OpenTapioca
papa,None,Q19546,OpenTapioca
cho,None,Q27433,OpenTapioca
Pa,None,Q1400,OpenTapioca
frèt,None,Q24278783,OpenTapioca
je,58457,Q7364,Wikipedia
cheve,15187,Q28472,Wikipedia
sousi,2577,Q43748,Wikipedia
