text,text_clean,text_ents
Sa paj ka konserné lannen 1873 (MDCCCLXXIII an chif romen) di kalandriyé grégoryen.,Sa paj ka konserné lannen MDCCCLXXIII an chif romen di kalandriyé grégoryen,Sa paj ka konserné lannen MDCCCLXXIII an chif romen di kalandriyé grégoryen
Sa paj ka konsèrné lannen 1397 di [[kalandriyé julyen]].,Sa paj ka konsèrné lannen di kalandriyé julyen,Sa paj ka konsèrné lannen di kalandriyé_julyen
"[[Lò]] [[Mahomet]] mouri, musulman-yan té konfronté à dé ka di figir ki pa abòrdé dirèkman annan Koran-an, di jésyon-an di monn é di partaj di pouvwar.",Lò Mahomet mouri musulmanyan té konfronté à dé ka di figir ki pa abòrdé dirèkman annan Koranan di jésyonan di monn é di partaj di pouvwar,Lò Mahomet mouri musulmanyan té konfronté à dé ka di figir ki pa abòrdé dirèkman annan Koranan di jésyonan di monn é di partaj di pouvwar
"Jenn kominoté musulmann ké apòrté plizyò répons o késyon di òrganizasyon étatik ké sosyal, di léjislasyon pozé : sa divèrs répons-ya ka fòrmé dé lékòl oben rit é pronmyé kouran di islam-an.",Jenn kominoté musulmann ké apòrté plizyò répons o késyon di òrganizasyon étatik ké sosyal di léjislasyon pozé sa divèrs réponsya ka fòrmé dé lékòl oben rit é pronmyé kouran di islaman,Jenn kominoté musulmann ké apòrté plizyò répons o késyon di òrganizasyon étatik ké sosyal di léjislasyon pozé sa divèrs réponsya ka fòrmé dé lékòl oben rit é pronmyé kouran di islaman
Oun vètman sa roun artik di aliman ki ka sèrvi pou kouvri oun [[parti]] di kò moun.,Oun vètman sa roun artik di aliman ki ka sèrvi pou kouvri oun parti di kò moun,Oun vètman sa roun artik di aliman ki ka sèrvi pou kouvri oun parti di kò moun
Li sa pli souvan an tisou mè matéryèl-ya ki itilizé pou so fabrikasyon ka chanjé o fil di syèk-ya.,Li sa pli souvan an tisou mè matéryèlya ki itilizé pou so fabrikasyon ka chanjé o fil di syèkya,Li sa pli souvan an tisou mè matéryèlya ki itilizé pou so fabrikasyon ka chanjé o fil di syèkya
"Oun vètman sa fòrtman varyé soulon kiltir-ya ké péryòd-ya di listwè: pratik (protèksyon), senbolik (signalé oun pòstir moral) oben òkò sosyal (afiché oun èstati).",Oun vètman sa fòrtman varyé soulon kiltirya ké péryòdya di listwè pratik protèksyon senbolik signalé oun pòstir moral oben òkò sosyal afiché oun èstati,Oun vètman sa fòrtman varyé soulon kiltirya ké péryòdya di listwè pratik protèksyon senbolik signalé oun pòstir moral oben òkò sosyal afiché oun èstati
1547 sa roun lannen koumin ki ka koumansé oun [[sanmdi]].,sa roun lannen koumin ki ka koumansé oun sanmdi,sa roun lannen koumin ki ka koumansé oun sanmdi
"Lapo-a (/po/, ka provini di laten : pellis) sa roun lòrgann ki konpozé di plizyò kouch di tisou.",Lapoa po ka provini di laten pellis sa roun lòrgann ki konpozé di plizyò kouch di tisou,Lapoa po ka provini di laten pellis sa roun lòrgann ki konpozé di plizyò kouch di tisou
Li sa pronmyé baryèr di protèksyon di lòrganism-an dé zannimo vèrtébré.,Li sa pronmyé baryèr di protèksyon di lòrganisman dé zannimo vèrtébré,Li sa pronmyé baryèr di protèksyon di lòrganisman dé zannimo vèrtébré
"Koté fika moun-an, li sa lòrgann ki pli étandou é pli lou di kò o gadé so sirfas é di so lamas : koté granmoun-an, anviron 2 m2 pou 3 kg koté fanm-an ké 5 kg kouté wonm-an (swé 7 % di so pwa total).",Koté fika mounan li sa lòrgann ki pli étandou é pli lou di kò o gadé so sirfas é di so lamas koté granmounan anviron m pou kg koté fanman ké kg kouté wonman swé di so pwa total,Koté fika mounan li sa lòrgann ki pli étandou é pli lou di kò o gadé so sirfas é di so lamas koté granmounan anviron m pou kg koté fanman ké kg kouté wonman swé di so pwa total
"[[So]] sirfas d'échanj sa soupannan byen pli piti ki entésten-an (300 à 400 m2, anviron Dé téren di ténis) ké poumon-an (80 m2).",So sirfas déchanj sa soupannan byen pli piti ki entéstenan à m anviron Dé téren di ténis ké poumonan m,So sirfas déchanj sa soupannan byen pli piti ki entéstenan à m anviron Dé téren di ténis ké poumonan m
Dèrmatoloji-a sa èspésyalité médikal ki ka trété afèksyon-an di lapo-a.,Dèrmatolojia sa èspésyalité médikal ki ka trété afèksyonan di lapoa,Dèrmatolojia sa èspésyalité médikal ki ka trété afèksyonan di lapoa
1631 sa roun lannen koumin ki ka koumansé oun mèrkrédi.,sa roun lannen koumin ki ka koumansé oun mèrkrédi,sa roun lannen koumin ki ka koumansé oun mèrkrédi
Évènman.,Évènman,Évènman
L챕r챵p.,L챕r챵p,L챕r챵p
4 janvyé : Gustave II Adolphe di [[Swèd]] ka pran Greifenhagen épi Garz (6 janvyé).,janvyé Gustave II Adolphe di Swèd ka pran Greifenhagen épi Garz janvyé,janvyé Gustave II Adolphe di Swèd ka pran Greifenhagen épi Garz janvyé
