text,text_clean,text_ents
"Cidones a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",Cidones a wahn miunisipaliti luokiet ina di pravins a Soria Kiastiil ahn León Spien,Cidones a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien
"Askaadn tu di 2007 sensos (INE), di miunisipaliti ab papyulieshan a 346 inabitant.",Askaadn tu di sensos INE di miunisipaliti ab papyulieshan a inabitant,Askaadn tu di sensos INE di miunisipaliti ab papyulieshan a inabitant
Albienia a wahn konchri ina [[Yuurop]].,Albienia a wahn konchri ina Yuurop,Albienia a wahn konchri ina Yuurop
Kata a wah savrin konchri a [[Ieja]].,Kata a wah savrin konchri a Ieja,Kata a wah savrin konchri a Ieja
"[[Aili Silasi I]] (Ge'ez: [[ቀዳማዊ ኃይለ ሥላሴ]], qädamawi haylä səllasé, Amharik pronongxieshan: [ˈhaɪlɜ sɨˈlːase] 23 Julai 1892 – 27 Aagos 1975), baan [[Tafari Makonnen]] Woldemikael, ena [[Iityuopia]] riijent frah 1916 tu 1930 ah empara frah 1930 tu 1974.",Aili Silasi I Geez ቀዳማዊ ኃይለ ሥላሴ qädamawi haylä səllasé Amharik pronongxieshan ˈhaɪlɜ sɨˈlːase Julai Aagos baan Tafari Makonnen Woldemikael ena Iityuopia riijent frah tu ah empara frah tu,Aili_Silasi_I Geez ቀዳማዊ ኃይለ ሥላሴ qädamawi haylä səllasé Amharik pronongxieshan ˈhaɪlɜ sɨˈlːase Julai Aagos baan Tafari Makonnen Woldemikael ena Iityuopia riijent frah tu ah empara frah tu
Ih azwel saab az Chierpoersn a di Aaganizieshan a hAfrikan Yuuniti frah 25 [[Mie]] 1963 tu 17 Julai 1964 ah 5 Novemba 1966 tu 11 Septemba 1967.,Ih azwel saab az Chierpoersn a di Aaganizieshan a hAfrikan Yuuniti frah Mie tu Julai ah Novemba tu Septemba,Ih azwel saab az Chierpoersn a di Aaganizieshan a hAfrikan Yuuniti frah Mie tu Julai ah Novemba tu Septemba
Im a memba a di Salamanik Dainasti.,Im a memba a di Salamanik Dainasti,Im a memba a di Salamanik Dainasti
Rastafarai misaya.,Rastafarai misaya,Rastafarai misaya
"Tide, Aili Silasi woership az Gad inkaanet mongx falara a di Rastafarai muuvment (tek frah Aili Silasi prii-impiirial niem Ras—we miin Ed, taikl ikuivalent tu Dyuuk—Tafaari Makonen), we imoerj ina [[Jumieka]] juurin di 1930z anda di hinfluens a [[Maakos Gyaavi]] ""Pan Afrikanizam"" muuvment.",Tide Aili Silasi woership az Gad inkaanet mongx falara a di Rastafarai muuvment tek frah Aili Silasi priiimpiirial niem Ras—we miin Ed taikl ikuivalent tu Dyuuk—Tafaari Makonen we imoerj ina Jumieka juurin di z anda di hinfluens a Maakos Gyaavi Pan Afrikanizam muuvment,Tide Aili Silasi woership az Gad inkaanet mongx falara a di Rastafarai muuvment tek frah Aili Silasi priiimpiirial niem Ras—we miin Ed taikl ikuivalent tu Dyuuk—Tafaari Makonen we imoerj ina Jumieka juurin di z anda di hinfluens a Maakos Gyaavi Pan Afrikanizam muuvment
"Thomas Alva Edison (Febiweri 11, 1847 – Aktuoba 18, 1931) wehna wahn Amerikan inventa, saiyantis an bizniz man uu mek nof gyajet we influens laif roun di worl, laik di fonograaf an di praktikal ilekchri lait bolb.",Thomas Alva Edison Febiweri Aktuoba wehna wahn Amerikan inventa saiyantis an bizniz man uu mek nof gyajet we influens laif roun di worl laik di fonograaf an di praktikal ilekchri lait bolb,Thomas Alva Edison Febiweri Aktuoba wehna wahn Amerikan inventa saiyantis an bizniz man uu mek nof gyajet we influens laif roun di worl laik di fonograaf an di praktikal ilekchri lait bolb
"Im a wan a di fos inventa dem fi yuuz di prinsipl a mas prodokshan an tiim wok fi di prases a invenshan, an so im get praps az di smadi uu staat di fos indoschrial risaach lab.",Im a wan a di fos inventa dem fi yuuz di prinsipl a mas prodokshan an tiim wok fi di prases a invenshan an so im get praps az di smadi uu staat di fos indoschrial risaach lab,Im a wan a di fos inventa dem fi yuuz di prinsipl a mas prodokshan an tiim wok fi di prases a invenshan an so im get praps az di smadi uu staat di fos indoschrial risaach lab
"Wi kansida Edison az wan a di bes inventa de mina ischri, an im uol 1,093 Y.S.",Wi kansida Edison az wan a di bes inventa de mina ischri an im uol YS,Wi kansida Edison az wan a di bes inventa de mina ischri an im uol YS
"patent in aim niem fi bak op di taikl, an nof patent ina di Y.K., [[Frans]], an Jormani tu.",patent in aim niem fi bak op di taikl an nof patent ina di YK Frans an Jormani tu,patent in aim niem fi bak op di taikl an nof patent ina di YK Frans an Jormani tu
"Im av nof invenshan we kanchribyuut tu mas kamyuunikieshan, an espeshali telikamyuunikieshan.",Im av nof invenshan we kanchribyuut tu mas kamyuunikieshan an espeshali telikamyuunikieshan,Im av nof invenshan we kanchribyuut tu mas kamyuunikieshan an espeshali telikamyuunikieshan
"Edison kum op wid di aidiya a ilekchrik powa jenarishan an dischribyuushan tu piipl yaad, bizniz, an fakchri- wahn step we kruushal tu divelopmebt ina di madorn indozchrial worl.",Edison kum op wid di aidiya a ilekchrik powa jenarishan an dischribyuushan tu piipl yaad bizniz an fakchri wahn step we kruushal tu divelopmebt ina di madorn indozchrial worl,Edison kum op wid di aidiya a ilekchrik powa jenarishan an dischribyuushan tu piipl yaad bizniz an fakchri wahn step we kruushal tu divelopmebt ina di madorn indozchrial worl
"Di fos powa plaant we im du wehn de pan Manhattan Ailan, Nyuu Yaak.",Di fos powa plaant we im du wehn de pan Manhattan Ailan Nyuu Yaak,Di fos powa plaant we im du wehn de pan Manhattan Ailan Nyuu Yaak
Nyuu Deli a di kyapital fi [[India]].,Nyuu Deli a di kyapital fi India,Nyuu Deli a di kyapital fi India
