text,text_clean,text_ents
Meka esa citii i' Saudi Arabia.,Meka esa citii i Saudi Arabia,Meka esa citii i Saudi Arabia
Meka esa emportan citii en [[Islem]].,Meka esa emportan citii en Islem,Meka esa emportan citii en Islem
"T' popyulayshun i' 2010 iya wos 1,675,368 salan.",T popyulayshun i iya wos salan,T popyulayshun i iya wos salan
"Inglish (""English"" /ɪŋglɪʃ/) es a' Jermenik laenghwij.",Inglish English ɪŋglɪʃ es a Jermenik laenghwij,Inglish English ɪŋglɪʃ es a Jermenik laenghwij
"Inglish (""English"") es a' laenghwij tat es spokn a' sefrral kuntriis.",Inglish English es a laenghwij tat es spokn a sefrral kuntriis,Inglish English es a laenghwij tat es spokn a sefrral kuntriis
Tis laenghwij es cerret n'aal tiis koontriis.,Tis laenghwij es cerret naal tiis koontriis,Tis laenghwij es cerret naal tiis koontriis
Tis laenghwij es taot a'maenii skuulls aal ofr te woerelt.,Tis laenghwij es taot amaenii skuulls aal ofr te woerelt,Tis laenghwij es taot amaenii skuulls aal ofr te woerelt
Ets enfluens s'efekting Norfuk vaerii mootc.,Ets enfluens sefekting Norfuk vaerii mootc,Ets enfluens sefekting Norfuk vaerii mootc
Inglish es wun aof te moust emportent laenghwijes a'te woerelt.,Inglish es wun aof te moust emportent laenghwijes ate woerelt,Inglish es wun aof te moust emportent laenghwijes ate woerelt
Te histrei f'Inglic es kampliketet.,Te histrei fInglic es kampliketet,Te histrei fInglic es kampliketet
Es aridcineyts a 'Inglen.,Es aridcineyts a Inglen,Es aridcineyts a Inglen
Larnaka esa kuurort citii i' [[Siipris]].,Larnaka esa kuurort citii i Siipris,Larnaka esa kuurort citii i Siipris
"T' populayshun a' 2001 esa 72,000 piopel.",T populayshun a esa piopel,T populayshun a esa piopel
"Fak es a kohman tuhi werd yuusd i' meni laengwij, inkluuden [[Inglish]].",Fak es a kohman tuhi werd yuusd i meni laengwij inkluuden Inglish,Fak es a kohman tuhi werd yuusd i meni laengwij inkluuden Inglish
"Et ken bi yuus tuu miin iitha t' akt o' mitimiti (sekshuel interkoors) or et ken bi yuusd es an ekspreshun o' lorset, maaden or shok, semes t' non-tuhi werd ""daan"" (Inglish: ""damn"").",Et ken bi yuus tuu miin iitha t akt o mitimiti sekshuel interkoors or et ken bi yuusd es an ekspreshun o lorset maaden or shok semes t nontuhi werd daan Inglish damn,Et ken bi yuus tuu miin iitha t akt o mitimiti sekshuel interkoors or et ken bi yuusd es an ekspreshun o lorset maaden or shok semes t nontuhi werd daan Inglish damn
"T' [[Norfuk]] werd kam fram t' Inglish translayshun, ""fuck"".",T Norfuk werd kam fram t Inglish translayshun fuck,T Norfuk werd kam fram t Inglish translayshun fuck
"A kohman olternetiv tuu fak es ""frik"" (Inglish: ""frick"").",A kohman olternetiv tuu fak es frik Inglish frick,A kohman olternetiv tuu fak es frik Inglish frick
Kraków () es t' sekan biges citii in [[Poeland]].,Kraków es t sekan biges citii in Poeland,Kraków es t sekan biges citii in Poeland
Ai shep es a' vehikel daa gouus a' wata.,Ai shep es a vehikel daa gouus a wata,Ai shep es a vehikel daa gouus a wata
