text,text_clean,text_ents
Ngongo,Ngongo,Ngongo
"Montsoreau (""Montsoreau"" na y창ng창 t챤 far창nzi) yeke gb채t채 n챤 ayeke t챤 ""Pays de la Loire"" na banga t챤 Far창nzi.",Montsoreau Montsoreau na y창ng창 t챤 far창nzi yeke gb채t채 n챤 ayeke t챤 Pays de la Loire na banga t챤 Far창nzi,Montsoreau Montsoreau na y창ng창 t챤 far창nzi yeke gb채t채 n챤 ayeke t챤 Pays de la Loire na banga t챤 Far창nzi
"Na ng청 2015, Montsoreau ayeke la n챤 mb챗n챤 gb채t채 t챤 azo .",Na ng청 Montsoreau ayeke la n챤 mb챗n챤 gb채t채 t챤 azo,Na ng청 Montsoreau ayeke la n챤 mb챗n챤 gb채t채 t챤 azo
Laâ mbênî sêse.,Laâ mbênî sêse,Laâ mbênî sêse
Tî lo likodoro Ouagadougou.,Tî lo likodoro Ouagadougou,Tî lo likodoro Ouagadougou
"Wuhngo tî âzo nî ayeke 19,000,000 (2021).",Wuhngo tî âzo nî ayeke,Wuhngo tî âzo nî ayeke
Mbotö,Mbotö,Mbotö
S창척 T철m챗 na Prins챤pe.,S창척 T철m챗 na Prins챤pe,S창척 T철m챗 na Prins챤pe
La창 mb챗n챤 s챗se.,La창 mb챗n챤 s챗se,La창 mb챗n챤 s챗se
T챤 lo likodoro S찾o Tom챕.,T챤 lo likodoro S찾o Tom챕,T챤 lo likodoro S찾o Tom챕
Wuhngo t챤 창zo n챤 ayeke 210.240 (2020).,Wuhngo t챤 창zo n챤 ayeke,Wuhngo t챤 창zo n챤 ayeke
[[Gasa]],Gasa,Gasa
PĂªrĂ«,PĂªrĂ «,PĂªrĂ «
Las Vegas yeke k철d철r철 n챤 ayeke t챤 창K철d철r철-척ko t챤 Amer챤ka.,Las Vegas yeke k철d철r철 n챤 ayeke t챤 창K철d철r철척ko t챤 Amer챤ka,Las Vegas yeke k철d철r철 n챤 ayeke t챤 창K철d철r철척ko t챤 Amer챤ka
Espânye yeke sêse nî ayeke tî [[Aêropa]].,Espânye yeke sêse nî ayeke tî Aêropa,Espânye yeke sêse nî ayeke tî Aêropa
Tî lo likodoro Madiridi.,Tî lo likodoro Madiridi,Tî lo likodoro Madiridi
