Cluster|Property |e1|e2|Sentence
1|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Akaki Minashvili]] es un georgiano [[politico]].
1|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Khatia Dekanoidze]] es un georgiano [[politico]].
1|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Isko Daseni]] es un georgiano [[politico]].
1|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Ana Buchukuri]] es un georgiano [[politico]].
1|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Irakli Beraia]] es un georgiano [[politico]].
1|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Akaki Bobokhidze]] es un georgiano [[politico]].
1|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Giorgi Godabrelidze]] es un georgiano [[politico]].
1|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Giorgi (Gigi) Ugulava]] es un georgiano [[politico]].
1|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Vera Kobalia]] es un georgiano [[politico]].
1|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Levan Varshalomidze]] es un georgiano [[politico]].
1|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Tariel Nakaidze]] es un georgiano [[politico]].
1|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Irakli Zarkua]] es un georgiano [[politico]].
1|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Erineo Maliksi]] (1938—2021) umuna a [[politico]] de las Filipinas.
1|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Mariam Kvrivishvili]] es un georgiano [[politico]].
1|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Zaza Lominadze]] es un georgiano [[politico]].
1|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Aleko Elisashvili]] es un georgiano [[politico]].
1|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Levan Khabeishvili]] es un georgiano [[politico]].
1|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Nona Mamulashvili]] es un georgiano [[politico]].
1|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Shalva Shavgulidze]] es un georgiano [[politico]].
1|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Kakha Kuchava]] es un georgiano [[politico]].
1|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Davit Kirkitadze]] es un georgiano [[politico]].
1|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Shalva Papuashvili]] es un georgiano [[politico]].
1|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Sandra Roelofs]] es un [[politico]].
1|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Davit Bakradze]] es un georgiano [[politico]].
1|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Elene Khoshtaria]] es un georgiano [[politico]].
2|P30|Israel|Asia|[[Israel]] es un pais na [[Asia]].
2|P30|Belgium|Europe|[[El Belgica]] amo un pais na [[Europa]].
2|P30|Lebanon|Asia|[[El Líbano]] es un pais na [[Asia]].
2|P30|Brunei|Asia|[[Brunei]] es un pais na [[Asia]].
2|P30|Bangladesh|Asia|[[Bangladesh]] es un pais del sur de [[Asia]].
2|P30|Cuba|North America|[[El Cuba]] es un pais na [[America]].
2|P30|Sri Lanka|Asia|[[Sri Lanka]] es un pais insular de [[Asia]].
2|P30|Papua New Guinea|Oceania|[[Papua Nueva Guinea]] es un pais na [[Oceania]].
2|P30|Singapore|Asia|[[Singapur]] es un pais insular de [[Asia]].
3|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Natalia Morozova]] es una [[cantante]] de Ucrania.
3|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Ariana Grande]] es un [[cantante]]
3|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Lela Tsurtsumia]] es un [[cantante]]
3|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Anna Netrebko]] (ta nacida el 1971) es un [[cantante]].
3|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Emilija Kokić]] (ta nacida el 1968) es un [[cantante]] de pop y soul
3|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Billie Eilish]] es un [[cantante]]
3|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Sopho Khalvashi]] es un [[cantante]]
3|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Juanes Juanes]] es un [[cantante]] de Colombia de pop.
3|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Nina Sublatti]] (Sulaberidze) es un [[cantante]]
3|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Nini Shermadini]] es un [[cantante]]
3|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Franka Batelić]] (ta nacida el 1992) es un [[cantante]] de pop y soul.
3|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Nina Kraljić]] (ta nacida el 1992) es un [[cantante]] de pop
3|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Mila Nitich]] es una [[cantante]] de Ucrania.
3|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Bebe Rexha]] es un [[cantante]]
3|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Lena Belkina]] (ta nacida el 1987) es un [[cantante]].
3|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Cher Lloyd]] es un [[cantante]]
3|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Tamuna Amonashvili]] es un [[cantante]]
3|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Allan Pineda Lindo]], alias apl.de.ap, (nacido el 28 de noviembre de 1974) es un [[cantante]] de R&B y soul.
3|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Demi Diometria Devonne Lovato]] (ta nacida el 20 de agosto 1992) es una [[cantante]] y actriz es estadounidense.
3|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Cristina Branco]] es una [[cantante]] de fado de Portugal.
3|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Ana Moura]] es una [[cantante]] de fado de Portugal.
4|P131|lookup|Chile|[[Monte Águila]] el primero es una ciudad na [[Chile]].
4|P131|lookup|Turkey|[[Edirne]] es una ciudad na [[Turquía]]
4|P131|lookup|Germany|El [[Düsseldorf]] amo un ciudad del [[Alemania]].
4|P131|lookup|Chile|[[Coronel]] es un ciudad del [[Chile]] con un populacion de 95.527 gente (2002).
4|P131|lookup|Switzerland|[[Zurich]] es un ciudad del [[Suiza]], tiene un populacion de 392.062 maga gente (2012).
4|P131|lookup|Canada|[[Toronto]] es un ciudad del [[Canada]], tiene un populacion de 2 731 571 maga gente (2016).
4|P131|lookup|Argentina|[[Paraná]] es un ciudad de [[Argentina]], con un populacion de 283.710 maga gente (2013).
4|P131|lookup|The Netherlands|[[Utrecht]] es un ciudad de [[Holanda]], con un populacion de 324.723 maga gente (2013).
4|P131|lookup|Chile|[[Lota]] es un ciudad del [[Chile]] con un populacion de 49.089 gente (2002).
4|P131|lookup|Italy|[[Baselga di Piné]] es una ciudad [[italia]] na de la provincia de Trento (Trentino).
4|P131|lookup|Argentina|[[Rosario]] es un ciudad de [[Argentina]], con un populacion de 1.036.286 maga gente (2009).
4|P131|lookup|Brazil|[[Catalão]] es un ciudad del Centro-Oeste del [[Brasil]], na estado de Goiás.
4|P131|lookup|Argentina|[[Mendoza]] es un ciudad de [[Argentina]], con un populacion de 114.822 maga gente 2010.
4|P131|lookup|The Netherlands|[[Rotterdam]] es un ciudad de [[Holanda]], con un populacion de 617.347 maga gente (2012).
4|P131|lookup|Argentina|[[Corrientes]] es un ciudad de [[Argentina]], con un populacion de 346.334 maga gente (2010).
4|P131|lookup|Argentina|[[Reconquista]] es un ciudad de [[Argentina]], con un populacion de 99.288 maga gente 2010.
4|P131|lookup|Argentina|[[Córdoba]] es un ciudad de [[Argentina]], con un populacion de 1.329.604 maga gente 2010.
5|P1376|Caracas|Venezuela|[[Caracas]] - es el capital del nacion [[Venezuela]].
5|P1376|Rome|Italy|El [[Roma]] amo el capital del' [[Italia]]
5|P1376|Belgrade|Serbia|[[Belgrado]] es el ciudad capital del [[Serbia]].
5|P1376|Beijing|China|[[Pekín]] es el capital de [[China]].
5|P1376|Nuuk|Greenland|El [[Nuuk]] es el ciudad capital del [[Groenlandia]].
5|P1376|Ottawa|Canada|El [[Ottawa]] es el ciudad capital del [[Canada]].
5|P1376|Amsterdam|The Netherlands|[[Amsterdam]] es el ciudad capital del [[Holanda]].
5|P1376|Lisbon|Portugal|El [[Lisboa]] es el ciudad capital del [[Portugal]].
5|P1376|Tbilsi|Georgia|El [[Tbilisi]] amo el capital del'[[Georgia]].
5|P1376|Berlin|Germany|El [[Berlín]] amo el capital del [[Alemania]].
5|P1376|Barcelona|Catalonia|[[Barcelona]] ay una ciudad española, el capital de [[Cataluña]].
5|P1376|Paris|France|El [[Paris]] amo el capital del'[[Francia]].
6|P131|lookup|Hungary|[[Tordas]] es un baryu del provincia de Fejér, na [[Hungría]].
6|P131|lookup|Hungary|[[Pátka]] es un baryu del provincia de Fejér, na [[Hungría]].
6|P131|lookup|Hungary|[[Sárosd]] es un baryu del provincia de Fejér, na [[Hungría]].
6|P131|lookup|Hungary|[[Újbarok]] es un baryu del provincia de Fejér, na [[Hungría]].
6|P131|lookup|Hungary|[[Sárkeresztes]] es un baryu del provincia de Fejér, na [[Hungría]].
6|P131|lookup|Hungary|[[Sárkeszi]] es un baryu del provincia de Fejér, na [[Hungría]].
6|P131|lookup|Hungary|[[Soponya]] es un baryu del provincia de Fejér, na [[Hungría]].
6|P131|lookup|Hungary|[[Úrhida]] es un baryu del provincia de Fejér, na [[Hungría]].
6|P131|lookup|Hungary|[[Szár]] es un baryu del provincia de Fejér, na [[Hungría]].
6|P131|lookup|Hungary|[[Perkáta]] es un baryu del provincia de Fejér, na [[Hungría]].
