Cluster|Property |e1|e2|Sentence
1|P31|https://en.wikipedia.org/wiki/Spondias_purpurea|https://www.wikidata.org/wiki/Q3314483|[[Siwèl]] se yon [[fwi]].
1|P31|https://en.wikipedia.org/wiki/Raspberry|https://www.wikidata.org/wiki/Q3314483|[[Franbwaz]] se yon [[fwi]].
1|P31|https://en.wikipedia.org/wiki/Manilkara_zapota|https://www.wikidata.org/wiki/Q3314483|[[Sapoti]] se yon [[fwi]].
1|P31|https://en.wikipedia.org/wiki/Cantaloupe|https://www.wikidata.org/wiki/Q3314483|[[Kantaloup]] se yon [[fwi]].
1|P31|https://en.wikipedia.org/wiki/Tamarind|https://www.wikidata.org/wiki/Q3314483|[[Tamaren]] se yon [[fwi]].
1|P31|https://en.wikipedia.org/wiki/Peach|https://www.wikidata.org/wiki/Q3314483|[[Pèch]] se yon [[fwi]].
1|P31|https://en.wikipedia.org/wiki/Hazelnut|https://www.wikidata.org/wiki/Q3314483|[[Nwazèt]] se yon [[fwi]].
1|P31|https://en.wikipedia.org/wiki/Mandarin_(fruit)|https://www.wikidata.org/wiki/Q3314483|[[Mandarin]] se yon [[fwi]].
1|P31|https://en.wikipedia.org/wiki/Melicoccus_bijugatus|https://www.wikidata.org/wiki/Q3314483|[[Kenèp]] se yon [[fwi]].
1|P31|https://en.wikipedia.org/wiki/Strawberry|https://www.wikidata.org/wiki/Q3314483|[[Frèz]] se yon [[fwi]].
1|P31|https://en.wikipedia.org/wiki/Cashew|https://www.wikidata.org/wiki/Q3314483|[[Kajou]] se yon [[fwi]].
1|P31|https://en.wikipedia.org/wiki/Apple|https://www.wikidata.org/wiki/Q3314483|[[Pòm]] se yon [[fwi]].
1|P31|https://en.wikipedia.org/wiki/Pomegranate|https://www.wikidata.org/wiki/Q3314483|[[Grenadin]] se yon [[fwi]].
1|P31|https://en.wikipedia.org/wiki/Annona_reticulata|https://www.wikidata.org/wiki/Q3314483|[[Kachiman]] se yon [[fwi]].
1|P31|https://en.wikipedia.org/wiki/Papaya|https://www.wikidata.org/wiki/Q3314483|[[Papay]] se yon [[fwi]].
1|P31|https://en.wikipedia.org/wiki/Terminalia_catappa|https://www.wikidata.org/wiki/Q3314483|[[Zanmann]] se yon [[fwi]].
2|P31|https://en.wikipedia.org/wiki/Owl|https://www.wikidata.org/wiki/Q5113|[[Koukou]] se yon [[zwazo]].
2|P31|https://en.wikipedia.org/wiki/Smooth-billed_ani|https://www.wikidata.org/wiki/Q5113|[[Boustabak]] se yon [[zwazo]].
2|P31|https://en.wikipedia.org/wiki/Perdix|https://www.wikidata.org/wiki/Q5113|[[Pèdri]] se yon [[zwazo]].
2|P31|https://en.wikipedia.org/wiki/Turkey_(bird)|https://www.wikidata.org/wiki/Q5113|[[Kodenn]] se yon [[zwazo]].
2|P31|https://en.wikipedia.org/wiki/Common_nightingale|https://www.wikidata.org/wiki/Q5113|[[Rosinyòl]] se yon [[zwazo]].
2|P31|https://en.wikipedia.org/wiki/Goose|https://www.wikidata.org/wiki/Q5113|[[Zwa]] se yon [[zwazo]].
2|P31|https://en.wikipedia.org/wiki/Columbidae|https://www.wikidata.org/wiki/Q5113|[[Pijon]] se yon [[zwazo]].
2|P31|https://en.wikipedia.org/wiki/Quail|https://www.wikidata.org/wiki/Q5113|[[Kay]] se yon [[zwazo]].
2|P31|https://en.wikipedia.org/wiki/Swallow|https://www.wikidata.org/wiki/Q5113|[[Iwondèl]] se yon [[zwazo]].
2|P31|https://en.wikipedia.org/wiki/Hawk|https://www.wikidata.org/wiki/Q5113|[[Malfini]] se yon [[zwazo]].
2|P31|https://en.wikipedia.org/wiki/Guineafowl|https://www.wikidata.org/wiki/Q5113|[[Pentad]] se yon [[zwazo]].
2|P31|https://en.wikipedia.org/wiki/Flamingo|https://www.wikidata.org/wiki/Q5113|[[Flaman]] se yon [[zwazo]].
2|P31|https://en.wikipedia.org/wiki/Parrot|https://www.wikidata.org/wiki/Q5113|[[Jako]] se yon [[zwazo]].
2|P31|https://en.wikipedia.org/wiki/Corvus|https://www.wikidata.org/wiki/Q5113|[[Kònèy]] se yon [[zwazo]].
3|P31|https://en.wikipedia.org/wiki/Atlantic_mackerel|https://www.wikidata.org/wiki/Q152|[[Makwo]] ("Scomber scombrus") se yon [[pwason]].
3|P31|https://en.wikipedia.org/wiki/Trout|https://www.wikidata.org/wiki/Q152|[[Twit]] se yon [[pwason]].
3|P31|https://en.wikipedia.org/wiki/Merlangius|https://www.wikidata.org/wiki/Q152|[[Melan]] se yon [[pwason]].
3|P31|https://en.wikipedia.org/wiki/Clupea|https://www.wikidata.org/wiki/Q152|[[Aran]] se yon [[pwason]].
3|P31|https://en.wikipedia.org/wiki/Shark|https://www.wikidata.org/wiki/Q152|[[Reken]] se yon [[pwason]].
3|P31|https://en.wikipedia.org/wiki/Salmon|https://www.wikidata.org/wiki/Q152|[[Somon se yon [[pwason]].
