Cluster|Property |e1|e2|Sentence
0|P36|Portugal|Lisbon|Di kiapital a [[Puotigal]] niem "[[Lizban]]".
1|P1376|Sofia|Bulgaria|[[Sofiya]] a di kiapital fi [[Bulgieria]].
1|P1376|Brussels|Belgium|[[Broslz]] a di kiapital fi [[Beljiom]].
1|P1376|Rome|Italy|[[Ruom]] a di kyapital fi [[Itali]].
1|P1376|Moscow|Russia|[[Masko]] a di kyapital fi [[Rosha]].
1|P1376|Athens|Greece|[[Atenz]] a di kyapital fi [[Griis]].
1|P1376|Beijing|China|[[Biejing]] a di kiapital fi di [[Piiplz Ripoblik a Chaina]].
1|P1376|https://en.wikipedia.org/wiki/The_Valley,_Anguilla|https://en.wikipedia.org/wiki/Anguilla|[[Di Vali]] a di kiapital fi [[Anggila]].
1|P1376|Mexico City|Mexico|[[Mexiko Siti]] a di kyapital fi [[Mexiko]].
1|P1376|Lisbon|Portugal|[[Lizban]] a di kiapital fi [[Puotigal]].
1|P1376|Berlin|Germany|[[Boerlin]] a di kiapital a [[Joermani]].
1|P1376|London|England|[[Landan]] a di kiapital fi [[Ingglan]] an di Yunaitid Kindom.
1|P1376|Brasilia|Brazil|[[Brazilia]] a di kiapital fi [[Brazil]].
1|P1376|San Marino City|San Marino|[[San Mariino Siti]] a di kiapital ah bigis siti ina [[San Mariino]].
1|P1376|Bogota|Colombia|[[Bogota]] a di kiapital fi [[Kolombia]].
1|P1376|Daaka|Bangladesh|[[Daaka]] a di kiapital ah bigis siti ina [[Banggladesh]].
2|P495|lookup|England|[[Judas Priest]] wehn a rak ban frahn [[Ingglan]].
2|P495|lookup|United States|[[Rhino Bucket]] wehn a rak ban frahn California, [[Yunaitid Stiet]].
2|P495|lookup|Finland|[[Nightwish]] wehn a rak ban frahn [[Finlan]].
2|P495|lookup|Finland|[[Lordi]] wehn a rak ban frahn [[Finlan]].
2|P495|lookup|England|[[Iron Maiden]] wehn a rak ban frahn [[Ingglan]].
3|P30|Fiji|Oceania|[[Fiiji]] a wahn konchri ina [[Uoshania]].
3|P30|Madagascar|Africa|[[Madagiaska]] a wahn konchri ina [[Afrika]].
3|P30|Reunion|Africa|[[Reunioh]] a wahn terichri ina [[Afrika]].
3|P30|South Sudan|Africa|[[Sout Sudan]] a wahn konchri ina [[Afrika]].
3|P30|Botswana|Africa|[[Botswaana]] a wahn konchri ina [[Afrika]].
3|P30|Romenia|Europe|[[Rumienia]] a wah konchri ina [[Yuurop]].
3|P30|Luxembourg|Europe|[[Logzimboerg]] a wah konchri ina [[Yuurop]].
3|P30|Slovakia|Europe|[[Slovakia]] a wah konchri ina senchral [[Yuurop]].
3|P30|Liechtenstein|Europe|[[Liktenstain]] a wahn konchri ina [[Yuurop]].
3|P30|Gabon|Africa|[[Giabon]] a wahn konchri ina [[Afrika]].
3|P30|Zambia|Africa|[[Zambia]] a wahn konchri ina [[Afrika]].
3|P30|Poland|Europe|[[Puolan]] a wah konchri ina senchral [[Yuurop]].
3|P30|Marshal Islands|Oceania|[[Maashal Ailanz]] a wahn konchri ina [[Uoshania]].
3|P30|New Zealand|Oceania|[[Nyuu Ziilant]] a wahn konchri ina [[Uoshania]].
3|P30|Denmark|Europe|[[Denmaak]] a wah konchri ina [[Yuurop]].
3|P30|Slovenia|Eurpe|[[Sloviinia]] a wah konchri ina [[Yuurop]].
3|P30|Angola|Africa|[[Angguola]] a wahn konchri ina [[Afrika]].
3|P30|Sweden|Europe|[[Swiidn]] a wah Naadik konchri ina Nadan [[Yuurop]].
3|P30|Kenya|Europe|[[Kenia]] a wahn konchri ina [[Afrika]].
3|P30|Palau|Oceania|[[Palau]] a wahn konchri ina [[Uoshania]].
3|P30|Bangladesh|Asia|[[Banggladesh]] a wah savrin konchri a [[Ieja]].
3|P30|Kuwait|Asia|[[Kuwiet]] a wah savrin konchri a [[Ieja]].
3|P30|Cambodia|Asia|[[Kambodja]] a wah savrin konchri a [[Ieja]].
3|P30|Nepal|Asia|[[Nepal]] a wah savrin konchri a [[Ieja]].
4|P2936,P17|Kyrgyz|Kyrgyzstan|[[Kiergi]] a di ofishal languij a [[Kiergistan]].
