Cluster|Property |e1|e2|Sentence
1|P2936,P17|Pitkern|Pitcairn Islands|[[Pitkern]] esa laenghwij spok'n i' [[Pitkern Ailen]].
1|P2936,P17|Samoan|Samoa|[[Samoan]] esa Polynesian laenghwij, es spoken i' [[Samoa]].
1|P2936,P17|Arabic|Middle East|[[Erabek]] esa laenghwij i' t' [[Medl Eist]].
1|P2936,P17|Faroese|Faroe Islands|[[Faaroyean]] esa ofishol laenghwij i' [[dem Faaro Ailen]] (Denmark).
1|P2936,P17|Bulgarian|Bulgaria|[[Bulgeriyan]] esa laenghwij i [[Bulgeriya]].
1|P2936,P17|Serbian |Serbia|[[Serbyan]] esa major laenghwij a' [[Serbya]].
1|P2936,P17|Hawaiin|Hawaii|[[T' Hawayiian]] esa laenghwij tal'n i' [[Hawayii]] (Yunitid Staits).
1|P2936,P17|Maori|New Zealand|[[Maaori]] esa laenghwij mien spoken i' [[Nyuu Ziilan]].
1|P2936,P17|Russian|Russia|[[Rushan]] esa em laenghwij i' [[Rusha]].
1|P2936,P17|https://en.wikipedia.org/wiki/Norfuk_language|https://en.wikipedia.org/wiki/Norfolk_Island|[[Norfuk]] es a kreol laenghwij spoekn mien orn [[Norfuk Ailen]] an es disendiid fram t' Pitkern laenghwij a' t' setlas from Pitkern Ailen.
2|P31|Pitkern|https://www.wikidata.org/wiki/Q34770|[[Pitkern]] esa [[laenghwij]] spok'n i' Pitkern Ailen.
2|P31|Samoan|https://www.wikidata.org/wiki/Q34770|[[Samoan]] esa Polynesian [[laenghwij]], es spoken i' Samoa.
2|P31|Arabic|https://www.wikidata.org/wiki/Q34770|[[Erabek]] esa [[laenghwij]] i' t' Medl Eist.
2|P31|Faroese|https://www.wikidata.org/wiki/Q34770|[[Faaroyean]] esa ofishol [[laenghwij]] i' dem Faaro Ailen (Denmark).
2|P31|Bulgarian|https://www.wikidata.org/wiki/Q34770|[[Bulgeriyan]] esa [[laenghwij]] i Bulgeriya.
2|P31|Serbian |https://www.wikidata.org/wiki/Q34770|[[Serbyan]] esa major [[laenghwij]] a' Serbya.
2|P31|Hawaiin|https://www.wikidata.org/wiki/Q34770|[[T' Hawayiian]] esa [[laenghwij]] tal'n i' Hawayii (Yunitid Staits).
2|P31|Maori|https://www.wikidata.org/wiki/Q34770|[[Maaori]] esa [[laenghwij]] mien spoken i' Nyuu Ziilan.
2|P31|Russian|https://www.wikidata.org/wiki/Q34770|[[Rushan]] esa em [[laenghwij]] i' Rusha.
2|P31|https://en.wikipedia.org/wiki/Norfuk_language|https://www.wikidata.org/wiki/Q34770|[[Norfuk]] es a kreol [[laenghwij]] spoekn mien orn Norfuk Ailen an es disendiid fram t' Pitkern laenghwij a' t' setlas from Pitkern Ailen.
3|P30|Greece|Europe|[[Griese]] esa kuntrii i' [[Urup]].
3|P30|Brazil|South America|[[Bresel]] esa kuntrii i' [[Sowth Merika]].
3|P30|Thailand|Asia|[[Tailan]] esa kuntrii i' [[Asya]].
3|P30|Nigeria|Africa|[[Niijiirya]] esa kuntrii i' [[Afreka]].
3|P30|Luxemborg|Europe|[[Luksemborg]] esa kuntrii i' [[Urup]].
3|P30|Nicuragua|Central America|[[Nicaragua]] esa kuntrii i' [[Sentril Merika]].
3|P30|Uruguay|South America|[[Uruguay]] esa kuntrii i' [[Sowth Merika]].
3|P30|Costa Rica|Central America|[[Costa Rica]] esa kuntrii i' [[Sentril Merika]].
3|P30|Liberia|Africa|[[Liberia]] esa kuntrii i' t' west o' [[Afreka]].
