Cluster|Property |e1|e2|Sentence
1|P36|North Korea|lookup|Kapitol bilong [[Not Korea]] emi [[Pyongyang]].
1|P36|Slovakia|lookup|Kapitol bilong [[Slovakia]] i [[Bratislava]].
1|P36|Iceland|lookup|Kapitol bilong [[Aislan]] em i [[Reykjavik]].
1|P36|Austria|lookup|Kapitol bilong [[Ostria]] ol i kolim [[Vienna]].
1|P36|https://en.wikipedia.org/wiki/Luxembourg|https://en.wikipedia.org/wiki/Luxembourg_City|Kapitol bilong [[Laksembog]] emi [[Luxembourg]].
1|P36|Hungary|lookup|Kapitol bilong [[Hangari]] ol i kolim [[Budapest]].
1|P36|Sierra Leone|lookup|Kapitol bilong [[Sierra Leone]] i [[Freetown]].
2|P1376|Budapest|Hungary|[[Budapest]] em i kapitol bilong [[Hangari]].
2|P1376|Baghdad|Iraq|[[Bagdad]] em i kapitol bilong [[Irak]].
2|P1376|Bucharest|Romania|[[Busares]] i kapitol bilong [[Romenia]].
2|P1376|Oslo|Norway|[[Oslo]] i kapitol bilong [[Nowe]].
2|P1376|Bratislava|Slovakia|[[Bratislava]] em i kapitol bilong kantri [[Slovakia]].
2|P1376|Stockholm|Sweden|[[Stockholm]] i kapitol bilong [[Suwidan]].
2|P1376|Moscow|Russia|[[Mosko]] o Moskva em i kapitol bilong [[Rasia]].
2|P1376|Madrid|Spain|[[Madrid]] i kapitol bilong [[Spen]].
2|P1376|Talin|Estonia|[[Talin]] i kapitol bilong [[Estonia]].
2|P1376|Brussels|Belgium|[[Brussels]] emi kapitol bilong kantri [[Beljiam]].
2|P1376|Port Vila|Vanuatu|[[Port Vila]] i kapitol bilong [[Vanuatu]].
2|P1376|Vilnius|Lithuania|[[Vilnius]] i [[kapitol]] bilong [[Lituwenia]].
2|P1376|Sofia|Bulgaria|[[Sofia]] em i [[kapitol]] long kantri [[Balgeria]].
3|P30|Tonga|Oceania|[[Tonga]] emi wanpela kantri long [[Osenia]].
3|P30|Singapore|Asia|[[Singapo]] i stap wanpela kantri long [[Esia]].
3|P30|Vietnam|Asia|[[Vietnam]] em i kantri bilong [[Esia]].
3|P30|Portugal|Europe|[[Potugal]] em i kantri bilong [[Yurop]].
3|P30|South Korea|Asia|[[Saut Koria]] o Korea i kantri bilong [[Esia]].
3|P30|Egypt|Africa|[[Ijip]] em i kantri bilong kontinen [[Aprika]].
3|P30|Greece|Europe|[[Gris]] emi wanpela kantri bilong [[Yurop]].
3|P30|Mexico|North America|[[Meksiko]] i wanpela kantri bilong [[Not Amerika]].
3|P30|France|Europe|[[Frens]] em i kantri bilong [[Yurop]].
3|P30|Senegal|Africa|[[Senegal]] em i kantri bilong kontinen [[Aprika]].
3|P30|Yemen|Asia|[[Yemen]] em i kantri bilong kontinen [[Esia]].
3|P30|Panama|Central America|[[Panama]] emi wanpela kantri bilong [[Sentrel Amerika]].
3|P30|China|Asia|[[China]] istap tupela kantri bilong [[Esia]].
3|P30|Luxemborg|Europe|[[Laksembog]] em i kantri bilong [[Yurop]].
3|P30|Hungary|Europe|[[Hangari]] em i kantri bilong sentrel [[Yurop]].
3|P30|Oman|Asia|[[Oman]] em i wanpela kantri long [[Esia]].
3|P30|Gabon|Africa|[[Gabon]] em i wanpela kantri bilong [[Aprika]].
3|P30|Iran|Asia|[[Iran]] em i wanpela kantri long [[Esia]].
4|P131|https://en.wikipedia.org/wiki/Araras|Brazil|[[Araras]] em i nambawan siti [[Brasil]].
4|P131|https://en.wikipedia.org/wiki/Medell%C3%ADn|Colombia|[[Medellín]] em i nambawan siti saut [[Kolambia]].
4|P131|https://en.wikipedia.org/wiki/Osasco|Brazil|[[Osasku]] em i nambawan siti saut [[Brasil]].
4|P131|https://en.wikipedia.org/wiki/Rio_de_Janeiro|Brazil|[[Rio de Janeiro]] em i nambawan siti [[Brasil]].
4|P131|https://en.wikipedia.org/wiki/Moshchena|Ukraine|[[Moshchena]] em i nambawan siti saut [[Yukren]].
4|P131|https://en.wikipedia.org/wiki/Paltoga|Russia|[[Paltoga]] em i nambawan siti saut [[Rasia]].
5|P131|https://en.wikipedia.org/wiki/Bendigo|Australia|[[Bendago]] stap wanpela biktaun bilong Viktoria, [[Ostrelia]].
5|P131|https://en.wikipedia.org/wiki/Launceston,_Tasmania|Australia|[[Lonseston]] stap wanpela biktaun bilong Tasmenia, [[Ostrelia]].
5|P131|https://en.wikipedia.org/wiki/Darwin,_Northern_Territory|Australia|[[Dawin]] stap wanpela biktaun bilong Noten Teritori, [[Ostrelia]].
5|P131|https://en.wikipedia.org/wiki/Melbourne|Australia|[[Melben]] stap wanpela biktaun bilong Viktoria, [[Ostrelia]].
5|P131|https://en.wikipedia.org/wiki/Ballarat|Australia|[[Balarat]] stap wanpela biktaun bilong Viktoria, [[Ostrelia]].
5|P131|https://en.wikipedia.org/wiki/Geelong|Australia|[[Sielong]] stap wanpela biktaun bilong Viktoria, [[Ostrelia]].
5|P131|https://en.wikipedia.org/wiki/Adelaide|Australia|[[Adalet]] stap wanpela biktaun bilong Saut Ostrelia, [[Ostrelia]].
5|P131|https://en.wikipedia.org/wiki/Auckland|New Zealand|[[Oklan]] em wanpela biktaun bilong [[Niu Silan]].
5|P131|https://en.wikipedia.org/wiki/Brisbane|Australia|[[Brisbin]] stap wanpela biktaun bilong Kwinslan, [[Ostrelia]].
5|P131|https://en.wikipedia.org/wiki/Wollongong|Australia|[[Wulongong]] stap wanpela biktaun bilong Niu Saut Wels, [[Ostrelia]].
5|P131|https://en.wikipedia.org/wiki/Albury|Australia|[[Olbri]] stap wanpela biktaun bilong Niu Saut Wels, [[Ostrelia]].
5|P131|https://en.wikipedia.org/wiki/Perth|Australia|[[Pet]] stap wanpela biktaun bilong Wes Ostrelia, [[Ostrelia]].
5|P131|https://en.wikipedia.org/wiki/Tauranga|New Zealand|[[Toranga]] stap wanpela biktaun long [[Niu Silan]].
6|P106|lookup|https://www.wikidata.org/wiki/Q30461|[[Sauli Niinistö]] (Ogas 24 1948) em i [[presiden]] bilong kantri Pinlan.
6|P106|lookup|https://www.wikidata.org/wiki/Q30461|[[Barack Hussein Obama II]] i [[presiden]] bilong Ol Yunaitet Stet.
