text,text_preprocessed,LEN
"Cidones a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",Cidones a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien,12
Albienia a wahn konchri ina [[Yuurop]].,Albienia a wahn konchri ina Yuurop,6
Kata a wah savrin konchri a [[Ieja]].,Kata a wah savrin konchri a Ieja,7
"[[Aili Silasi I]] (Ge'ez: [[ቀዳማዊ ኃይለ ሥላሴ]], qädamawi haylä səllasé, Amharik pronongxieshan: [ˈhaɪlɜ sɨˈlːase] 23 Julai 1892 – 27 Aagos 1975), baan [[Tafari Makonnen]] Woldemikael, ena [[Iityuopia]] riijent frah 1916 tu 1930 ah empara frah 1930 tu 1974.",Aili_Silasi_I baan Tafari Makonnen Woldemikael ena Iityuopia riijent frah tu ah empara frah tu,14
Ih azwel saab az Chierpoersn a di Aaganizieshan a hAfrikan Yuuniti frah 25 [[Mie]] 1963 tu 17 Julai 1964 ah 5 Novemba 1966 tu 11 Septemba 1967.,Ih azwel saab az Chierpoersn a di Aaganizieshan a hAfrikan Yuuniti frah Mie tu Julai ah Novemba tu Septemba,19
"Tide, Aili Silasi woership az Gad inkaanet mongx falara a di Rastafarai muuvment (tek frah Aili Silasi prii-impiirial niem Ras—we miin Ed, taikl ikuivalent tu Dyuuk—Tafaari Makonen), we imoerj ina [[Jumieka]] juurin di 1930z anda di hinfluens a [[Maakos Gyaavi]] ""Pan Afrikanizam"" muuvment.",Tide Aili Silasi woership az Gad inkaanet mongx falara a di Rastafarai muuvment we imoerj ina Jumieka juurin di z anda di hinfluens a Maakos Gyaavi Pan Afrikanizam muuvment,29
"patent in aim niem fi bak op di taikl, an nof patent ina di Y.K., [[Frans]], an Jormani tu.",patent in aim niem fi bak op di taikl an nof patent ina di YK Frans an Jormani tu,19
Nyuu Deli a di kyapital fi [[India]].,Nyuu Deli a di kyapital fi India,7
Di Wol Elt Aaganizieshan (WHO) a wah speshalaiz iejensi a di [[Yunaitid Nieshan]] we kansoern wid intanashinal poblik elt.,Di Wol Elt Aaganizieshan a wah speshalaiz iejensi a di Yunaitid_Nieshan we kansoern wid intanashinal poblik elt,17
"Iweh extablish pah 7 Iepril 1948, edkwaata ina Jiniiva, [[Suitsalan]].",Iweh extablish pah Iepril edkwaata ina Jiniiva Suitsalan,8
"Gormaz a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",Gormaz a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien,12
 <ns>0</ns>  <revision></revision>  <parentid>20411</parentid>  <timestamp>2021-11-27T23:32:24Z</timestamp>  <contributor></contributor>  <username>Eurohunter</username>    <model>wikitext</model>  <format>text/x-wiki</format> Klin Iiswud (baan [[Rabat]] Braama) a wan Jumiekan regay [[DJ]] we did rekaad az wan suolo aatis inna di liet 1970-dem an orly 1980-dem bifuor im tiim op wid British [[DJ]] [[Jinaral]] Sient az di dewuo Klin Iiswud an Jinaral Sient.,nsns revisionrevision parentidparentid timestampTZtimestamp contributorcontributor usernameEurohunterusername modelwikitextmodel formattextxwikiformat Klin Iiswud a wan Jumiekan regay DJ we did rekaad az wan suolo aatis inna di liet dem an orly dem bifuor im tiim op wid British DJ Jinaral Sient az di dewuo Klin Iiswud an Jinaral Sient,46
"Di yonga breda a [[DJ]] Trinity, Braama tek di tren a yuuzin di niem a karakta fram Spageti Westan az stiej niem wan step forda bai a rekaad an pafaam unda di niem a wan a di janra muos suksesful acta, Clin Iiswud.",Di yonga breda a DJ Trinity Braama tek di tren a yuuzin di niem a karakta fram Spageti Westan az stiej niem wan step forda bai a rekaad an pafaam unda di niem a wan a di janra muos suksesful acta Clin Iiswud,43
"Im rekaad [[chrii]] albom inna 1978 - ""Afrikan Yuut"" an ""Step [[It]] In a Zayan"" fi produusa [[Boni]] Lii, an ""Det In Di Ariina"" fi Chanal Wan.",Im rekaad chrii albom inna Afrikan Yuut an Step It In a Zayan fi produusa Boni Lii an Det In Di Ariina fi Chanal Wan,25
