Tokens	Left_Offset	Left	Left_ID	Right_Offset	Right	Right_ID	Property
['Bielorusia', '(', 'Рэспубліка', 'Беларусь', ',', 'Республика', 'Беларусь', ')', 'es', 'un', 'pais', 'de', 'Europa', 'Oriental', 'tiene', 'frontieras', 'con', 'Lituania', 'y', 'Letonia', 'el', 'norte', ',', 'Rusia', 'el', 'este', ',', 'Ucrania', 'el', 'sur', ',', 'y', 'Polonia', 'el', 'oeste', '.']	[17]	Lituania	Q37	[19]	Letonia	Q211	P530
['Bielorusia', '(', 'Рэспубліка', 'Беларусь', ',', 'Республика', 'Беларусь', ')', 'es', 'un', 'pais', 'de', 'Europa', 'Oriental', 'tiene', 'frontieras', 'con', 'Lituania', 'y', 'Letonia', 'el', 'norte', ',', 'Rusia', 'el', 'este', ',', 'Ucrania', 'el', 'sur', ',', 'y', 'Polonia', 'el', 'oeste', '.']	[17]	Lituania	Q37	[23]	Rusia	Q159	P530
['Bielorusia', '(', 'Рэспубліка', 'Беларусь', ',', 'Республика', 'Беларусь', ')', 'es', 'un', 'pais', 'de', 'Europa', 'Oriental', 'tiene', 'frontieras', 'con', 'Lituania', 'y', 'Letonia', 'el', 'norte', ',', 'Rusia', 'el', 'este', ',', 'Ucrania', 'el', 'sur', ',', 'y', 'Polonia', 'el', 'oeste', '.']	[17]	Lituania	Q37	[27]	Ucrania	Q212	P530
['Bielorusia', '(', 'Рэспубліка', 'Беларусь', ',', 'Республика', 'Беларусь', ')', 'es', 'un', 'pais', 'de', 'Europa', 'Oriental', 'tiene', 'frontieras', 'con', 'Lituania', 'y', 'Letonia', 'el', 'norte', ',', 'Rusia', 'el', 'este', ',', 'Ucrania', 'el', 'sur', ',', 'y', 'Polonia', 'el', 'oeste', '.']	[17]	Lituania	Q37	[32]	Polonia	Q36	P47
['Bielorusia', '(', 'Рэспубліка', 'Беларусь', ',', 'Республика', 'Беларусь', ')', 'es', 'un', 'pais', 'de', 'Europa', 'Oriental', 'tiene', 'frontieras', 'con', 'Lituania', 'y', 'Letonia', 'el', 'norte', ',', 'Rusia', 'el', 'este', ',', 'Ucrania', 'el', 'sur', ',', 'y', 'Polonia', 'el', 'oeste', '.']	[19]	Letonia	Q211	[23]	Rusia	Q159	P530
['Bielorusia', '(', 'Рэспубліка', 'Беларусь', ',', 'Республика', 'Беларусь', ')', 'es', 'un', 'pais', 'de', 'Europa', 'Oriental', 'tiene', 'frontieras', 'con', 'Lituania', 'y', 'Letonia', 'el', 'norte', ',', 'Rusia', 'el', 'este', ',', 'Ucrania', 'el', 'sur', ',', 'y', 'Polonia', 'el', 'oeste', '.']	[19]	Letonia	Q211	[27]	Ucrania	Q212	P530
['Bielorusia', '(', 'Рэспубліка', 'Беларусь', ',', 'Республика', 'Беларусь', ')', 'es', 'un', 'pais', 'de', 'Europa', 'Oriental', 'tiene', 'frontieras', 'con', 'Lituania', 'y', 'Letonia', 'el', 'norte', ',', 'Rusia', 'el', 'este', ',', 'Ucrania', 'el', 'sur', ',', 'y', 'Polonia', 'el', 'oeste', '.']	[19]	Letonia	Q211	[32]	Polonia	Q36	P530
['Bielorusia', '(', 'Рэспубліка', 'Беларусь', ',', 'Республика', 'Беларусь', ')', 'es', 'un', 'pais', 'de', 'Europa', 'Oriental', 'tiene', 'frontieras', 'con', 'Lituania', 'y', 'Letonia', 'el', 'norte', ',', 'Rusia', 'el', 'este', ',', 'Ucrania', 'el', 'sur', ',', 'y', 'Polonia', 'el', 'oeste', '.']	[23]	Rusia	Q159	[32]	Polonia	Q36	P530
['Bielorusia', '(', 'Рэспубліка', 'Беларусь', ',', 'Республика', 'Беларусь', ')', 'es', 'un', 'pais', 'de', 'Europa', 'Oriental', 'tiene', 'frontieras', 'con', 'Lituania', 'y', 'Letonia', 'el', 'norte', ',', 'Rusia', 'el', 'este', ',', 'Ucrania', 'el', 'sur', ',', 'y', 'Polonia', 'el', 'oeste', '.']	[27]	Ucrania	Q212	[32]	Polonia	Q36	P530
['Pedro', 'Juan', 'Caballero', 'es', 'el', 'capital', 'y', 'el', 'ciudad', 'mas', 'grande', 'del', 'departamento', 'de', 'Amambay', ',', 'del', 'nacion', 'de', 'Paraguay', '.']	[14]	Amambay	Q686586	[19]	Paraguay	Q733	P17
"['Nigeria', '(', '""', 'Federal', 'Republic', 'of', 'Nigeria', '""', ',', '""', 'Jamhuriyar', 'Taraiyar', 'Nijeriya', '""', ',', '""', 'Ȯha', 'nke', 'Ohaneze', 'Naíjíríà', '""', ',', '""', 'Àpapọ̀', 'Olómìnira', 'ilẹ̀', 'Nàìjíríà', '""', ')', 'es', 'un', 'pais', 'na', 'Africa', 'con', 'las', 'sus', 'maga', 'frontieras', 'ay', 'con', 'Benín', ',', 'Níger', ',', 'Chad', ',', 'y', 'Camerún', '.']"	[33]	Africa	Q15	[41]	Benín	Q962	P30
"['Nigeria', '(', '""', 'Federal', 'Republic', 'of', 'Nigeria', '""', ',', '""', 'Jamhuriyar', 'Taraiyar', 'Nijeriya', '""', ',', '""', 'Ȯha', 'nke', 'Ohaneze', 'Naíjíríà', '""', ',', '""', 'Àpapọ̀', 'Olómìnira', 'ilẹ̀', 'Nàìjíríà', '""', ')', 'es', 'un', 'pais', 'na', 'Africa', 'con', 'las', 'sus', 'maga', 'frontieras', 'ay', 'con', 'Benín', ',', 'Níger', ',', 'Chad', ',', 'y', 'Camerún', '.']"	[33]	Africa	Q15	[43]	Níger	Q1032	P30
"['Nigeria', '(', '""', 'Federal', 'Republic', 'of', 'Nigeria', '""', ',', '""', 'Jamhuriyar', 'Taraiyar', 'Nijeriya', '""', ',', '""', 'Ȯha', 'nke', 'Ohaneze', 'Naíjíríà', '""', ',', '""', 'Àpapọ̀', 'Olómìnira', 'ilẹ̀', 'Nàìjíríà', '""', ')', 'es', 'un', 'pais', 'na', 'Africa', 'con', 'las', 'sus', 'maga', 'frontieras', 'ay', 'con', 'Benín', ',', 'Níger', ',', 'Chad', ',', 'y', 'Camerún', '.']"	[33]	Africa	Q15	[45]	Chad	Q657	P30
