Tokens	Left_Offset	Left	Left_ID	Right_Offset	Right	Right_ID	Property
"['Élisabeth', 'té', 'tifi', '-', 'a', 'di', 'rwè', 'Henri', 'VIII', ""d'Anglétèr"", ',', 'so', 'mè', 'Anne', 'Boleyn', 'té', 'ègzékité', 'trwa', 'lan', 'aprè', 'so', 'nésans', ',', 'é', 'li', 'ka', 'pédi', 'so', 'tit', 'di', 'prensès', '.']"	[7, 8]	Henri VIII	Q38370	[13, 14]	Anne Boleyn	Q80823	P26
['Igor', 'Fiodorovitch', 'Stravinsky', '(', 'an', 'ris', ':', 'Игорь', 'Фёдорович', 'Стравинский', ')', ',', 'né', 'lou', '17', 'jen', '1882', 'à', 'Oranienbaum', 'an', 'Risi', 'é', 'mò', 'lou', '6', 'avril', '1971', 'à', 'New', 'York', 'o', 'Étazini', ',', 'sa', 'roun', 'konpozitò', ',', 'chef', 'di', 'lòrkès', 'é', 'pyanis', 'ris', '(', 'natiralizé', 'fransè', 'an', '1934', ',', 'épi', 'amériken', 'an', '1945', ')', 'di', 'lamizik', 'modern', ',', 'konsidéré', 'kou', 'roun', 'di', 'sé', 'konpozitò', 'sé', 'pli', 'enfliyan', 'di', 'XXe', 'syèk', '.']	[7, 8, 9]	Игорь Фёдорович Стравинский	Q7314	[18]	Oranienbaum	Q157688	P19
['Dominik', ',', 'an', 'anglè', 'Dominica', ',', 'sa', 'roun', 'péyi', 'é', 'lil', 'di', 'archipel', 'di', 'Karayib', '.']	[4]	Dominica	Q784	[14]	Karayib	Q664609	P706
['Sa', 'mapmonn', 'sa', 'pronmyé', 'kart', 'asou', 'lakèl', 'ka', 'aparèt', 'palò', '-', 'a', '«', 'America', '»', ',', 'prénon', 'féminizé', 'ki', 'atribiyé', 'an', 'lonnò', '-', 'a', 'di', 'navigatò', 'floranten', 'Amerigo', 'Vespucci', '(', 'Amerigo', 'sa', 'lékivalan', 'italyen', '-', 'an', 'di', 'prénon', 'di', 'lorijin', 'jèrmannik', '«', 'Aymeric', '»', ',', 'varyant', 'méridjonnal', 'di', '«', 'Anri', '»', ')', '.']	[13]	America	Q828	[27, 28]	Amerigo Vespucci	Q47674	P138
['Naruhito', ',', 'ki', 'fèt', '23', 'fevriye', '1960', 'nan', 'Tokyo', '(', 'Japon', ')', ',', 'se', '126yèm', 'anperè', 'Japon', 'depi', '1e', 'me', '2019', '.']	[8]	Tokyo	Q1490	[10]	Japon	Q17	P17
['Naruhito', ',', 'ki', 'fèt', '23', 'fevriye', '1960', 'nan', 'Tokyo', '(', 'Japon', ')', ',', 'se', '126yèm', 'anperè', 'Japon', 'depi', '1e', 'me', '2019', '.']	[8]	Tokyo	Q1490	[10]	Japon	Q17	P17
['Né', 'é', 'édiké', 'koté', 'Tus', '(', 'an', 'Iran', ')', ',', 'li', 'vwayajé', 'plita', 'koté', 'Kufa', '.']	[4]	Tus	Q681427	[7]	Iran	Q794	P17
['Rom', '(', 'an', 'italyen', ':', 'Roma', ',', 'prounonsé', '[', 'ˈroˑma', ']', ')', 'sa', 'kapital', '-', 'a', 'di', 'Itali', 'dipi', '1871', '.']	[5]	Roma	Q220	[17]	Itali	Q38	P17
"['An', '2016', ',', 'li', 'ka', 'konté', '2', '877', '215', 'zabitan', 'établi', 'asou', '1', '285', 'km2', ',', 'sa', 'ki', 'ka', 'fè', 'di', 'li', 'komin', 'pli', 'péplé', ""d'Itali"", 'ké', 'trwazyenm', 'pli', 'étandou', ""d'Éròp"", 'aprè', 'Mòskou', 'ké', 'Lonn', '.']"	[32]	Mòskou	Q649	[34]	Lonn	Q84	P190
['Taj', 'Mahal', ',', 'an', 'devanagari', 'ताजमहल', ',', 'an', 'persan', 'تاج', 'محل', 'ki', 'ka', 'signifyé', '«', 'palè', '-', 'a', 'di', 'kouronn', '-', 'an', '»', ',', 'sa', 'sitchwé', 'atè', 'Agra', ',', 'o', 'bò', 'di', 'larivyè', '-', 'a', 'Yamuna', ',', 'annan', 'Léta', 'di', 'Uttar', 'Pradesh', ',', 'an', 'Enn', '.']	[5]	ताजमहल	Q9141	[27]	Agra	Q42941	P131
['Taj', 'Mahal', ',', 'an', 'devanagari', 'ताजमहल', ',', 'an', 'persan', 'تاج', 'محل', 'ki', 'ka', 'signifyé', '«', 'palè', '-', 'a', 'di', 'kouronn', '-', 'an', '»', ',', 'sa', 'sitchwé', 'atè', 'Agra', ',', 'o', 'bò', 'di', 'larivyè', '-', 'a', 'Yamuna', ',', 'annan', 'Léta', 'di', 'Uttar', 'Pradesh', ',', 'an', 'Enn', '.']	[9, 10]	تاج محل	Q9141	[27]	Agra	Q42941	P131
['Johann', 'Carl', 'Friedrich', 'Gauß', '(', 'prounonsé', 'an', 'alman', '[', 'gaʊs', ']', ';', 'tradisyonèlman', 'transkri', 'Gauss', 'an', 'fransé', ';', 'Carolus', 'Fridericus', 'Gauss', 'an', 'laten', ')', ',', 'né', '30', 'avril', '1777', 'atè', 'Brunswick', 'é', 'mouri', '23', 'févriyé', '1855', 'atè', 'Göttingen', ',', 'sa', 'roun', 'matématisyen', ',', 'astronòm', 'ké', 'fizisyen', 'alman', '.']	[14]	Gauss	Q6722	[30]	Brunswick	Q2773	P19
['Résif', '-', 'a', ',', 'sitchwé', 'an', 'lanmè', 'di', 'Koray', 'o', 'larj', 'di', 'Queensland', ',', 'an', 'Ostrali', 'sa', 'vizib', 'dipi', 'lèspas', '-', 'a', ';', 'a', 'pli', 'grann', 'striktir', 'vivant', 'byojénik', '(', 'kréyé', 'pa', 'dé', 'lòrganism', 'vivan', ')', 'o', 'monn', ',', 'konstri', 'pa', 'dé', 'milyar', 'di', 'lòrganism', 'miniskil', ',', 'li', 'konnèt', 'antan', 'ki', 'koray', 'polip', '.']	[12]	Queensland	Q36074	[15]	Ostrali	Q408	P131
