Tokens	Left_Offset	Left	Left_ID	Right_Offset	Right	Right_ID	Property
['Cidones', 'a', 'wahn', 'miunisipaliti', 'luokiet', 'ina', 'di', 'pravins', 'a', 'Soria', ',', 'Kiastiil', 'ahn', 'León', ',', 'Spien', '.']	[7, 8, 9]	pravins a Soria	Q55276	[11, 12, 13]	Kiastiil ahn León	Q5739	P131
['Gormaz', 'a', 'wahn', 'miunisipaliti', 'luokiet', 'ina', 'di', 'pravins', 'a', 'Soria', ',', 'Kiastiil', 'ahn', 'León', ',', 'Spien', '.']	[7, 8, 9]	pravins a Soria	Q55276	[11, 12, 13]	Kiastiil ahn León	Q5739	P131
['Espeja', 'de', 'San', 'Marcelino', 'a', 'wahn', 'miunisipaliti', 'luokiet', 'ina', 'di', 'pravins', 'a', 'Soria', ',', 'Kiastiil', 'ahn', 'León', ',', 'Spien', '.']	[10, 11, 12]	pravins a Soria	Q55276	[14, 15, 16]	Kiastiil ahn León	Q5739	P131
['Santa', 'María', 'de', 'las', 'Hoyas', 'a', 'wahn', 'miunisipaliti', 'luokiet', 'ina', 'di', 'pravins', 'a', 'Soria', ',', 'Kiastiil', 'ahn', 'León', ',', 'Spien', '.']	[11, 12, 13]	pravins a Soria	Q55276	[15, 16, 17]	Kiastiil ahn León	Q5739	P131
['Arcos', 'de', 'Jalón', 'a', 'wahn', 'miunisipaliti', 'luokiet', 'ina', 'di', 'pravins', 'a', 'Soria', ',', 'Kiastiil', 'ahn', 'León', ',', 'Spien', '.']	[9, 10, 11]	pravins a Soria	Q55276	[13, 14, 15]	Kiastiil ahn León	Q5739	P131
['Muriel', 'Viejo', 'a', 'wahn', 'miunisipaliti', 'luokiet', 'ina', 'di', 'pravins', 'a', 'Soria', ',', 'Kiastiil', 'ahn', 'León', ',', 'Spien', '.']	[8, 9, 10]	pravins a Soria	Q55276	[12, 13, 14]	Kiastiil ahn León	Q5739	P131
['Alentisque', 'a', 'wahn', 'miunisipaliti', 'luokiet', 'ina', 'di', 'pravins', 'a', 'Soria', ',', 'Kiastiil', 'ahn', 'León', ',', 'Spien', '.']	[7, 8, 9]	pravins a Soria	Q55276	[11, 12, 13]	Kiastiil ahn León	Q5739	P131
['Alentisque', 'a', 'wahn', 'miunisipaliti', 'luokiet', 'ina', 'di', 'pravins', 'a', 'Soria', ',', 'Kiastiil', 'ahn', 'León', ',', 'Spien', '.']	[11, 12, 13]	Kiastiil ahn León	Q5739	[15]	Spien	Q29	P131
['Trévago', 'a', 'wahn', 'miunisipaliti', 'luokiet', 'ina', 'di', 'pravins', 'a', 'Soria', ',', 'Kiastiil', 'ahn', 'León', ',', 'Spien', '.']	[7, 8, 9]	pravins a Soria	Q55276	[11, 12, 13]	Kiastiil ahn León	Q5739	P131
['Aldealices', 'a', 'wahn', 'miunisipaliti', 'luokiet', 'ina', 'di', 'pravins', 'a', 'Soria', ',', 'Kiastiil', 'ahn', 'León', ',', 'Spien', '.']	[7, 8, 9]	pravins a Soria	Q55276	[11, 12, 13]	Kiastiil ahn León	Q5739	P131
