Tokens	Left_Offset	Left	Left_ID	Right_Offset	Right	Right_ID	Property
['Turin', '(', 'Italiano', ':', 'Turin', ')', 'ta', 'un', 'siudat', 'den', 'e', 'parti', 'nort', 'di', 'Italia', 'i', 'kapital', 'di', 'region', 'di', 'Piemonte', '.']	[2]	Italiano	Q652	[14]	Italia	Q38	P17
"['Dilma', 'Vana', 'Rousseff', '(', 'Belo', 'Horizonte', ',', '14', 'di', 'december', '1947', ')', 'ta', 'un', 'ekonomista', 'i', 'politiko', 'brasileño', ',', 'afilia', 'na', 'e', '""', 'Partido', 'den', 'Trabalhadornan', '""', '(', 'PT', ')', 'y', 'e', 'aktual', 'presidente', 'di', 'e', 'Republika', 'Federativo', 'di', 'Brazil', '.']"	[4, 5]	Belo Horizonte	Q42800	[39]	Brazil	Q155	P17
['Olanan', 'di', 'e', 'tsunami', 'a', 'yaga', 'kosta', 'Afrika', ',', 'west', 'di', 'Merka', 'i', 'Sùit', 'Amerika', '.']	[11]	Merka	Q30	[14]	Amerika	Q49	P30
['Despues', 'di', '22', 'ora', 'olanan', 'di', '5,5', 'meter', 'a', 'yega', 'kosta', 'di', 'Hapon', ',', 'tabatin', 'hopi', 'daño', 'i', 'viktima', 'riba', 'area', 'di', 'kostanan', 'na', 'Osean', 'Pasifeko', 'Atjeh', '(', 'Samatra', ')', '.']	[26]	Atjeh	Q1823	[28]	Samatra	Q3492	P706
['Loiri', 'Porto', 'San', 'Paolo', 'ta', 'un', 'siudad', 'na', 'Sardegna', ',', 'Italia', '.']	[8]	Sardegna	Q1462	[10]	Italia	Q38	P17
['Na', 'e', 'Weganan', 'Panamericano', '2019', 'na', 'Lima', ',', 'Peru', 'e', 'ta', 'clasifica', 'den', 'e', 'ranking', 'final', 'riba', 'posicion', '5', '.']	[6]	Lima	Q2868	[8]	Peru	Q419	P17
['Universidat', 'di', 'Liverpool', 'ta', 'un', 'skol', 'akademiko', 'situa', 'na', 'Liverpool', ',', 'Inglatera', ',', 'Reino', 'Uni', '.']	[11]	Inglatera	Q21	[13, 14]	Reino Uni	Q145	P17
['Descubri', 'por', 'Erik', 'e', 'Korá', 'den', 'ana', '982', ',', 'su', 'evangelizashon', 'a', 'inicia', 'den', 'e', 'siglo', 'XI', 'y', 'den', '1261', 'a', 'keda', 'riba', 'soberania', 'di', 'Noruega', '.']	[2, 3, 4]	Erik e Korá	Q172345	[25]	Noruega	Q20	P27
"['Budoni', '(', 'Budùni', 'na', 'idioma', 'sardegno', ')', 'ta', 'un', 'munisipio', '(', '""', 'comune', '""', ')', 'na', 'provinsia', 'di', 'Sassari', ',', 'region', 'di', 'Sardegna', ',', 'Italia', '.']"	[22]	Sardegna	Q1462	[24]	Italia	Q38	P17
"['Ku', 'e', 'meta', 'pa', 'stimula', 'mantenshon', 'di', 'Papiamentu', 'ta', 'tene', 'e', 'asina', 'yamá', '""', 'Diktado', 'Nashonal', 'di', 'Papiamentu', '""', 'na', 'Kòrsou', 'i', '""', 'Dictado', 'Nacional', 'di', 'Papiamento', '""', 'na', 'Aruba', '.']"	[7]	Papiamentu	Q33856	[29]	Aruba	Q21203	P17
['Albanes', 'ta', 'un', 'lenga', 'papiá', 'na', 'Albania', 'y', 'Kosovo', '.']	[6]	Albania	Q222	[8]	Kosovo	Q1246	P47
"['Roma', '\xa0', '(', 'na', '\xa0', 'italiano', ':', '\xa0', 'Roma', '[', 'ˈroːma', ']', ')', 'ta', 'un', 'siudad', 'den', 'Italia', 'conoci', 'con', '""', 'siudad', 'eterno', '""', '.']"	[5]	italiano	Q652	[17]	Italia	Q38	P17
['E', 'aymara', '(', 'aymar', 'aru', ')', 'ta', 'un', 'lenga', 'papia', 'por', 'mas', 'di', '2', '500', '000', 'hende', 'di', 'e', 'etnia', 'aimará', ',', 'principalmente', 'na', 'Peru', ',', 'Bolivia', ',', 'Chile', 'y', 'Argentina', '.']	[24]	Peru	Q419	[26]	Bolivia	Q750	P47
['E', 'aymara', '(', 'aymar', 'aru', ')', 'ta', 'un', 'lenga', 'papia', 'por', 'mas', 'di', '2', '500', '000', 'hende', 'di', 'e', 'etnia', 'aimará', ',', 'principalmente', 'na', 'Peru', ',', 'Bolivia', ',', 'Chile', 'y', 'Argentina', '.']	[24]	Peru	Q419	[28]	Chile	Q298	P47
