Tokens	Left_Offset	Left	Left_ID	Right_Offset	Right	Right_ID	Property
"['Adradas', '(', 'Spanish', ':', '""', 'Adradas', '""', ')', 'esa', 'toen', 'i', ""'"", 'Spain', ',', 'en', 't', ""'"", 'prowins', 'o', ""'"", 'Soria', ',', 'i', ""'"", 'Castiil', 'a', ""'"", 'Liion', '.']"	[2]	Spanish	Q1321	[12]	Spain	Q29	P17
"[' ', 'es', 'd', ""'"", 'fifth', 'manth', 'a', ""'"", 'd', ""'"", 'iya', ',', 'd', ""'"", 'laas', 'manth', 'a', ""'"", 'spring', 'en', 'd', ""'"", 'laas', 'manth', 'a', ""'"", 'ortam', '.']"	[18]	spring	Q1312	[26]	ortam	Q1314	P461
"['Afta', 't', ""'"", 'Japanese', 'surrender', 'followin', 'their', 'defeat', 'i', ""'"", 'Werl', 'War', 'II', 'i', ""'"", '1945', ',', 'Koriya', 'waa', 'divided', 'biitwiin', 't', ""'"", 'Yunitid', 'Staits', 'o', ""'"", 'Merika', 'an', 't', ""'"", 'Sowiet', 'Yunyuun', '.']"	[10, 11, 12]	Werl War II	Q362	[23, 24, 25, 26, 27]	Yunitid Staits o' Merika	Q30	P793
['Svetlana', 'Sergiyivna', 'Loboda', '(', 'Yukrayniian', ':', 'Світла́на', 'Сергі́ївна', 'Лобода́', ';', 'Rushan', ':', 'Светлана', 'Сергеевна', 'Лобода', ')', '(', 'Oktoeba', '18', ',', '1982', ',', 'Kiev', ',', 'YoSSR', ')', 'esa', 'wun', 'Yukrayiniian', 'an', 'Rushan', 'singaa', '.']	[24]	YoSSR	Q15180	[10]	Rushan	Q7737	P37
"['T', ""'"", 'siisen', 'a', ""'"", 'kam', 'aafta', 'ortam', 'an', 'afor', 'spring', '.']"	[7]	ortam	Q1314	[10]	spring	Q1312	P461
['Mani', 'tuares', 'in', 'Norfuk', 'Ailen', 'kam', 'tu', 'sii', 'dem', 'historik', 'bildings', 'in', 'Kingston', '.']	[3, 4]	Norfuk Ailen	Q31057	[12]	Kingston	Q30963	P36
"['Lioen', '(', 'French', ':', '""', 'Lyon', '""', ';', 'Arpitanii', ':', '""', 'Liyon', '""', ')', 'esa', 't', ""'"", 'thiird', 'biges', 'citii', 'an', 't', ""'"", 'sekan', 'biges', 'yuurban', 'airea', 'i', ""'"", 'Frans', ',', 't', ""'"", 'administrativ', 'sentaa', 'a', ""'"", 'rijion', 'a', ""'"", 'Oviirn', '-', 'Ronee', '-', 'Aalps', '.']"	[2]	French	Q150	[29]	Frans	Q142	P37
"[' ', 'es', 'd', ""'"", 'therd', 'manth', 'a', ""'"", 'd', ""'"", 'iya', ',', 'd', ""'"", 'fas', 'manth', 'a', ""'"", 'spring', 'en', 'd', ""'"", 'fas', 'manth', 'a', ""'"", 'ortam', '.']"	[18]	spring	Q1312	[26]	ortam	Q1314	P461
"['Almasaan', '(', 'Spanish', ':', '""', 'Almazán', '""', ')', 'esa', 'toen', 'i', ""'"", 'Spain', ',', 'sityuuaitid', 'en', 't', ""'"", 'prowins', 'o', ""'"", 'Soria', ',', 'i', ""'"", 'Castiil', 'a', ""'"", 'Liion', '.']"	[2]	Spanish	Q1321	[12]	Spain	Q29	P17
"['Jibrulta', '(', 'Inglish', 'an', 'Spanish', ':', '""', 'Gibraltar', '""', ')', 'esa', 'dapendinci', 'o', ""'"", 'Yunitid', 'Kingdum', 'to', 'sowth', 'o', ""'"", 'Spain', '.']"	[2]	Inglish	Q1860	[14, 15]	Yunitid Kingdum	Q145	P17
"['Jibrulta', '(', 'Inglish', 'an', 'Spanish', ':', '""', 'Gibraltar', '""', ')', 'esa', 'dapendinci', 'o', ""'"", 'Yunitid', 'Kingdum', 'to', 'sowth', 'o', ""'"", 'Spain', '.']"	[4]	Spanish	Q1321	[20]	Spain	Q29	P17
"[' ', 'es', 'd', ""'"", 'lemnth', 'manth', 'a', ""'"", 'd', ""'"", 'iya', ',', 'd', ""'"", 'laas', 'manth', 'a', ""'"", 'ortam', 'en', 'd', ""'"", 'laas', 'manth', 'a', ""'"", 'spring', '.']"	[18]	ortam	Q1314	[26]	spring	Q1312	P461
"[' ', 'es', 'd', ""'"", 'forth', 'manth', 'a', ""'"", 'd', ""'"", 'iya', ',', 'd', ""'"", 'sekan', 'manth', 'a', ""'"", 'spring', 'en', 'd', ""'"", 'sekan', 'manth', 'a', ""'"", 'ortam', '.']"	[18]	spring	Q1312	[26]	ortam	Q1314	P461
['Checkmat', 'currently', 'has', 'affiliate', 'academies', 'Araun', 'T', 'world', 'including', 'I', 'brazil', ',', 'Yunaitid', 'Kingdum', ',', 'Kaneda', ',', 'poland', ',', 'madagascar', ',', 'cyprus', ',', 'sweden', ',', 'Airlen', ',', 'england', ',', 'malaysia', ',', 'T', 'Yunaitid', 'Stiets', ',', 'paraguay', ',', 'spain', ',', 'france', ',', 'denmark', ',', 'T', 'netherlands', ',', 'iceland', ',', 'finland', ',', 'greece', ',', 'germany', ',', 'china', ',', 'japan', ',', 'korea', ',', 'Singapur', ',', 'tunisia', ',', 'T', 'philippines', ',', 'Ostrielya', ',', 'argentina', ',', 'kazakhstan', 'An', 'ukraine.[citation', 'needed', ']', '.']	[60]	Singapur	Q334	[67]	Ostrielya	Q408	P530
"['La', 'Marcha', 'Real', '""', '—', 'Anthem', 'o', ""'"", 'Spain', '.', '""']"	[2]	Real	Q8682	[8]	Spain	Q29	P17
"['Sri', 'Lanka', 'es', 'a', ""'"", 'ailen', 'kuntrii', 'i', ""'"", 'Asya', ',', 'in', 't', ""'"", 'Indien', 'Oshen', ',', 'sowth', 'a', ""'"", 'Endya', '.']"	[14, 15]	Indien Oshen	Q1239	[20]	Endya	Q668	P138
"[' ', 'es', 'd', ""'"", 'nainth', 'manth', 'a', ""'"", 'd', ""'"", 'iya', ',', 'd', ""'"", 'fas', 'manth', 'a', ""'"", 'ortam', 'en', 'd', ""'"", 'fas', 'manth', 'a', ""'"", 'spring', '.']"	[18]	ortam	Q1314	[26]	spring	Q1312	P461
"['Blaadi', 'Bridj', '(', 'Inglish', ':', '""', 'Bloody', 'Bridge', '""', ')', 'es', 'a', 'bridj', 'en', 'Kingston', ',', 'Norfuk', 'Ailen', '.']"	[14]	Kingston	Q30963	[16, 17]	Norfuk Ailen	Q31057	P36
['Et', 'bordas', 'Angola', ',', 'Sowth', 'Afreka', ',', 'Botswana', 'an', 'Zambia', '.']	[2]	Angola	Q916	[9]	Zambia	Q953	P530
['Et', 'bordas', 'Angola', ',', 'Sowth', 'Afreka', ',', 'Botswana', 'an', 'Zambia', '.']	[4, 5]	Sowth Afreka	Q258	[7]	Botswana	Q963	P530
['Et', 'bordas', 'Angola', ',', 'Sowth', 'Afreka', ',', 'Botswana', 'an', 'Zambia', '.']	[4, 5]	Sowth Afreka	Q258	[9]	Zambia	Q953	P530
['Et', 'bordas', 'Angola', ',', 'Sowth', 'Afreka', ',', 'Botswana', 'an', 'Zambia', '.']	[7]	Botswana	Q963	[9]	Zambia	Q953	P47
"[' ', 'es', 'd', ""'"", 'tenth', 'manth', 'a', ""'"", 'd', ""'"", 'iya', ',', 'd', ""'"", 'sekan', 'manth', 'a', ""'"", 'ortam', 'en', 'd', ""'"", 'sekan', 'manth', 'a', ""'"", 'spring', '.']"	[18]	ortam	Q1314	[26]	spring	Q1312	P461
