Text,Wiki_ID,Wikidata_ID,Source
Naat Amoerka,994,Q49,Wikipedia
Washintan D.C.,1509,Q61,Wikipedia
Atlantik Uoshan,157,Q97,Wikipedia
Kianada,728,Q16,Wikipedia
Mexiko,927,Q96,Wikipedia
Rosha,1201,Q159,Wikipedia
Kuol Waar,770,Q8683,Wikipedia
Joerman,665,Q188,Wikipedia
Itali,625,Q38,Wikipedia
Spien,1332,Q29,Wikipedia
Wah,None,Q17070284,OpenTapioca
Yunaitid Stiet,None,Q30,OpenTapioca
Panish,1071,Q1321,Wikipedia
ina,None,Q1665109,OpenTapioca
French,446,Q150,Wikipedia
rilijan,1190,Q9174,Wikipedia
rais,1160,Q5090,Wikipedia
wiit,1517,Q15645384,Wikipedia
Afrika,50,Q15,Wikipedia
gens,None,Q899409,OpenTapioca
mek,None,Q96,OpenTapioca
Ingglish,592,Q1860,Wikipedia
British Empaya,248,Q8680,Wikipedia
Kiaribiyan,732,Q664609,Wikipedia
Yunaitid Stiet,1543,Q30,Wikipedia
Sanskrit,1237,Q11059,Wikipedia
India,580,Q668,Wikipedia
Induizim,589,Q9089,Wikipedia
Budizim,257,Q748,Wikipedia
Jainizim,641,Q9232,Wikipedia
Amoerkaz,110,Q828,Wikipedia
Kyuuba,779,Q241,Wikipedia
Sout Amoerka,1327,Q18,Wikipedia
Aajentiina,28,Q414,Wikipedia
Brazil,244,Q155,Wikipedia
Surinam,1356,Q730,Wikipedia
Jumieka,681,Q766,Wikipedia
Biejing,210,Q956,Wikipedia
Kiev,739,Q1899,Wikipedia
Renesans,1175,Q4692,Wikipedia
grama,508,Q8091,Wikipedia
ischri,601,Q309,Wikipedia
puoychri,1149,Q482,Wikipedia
Landan,793,Q84,Wikipedia
Wol Waar II,1528,Q362,Wikipedia
Kinston,None,Q34692,OpenTapioca
Instityuut a Jumieka,2696,Q6040469,Wikipedia
Landan,None,Q84,OpenTapioca
Jumieka,None,Q766,OpenTapioca
Ingglan,None,Q21,OpenTapioca
put,None,Q34442,OpenTapioca
League of Coloured Peoples,None,Q6509014,OpenTapioca
Istanbul,624,Q406,Wikipedia
Little Brown,None,Q552959,OpenTapioca
Luwiiz Benit,850,Q965821,Wikipedia
London,None,Q84,OpenTapioca
BBC,None,Q9531,OpenTapioca
Empire Service,None,Q989490,OpenTapioca
Maakos Gyaavi,854,Q272504,Wikipedia
Dis,None,Q504031,OpenTapioca
Izrel,631,Q801,Wikipedia
Rastafarai,1164,Q101462,Wikipedia
Porgi,None,Q12372677,OpenTapioca
Bes,None,Q1151537,OpenTapioca
Bess,None,Q468245,OpenTapioca
Instityuut a Jumieka,None,Q6040469,OpenTapioca
kantinent,721,Q5107,Wikipedia
Ieja,547,Q48,Wikipedia
Meditarienian Sii,919,Q4918,Wikipedia
frii wil,453,Q9476,Wikipedia
nastisizim,1013,Q48420,Wikipedia
Kristianiti,765,Q5043,Wikipedia
Izlam,628,Q432,Wikipedia
Iran,598,Q794,Wikipedia
Ivoluushan,2237,Q1063,Wikipedia
animal,2246,Q729,Wikipedia
pravins a Soria,1117,Q55276,Wikipedia
Kiastiil ahn León,735,Q5739,Wikipedia
stiet,1339,Q3624078,Wikipedia
Latn,804,Q397,Wikipedia
Yuropiyan Yuunian,2067,Q458,Wikipedia
gobament,501,Q7188,Wikipedia
diskriminieshan,374,Q169207,Wikipedia
laif,791,Q3,Wikipedia
jenda,652,Q48277,Wikipedia
kola,752,Q1075,Wikipedia
disabiliti,2567,Q12131,Wikipedia
taat,1362,Q9420,Wikipedia
