Text,Wiki_ID,Wikidata_ID,Source
Afreka,1377,Q15,Wikipedia
Erabek,1672,Q13955,Wikipedia
Etlantic Oshen,2239,Q97,Wikipedia
ailen,2122,Q23442,Wikipedia
Pesifik Oshen,1857,Q98,Wikipedia
Ostrielya,1905,Q408,Wikipedia
Nyuu Ziilan,2496,Q664,Wikipedia
Nyuu Kaledonya,4926,Q33788,Wikipedia
Pitkern Ailen,13,Q35672,Wikipedia
Tasman Sii,4827,Q33254,Wikipedia
riveh,4916,Q4022,Wikipedia
Maun Biets,4503,Q1361458,Wikipedia
Kingston,2384,Q30963,Wikipedia
Ban Pain,4145,Q2740764,Wikipedia
Norfuk Ailen,None,Q31057,OpenTapioca
Nyuu Ziilan,None,Q664,OpenTapioca
James Cook,4917,Q7324,Wikipedia
Philip Gidley King,4113,Q725880,Wikipedia
Adamstoen,1829,Q48273,Wikipedia
Pitkern Ailen,None,Q35672,OpenTapioca
Pitkern,None,Q35672,OpenTapioca
Adventist,None,Q104319,OpenTapioca
et's,None,Q115,OpenTapioca
Adventist,None,Q215168,OpenTapioca
Pitkerna,None,Q35672,OpenTapioca
Adventism,None,Q215168,OpenTapioca
A,None,Q48,OpenTapioca
pastor,None,Q96236305,OpenTapioca
Asya,2236,Q48,Wikipedia
saiens,1888,Q336,Wikipedia
laenghwij,2058,Q315,Wikipedia
Hiibruu,1863,Q9288,Wikipedia
Auramaik,3030,Q28602,Wikipedia
Medl Eist,4971,Q48214,Wikipedia
God,2591,Q190,Wikipedia
Norfuk,2353,Q33797,Wikipedia
Pitkern,2567,Q36554,Wikipedia
Poelish,3150,Q809,Wikipedia
Midl Urup,5011,Q27509,Wikipedia
Worsaaw,1934,Q270,Wikipedia
Norfuk Ailen,12,Q31057,Wikipedia
haan,None,Q92553521,OpenTapioca
Kam ye,None,Q874676,OpenTapioca
dan,None,Q16867873,OpenTapioca
Yunitid Kingdum,2151,Q145,Wikipedia
North Merika,2581,Q49,Wikipedia
Jua,2592,Q7325,Wikipedia
Esrail,2015,Q801,Wikipedia
London,3804,Q84,Wikipedia
Skotlund,2288,Q22,Wikipedia
Waals,3312,Q25,Wikipedia
plaant,3880,Q756,Wikipedia
Leten,4913,Q397,Wikipedia
rilijin,2590,Q9174,Wikipedia
Jesus,1979,Q302,Wikipedia
kreschen,3082,Q106039,Wikipedia
Osheania,4696,Q538,Wikipedia
Papua Nyuu Gini,2779,Q691,Wikipedia
Indien Oshen,2283,Q1239,Wikipedia
Erth,2417,Q2,Wikipedia
tiem,5121,Q11471,Wikipedia
mani,6402,Q1368,Wikipedia
Ostrielyan dola,4828,Q259502,Wikipedia
Uro,4996,Q4916,Wikipedia
Eserbeyjani manat,6364,Q483725,Wikipedia
Solamon Ailen dola,4818,Q4597,Wikipedia
Rusha,2174,Q159,Wikipedia
Shuwash,5001,Q33348,Wikipedia
Cheboksary,5002,Q5470,Wikipedia
Poeland,1824,Q36,Wikipedia
Urup,2237,Q46,Wikipedia
Sakreb,2553,Q1435,Wikipedia
Doichland,2128,Q183,Wikipedia
Jaenyuweri 17,1935,Q2264,Wikipedia
Kwiinsland,2509,Q36074,Wikipedia
Matthyu Flindaas,1968,Q219895,Wikipedia
Wiktoreya,2497,Q36687,Wikipedia
Sowth Ostrielya,2501,Q35715,Wikipedia
Tasmainya,2499,Q34366,Wikipedia
Northan Teritrii,1978,Q3235,Wikipedia
Duch,6370,Q7411,Wikipedia
Daarwin,1977,Q11568,Wikipedia
Alis Springs,5193,Q17872,Wikipedia
kreschenitii,1895,Q5043,Wikipedia
stoen,5516,Q22731,Wikipedia
italii,2163,Q38,Wikipedia
saientifik methud,2974,Q46857,Wikipedia
Aajentiina,2859,Q414,Wikipedia
Aarmanya,2104,Q399,Wikipedia
Afganistaan,2289,Q889,Wikipedia
Angola,2299,Q916,Wikipedia
Antigua a' Barbuda,4678,Q781,Wikipedia
Bahaamas,2854,Q778,Wikipedia
Bangladash,2673,Q902,Wikipedia
Barain,2705,Q398,Wikipedia
Barbados,5030,Q244,Wikipedia
Belerus,2153,Q184,Wikipedia
Beles,2638,Q242,Wikipedia
Beljum,2144,Q31,Wikipedia
