Text,Wiki_ID,Wikidata_ID,Source
Wikipedia,None,Q52,OpenTapioca
de,1142,Q573,Wikipedia
yia,1144,Q577,Wikipedia
sarere,847,Q131,Wikipedia
Rom,2206,Q220,Wikipedia
Tok Pisin,625,Q34159,Wikipedia
grama,609,Q8091,Wikipedia
Melanesia,5961,Q37394,Wikipedia
Niu Briten,2537,Q59771,Wikipedia
Niu Ailan,1693,Q838690,Wikipedia
Bogenvil,1178,Q18826,Wikipedia
Manus,1177,Q874935,Wikipedia
kaukau,2510,Q37937,Wikipedia
Saut Amerika,3042,Q18,Wikipedia
Malesia,8678,Q833,Wikipedia
Spen,1161,Q29,Wikipedia
Kokopo,5963,Q1017369,Wikipedia
Ostrelia,622,Q408,Wikipedia
Siapan,1927,Q17,Wikipedia
Oro,1713,Q753686,Wikipedia
Milen Be,1691,Q874962,Wikipedia
Michael Somare,3796,Q316264,Wikipedia
Pangu Pati,6633,Q2007531,Wikipedia
Bogenvil,None,Q18826,OpenTapioca
Giraun,None,Q2,OpenTapioca
diwai,None,Q10884,OpenTapioca
Niugini Ailan,None,Q40285,OpenTapioca
Ostrelia,None,Q3960,OpenTapioca
paus,None,Q19546,OpenTapioca
Niugini,None,Q40285,OpenTapioca
Ostrelia,None,Q408,OpenTapioca
Papua Niugini,None,Q691,OpenTapioca
kumul,4512,Q179333,Wikipedia
nesenel mak bilong Papua Niugini,3293,Q274170,Wikipedia
Pot Mosbi,1185,Q36526,Wikipedia
Lae,1686,Q612250,Wikipedia
Maun Hagen,1698,Q1017362,Wikipedia
Wewak,1680,Q1017763,Wikipedia
Goroka,1704,Q498192,Wikipedia
wol,1169,Q16502,Wikipedia
Hiri Motu,626,Q33617,Wikipedia
Sentral Provins,1716,Q874942,Wikipedia
Gulf Provins,5965,Q874980,Wikipedia
hap,None,Q97656929,OpenTapioca
Daka,None,Q1354,OpenTapioca
Tailan,5803,Q869,Wikipedia
Indonisia,1180,Q252,Wikipedia
Papua Niugini,613,Q691,Wikipedia
Solomon Ailans,623,Q685,Wikipedia
Vanuatu,1129,Q686,Wikipedia
Niu Silan,2808,Q664,Wikipedia
Scott Morrison,8963,Q7436908,Wikipedia
Tok Saina,9054,Q7850,Wikipedia
Yurop,None,Q46,OpenTapioca
Yunaitet Kingdom,3300,Q145,Wikipedia
Amerika,1137,Q26290,Wikipedia
Inglan,1153,Q21,Wikipedia
stet,1141,Q107390,Wikipedia
Niu Saut Wels,8964,Q3224,Wikipedia
Kwinslan,8965,Q36074,Wikipedia
Saut Ostrelia,8970,Q35715,Wikipedia
Viktoria,8966,Q36687,Wikipedia
Tasmenia,8968,Q34366,Wikipedia
Wes Ostrelia,8969,Q3206,Wikipedia
Kapitol Teritori bilong Ostrelia,8971,Q3258,Wikipedia
Noten Teritori,8972,Q3235,Wikipedia
pisin,8659,Q65451264,Wikipedia
ailan,1117,Q23442,Wikipedia
Osenia,1794,Q538,Wikipedia
Kapitol,1179,Q5119,Wikipedia
Ol,None,Q17637361,OpenTapioca
Namba,None,Q35765,OpenTapioca
Ethnologue,7255,Q14790,Wikipedia
gavman,2057,Q7188,Wikipedia
Solomon Ailans,None,Q685,OpenTapioca
Honiara,None,Q40921,OpenTapioca
Kapitol,None,Q54109,OpenTapioca
tokples,1182,Q315,Wikipedia
Rabaul,1708,Q218768,Wikipedia
skul,2133,Q3914,Wikipedia
PNG,None,Q691,OpenTapioca
wol,None,Q42329,OpenTapioca
Bislama,3770,Q35452,Wikipedia
Pot Mosbi,None,Q36526,OpenTapioca
Esia,1181,Q48,Wikipedia
Saudi Arabia,8254,Q851,Wikipedia
Kuwait,8248,Q817,Wikipedia
Iran,8238,Q794,Wikipedia
Bagdad,5982,Q1530,Wikipedia
1979,6139,Q2484,Wikipedia
2003,1145,Q1986,Wikipedia
2004,1146,Q2014,Wikipedia
Irak,None,Q796,OpenTapioca
1990,1147,Q2064,Wikipedia
Israel,7269,Q801,Wikipedia
baibel,2205,Q1845,Wikipedia
Jisas,None,Q302,OpenTapioca
Yerusalem,2201,Q1218,Wikipedia
Kristen,851,Q106039,Wikipedia
Sidarta,632,Q9441,Wikipedia
India,1175,Q668,Wikipedia
tok,None,Q21041735,OpenTapioca
Buddha,None,Q9441,OpenTapioca
India,None,Q668,OpenTapioca
meditesen,837,Q108458,Wikipedia
1947,1130,Q5263,Wikipedia
Gandi,None,Q1001,OpenTapioca
Saut Aprika,841,Q258,Wikipedia
Mandela,None,Q8023,OpenTapioca
Saut Aprika,None,Q258,OpenTapioca
Edukesen,833,Q8434,Wikipedia
Buda,629,Q7055,Wikipedia
budisim,838,Q748,Wikipedia
Sidarta,None,Q9441,OpenTapioca
Buda,None,Q9441,OpenTapioca
Ating,None,Q553729,OpenTapioca
papa,None,Q19546,OpenTapioca
Papa,None,Q19546,OpenTapioca
Niugini,1690,Q40285,Wikipedia
soka,6935,Q2736,Wikipedia
Me,1133,Q119,Wikipedia
1975,6135,Q2479,Wikipedia
1945,6040,Q5240,Wikipedia
Saut Koria,1799,Q884,Wikipedia
Not Koria,1801,Q423,Wikipedia
wik,603,Q23387,Wikipedia
Sande,848,Q132,Wikipedia
kam,None,Q740445,OpenTapioca
mun,604,Q1556605,Wikipedia
Nauru,2227,Q697,Wikipedia
Tuvalu,2226,Q672,Wikipedia
Yurop,1154,Q46,Wikipedia
Gris,None,Q41,OpenTapioca
Paris,2610,Q90,Wikipedia
Lyon,5958,Q456,Wikipedia
Lille,5959,Q648,Wikipedia
Amerika,None,Q49,OpenTapioca
Hinduisim,8861,Q9089,Wikipedia
Long,None,Q493033,OpenTapioca
Buda,None,Q1781,OpenTapioca
lotu,840,Q9174,Wikipedia
Igat,None,Q4197319,OpenTapioca
Meditesen,837,Q108458,Wikipedia
Lo,None,Q34442,OpenTapioca
Man,None,Q9676,OpenTapioca
mas,None,Q585956,OpenTapioca
Graun,None,Q380146,OpenTapioca
Protestan,None,Q23540,OpenTapioca
Aprika,2605,Q15,Wikipedia
ensaiklopedia,1119,Q5292,Wikipedia
Intanet,1120,Q75,Wikipedia
العربية,None,Q31945,OpenTapioca
Français,None,Q121842,OpenTapioca
Nederlands,None,Q55,OpenTapioca
آذربایجان,None,Q227,OpenTapioca
دیلی,None,Q9310,OpenTapioca
Hō,None,Q23397,OpenTapioca
Eesti,None,Q191,OpenTapioca
Filipino,None,Q928,OpenTapioca
မြန်မာဘာသာ,None,Q836,OpenTapioca
Indonesia,None,Q252,OpenTapioca
Magyar,None,Q28,OpenTapioca
Shqip,None,Q222,OpenTapioca
Suomi,None,Q33,OpenTapioca
Tatarça,None,Q12160963,OpenTapioca
اردو,None,Q483180,OpenTapioca
Acèh,None,Q1823,OpenTapioca
اچيه,None,Q1823,OpenTapioca
Bikol,None,Q13662,OpenTapioca
Zamboanga,None,Q1629,OpenTapioca
Fiji,None,Q712,OpenTapioca
फ़िजी बात,None,Q977,OpenTapioca
ગુજરાતી,None,Q1061,OpenTapioca
ইমার,None,Q857266,OpenTapioca
ঠার/বিষ্ণুপ্রিয়া,None,Q34001,OpenTapioca
মণিপুরী,None,Q1193,OpenTapioca
Jawa,None,Q3757,OpenTapioca
Mìng,None,Q9903,OpenTapioca
Монгол,None,Q711,OpenTapioca
नेपाल भाषा,None,Q3418389,OpenTapioca
नेपाली,None,Q837,OpenTapioca
ਪੰਜਾਬੀ (ਗੁਰਮੁਖੀ,None,Q3832,OpenTapioca
Саха,None,Q6605,OpenTapioca
བོད་ཡིག,None,Q17252,OpenTapioca
Basa,None,Q160091,OpenTapioca
Vèneto,None,Q1243,OpenTapioca
Yorùbá,None,Q5086,OpenTapioca
ភាសាខ្មែរ,None,Q369,OpenTapioca
සිංහල,None,Q38,OpenTapioca
Inuktitut • jysk,None,Q16210183,OpenTapioca
Lazuri • Lingít,None,Q5054973,OpenTapioca
• Lwo,None,Q7236987,OpenTapioca
• Norfuk,None,Q34020,OpenTapioca
Pitkern • ߒߞߏ,None,Q35672,OpenTapioca
къумукъ,None,Q131664,OpenTapioca
Romani • Kirundi,None,Q12725092,OpenTapioca
• Ganda,None,Q1203139,OpenTapioca
ke Lava,None,Q1296,OpenTapioca
• Setswana,None,Q5620,OpenTapioca
Hiri,None,Q298,OpenTapioca
Żż’ŻŚ’Ż£’ŻÉ’Żø,None,Q705,OpenTapioca
trinde,844,Q128,Wikipedia
fonde,845,Q129,Wikipedia
De,1142,Q573,Wikipedia
Mande,821,Q105,Wikipedia
Tunde,843,Q127,Wikipedia
Fraide,846,Q130,Wikipedia
Sarere,847,Q131,Wikipedia
Trinde,844,Q128,Wikipedia
Fonde,845,Q129,Wikipedia
Islam,853,Q432,Wikipedia
Judaisim,855,Q9268,Wikipedia
Tok Latin,1911,Q397,Wikipedia
sios,1912,Q16970,Wikipedia
Yia,1144,Q577,Wikipedia
John 3:16,None,Q2164031,OpenTapioca
dai,None,Q4036979,OpenTapioca
Jisas,628,Q302,Wikipedia
Pop,1158,Q19546,Wikipedia
Itali,1633,Q38,Wikipedia
Katolik,None,Q9592,OpenTapioca
Mi,None,Q30,OpenTapioca
Papa i,None,Q49389092,OpenTapioca
Spirit,None,Q1190598,OpenTapioca
Kristen,None,Q1634311,OpenTapioca
save,None,Q7520260,OpenTapioca
Sios,1912,Q16970,Wikipedia
Gris,832,Q41,Wikipedia
katolik,852,Q1841,Wikipedia
planet,1121,Q634,Wikipedia
1993,1122,Q2065,Wikipedia
1997,1123,Q2088,Wikipedia
1946,1127,Q18610,Wikipedia
kontinen,1139,Q5107,Wikipedia
buk,2132,Q571,Wikipedia
Wikipedia,842,Q52,Wikipedia
intanet,1120,Q75,Wikipedia
San,4461,Q525,Wikipedia
Mun,604,Q1556605,Wikipedia
Estronomi,1942,Q333,Wikipedia
2001,1125,Q1988,Wikipedia
2005,1124,Q2019,Wikipedia
George H. W. Bush,1170,Q23505,Wikipedia
ikonimikis,2059,Q8134,Wikipedia
Tok Frens,3036,Q150,Wikipedia
Pot Vila,1155,Q37806,Wikipedia
Gandi,630,Q1001,Wikipedia
44 yia i go bipo Jisas,1148,Q35261,Wikipedia
Janueri,867,Q108,Wikipedia
Mas,823,Q110,Wikipedia
Julai,1135,Q121,Wikipedia
Oktoba,1150,Q124,Wikipedia
Disemba,1151,Q126,Wikipedia
23 yia i go bipo Jisas,1149,Q40406,Wikipedia
August,None,Q1405,OpenTapioca
Not Amerika,1166,Q49,Wikipedia
Kanada,1913,Q16,Wikipedia
Meksiko,2826,Q96,Wikipedia
awa,8290,Q65451236,Wikipedia
Ogas,1136,Q122,Wikipedia
tok Latin,1911,Q397,Wikipedia
kantri,1890,Q7275,Wikipedia
Skotlan,3768,Q22,Wikipedia
Wels,3767,Q25,Wikipedia
Bikpela Briten,1796,Q23666,Wikipedia
Rasia,3024,Q159,Wikipedia
pop,1158,Q19546,Wikipedia
Siamani,1160,Q183,Wikipedia
Katolik,852,Q1841,Wikipedia
Benedict XVI,1157,Q2494,Wikipedia
Holan,8894,Q55,Wikipedia
Siaman Niugini,2630,Q165008,Wikipedia
Martin Luther,4289,Q9554,Wikipedia
Albert Einstein,1167,Q937,Wikipedia
Berlin,2619,Q64,Wikipedia
Madrid,2995,Q2807,Wikipedia
kapitol,1179,Q5119,Wikipedia
Tok Spen,2999,Q1321,Wikipedia
1940,6047,Q18633,Wikipedia
1955,6052,Q18577,Wikipedia
Giraun,1143,Q2,Wikipedia
Wol,None,Q42329,OpenTapioca
Wol,1169,Q16502,Wikipedia
Save long giraun,3198,Q1071,Wikipedia
1924,6269,Q2173,Wikipedia
1989,6038,Q2425,Wikipedia
Pakistan,8241,Q843,Wikipedia
Nepal,8240,Q837,Wikipedia
Bhutan,3783,Q917,Wikipedia
Bangladesh,8237,Q902,Wikipedia
Lorengau,1687,Q1017430,Wikipedia
Buka,4531,Q2482800,Wikipedia
Arawa,1702,Q626729,Wikipedia
1966,6063,Q2649,Wikipedia
Panguna,8353,Q17060798,Wikipedia
1988,6148,Q2426,Wikipedia
2002,2811,Q1987,Wikipedia
Esperanto,7049,Q143,Wikipedia
famili bilong tokples,1954,Q25295,Wikipedia
Nesenel Kapitol Distrik,1823,Q1378310,Wikipedia
