Sentence,ENT1,ENT2,ENT1_Qcode,ENT2_Qcode,Property
Zambia a wahn konchri ina Afrika .,Zambia,Afrika,Q953,Q15,P30
Logzimboerg a wah konchri ina Yuurop .,Logzimboerg,Yuurop,Q32,Q46,P30
Shikomor , di ofishal languij ina Komoros ah azwel spiik ina Mayot ( Shimaore ) , rilietid tuo Swayili .,Shikomor,Komoros,Q33077,Q970,P495
Cher Lloyd a waah British singa .,Cher Lloyd,singa,Q230451,Q177220,P106
Daaka a di kiapital ah bigis siti ina Banggladesh .,Daaka,Banggladesh,Q1354,Q902,P1376
Ronald Wilson Reagan ( 6 Febiweri 1911 – 5 Juun 2004 ) wehna 40 t Prezident a Yunaitid Stiet ( 1981 – 1989 ) .,Ronald Wilson Reagan,Prezident a Yunaitid Stiet,Q9960,Q11696,P39
Nyuu Ziilant a wahn konchri ina Uoshania .,Nyuu Ziilant,Uoshania,Q664,Q538,P30
Jacques Chirac ( 29 Novemba 1932 – 26 Septemba 2019 ) wehna Prezident a Frans ( 1995 – 2007 ) .,Jacques Chirac,Prezident a Frans,Q2105,Q191954,P39
Kiergi a di ofishal languij a Kiergistan .,Kiergi,Kiergistan,Q9255,Q813,P2341
Matheus Rocha da Silva ( 10 junho 1981 ) wehna Brazil singa .,Matheus Rocha da Silva,singa,Q43193060,Q177220,P106
Salduero a wahn miunisipaliti luokiet ina di pravins a Soria , Kiastiil ahn León , Spien .,Salduero,Spien,Q832188,Q29,P131
Angguola a wahn konchri ina Afrika .,Angguola,Afrika,Q916,Q15,P30
Bogota a di kiapital fi Kolombia .,Bogota,Kolombia,Q2841,Q739,P1376
Aijrojin a wah kimikal eliment wid kimikal simbal H ah atamik nomba 1 .,Aijrojin,kimikal eliment kimikal,Q556,Q11344,P31
Di Vali a di kiapital fi Anggila .,Di Vali,Anggila,Q30994,Q25228,P1376
Sout Sudan a wahn konchri ina Afrika .,Sout Sudan,Afrika,Q958,Q15,P30
Nyuukasl apan Tain a wah siti ina Ingglan , Yunaitid Kindom .,Nyuukasl,Yunaitid Kindom,Q82878,Q145,P131
