Property,e1,e2,Sentence
P106,Q241030,Q177220,[[Natalie Dessay]] a wah [[singa]] fram Frans.
P106,Q383541,Q177220,"[[Basshunter]], Jonas Erik Altberg (baan 22 Disemba 1984 a Halmstad) a wah [[singa]] an DJ fram Swiidn."
P106,Q1357035,Q177220,"[[Vybz Kartel]] (ril niem Adidjah Azim Palmer) a wah Jumiekan rappa, [[singa]] an DJ fram Portmore, Jumieka."
P106,Q72984,Q177220,[[Harris Lilis Crosby]] (1903-1977) wehna Morkan [[singa]].
P106,Q10280031,Q177220,[[Fantine Rodrigues Thó]] (15 fevereiro 1979) wehna Brazil [[singa]].
P106,Q200577,Q177220,"[[Sean Paul]] a wah Jumiekan rappa, [[singa]] an DJ fram Kinston."
P106,Q43193060,Q177220,[[Matheus Rocha da Silva]] (10 junho 1981) wehna Brazil [[singa]].
P106,Q1276,Q177220,[[Leonard Norman Cohen]] (21 September 1934 – 7 November 2016) wehna Kianadan [[singa]].
P106,Q230451,Q177220,[[Cher Lloyd]] a waah British [[singa]].
P106,Q10320248,Q177220,[[Luciana Andrade]] (18 setembro 1978) wehna Brazil [[singa]].
P106,Q78516,Q2865819,[[Anna Netrebko]] a wah [[singa]] fram Rosha.
P131,Q832009,Q55276,"[[Fuentecambrón]] a wahn miunisipaliti luokiet ina di pravins a [[Soria]], Kiastiil ahn León, Spien."
P131,Q837352,Q55276,"[[La Losilla]] a wahn miunisipaliti luokiet ina di pravins a [[Soria]], Kiastiil ahn León, Spien."
P131,Q836175,Q55276,"[[Matamala de Almazán]] a wahn miunisipaliti luokiet ina di pravins a [[Soria]], Kiastiil ahn León, Spien."
P131,Q841496,Q55276,"[[Cihuela]] a wahn miunisipaliti luokiet ina di pravins a [[Soria]], Kiastiil ahn León, Spien."
P131,Q835085,Q55276,"[[Ucero]] a wahn miunisipaliti luokiet ina di pravins a [[Soria]], Kiastiil ahn León, Spien."
P131,Q36805,Q55276,"[[Arancón]] a wahn miunisipaliti luokiet ina di Pravins a [[Soria]], Kiastiil ahn León, Spien."
P131,Q832134,Q55276,"[[Valdelagua del Cerro]] a wahn miunisipaliti luokiet ina di pravins a [[Soria]], Kiastiil ahn León, Spien."
P131,Q834027,Q55276,"[[Valderrodilla]] a wahn miunisipaliti luokiet ina di pravins a [[Soria]], Kiastiil ahn León, Spien."
P131,Q832389,Q55276,"[[Fuentearmegil]] a wahn miunisipaliti luokiet ina di pravins a [[Soria]], Kiastiil ahn León, Spien."
P131,Q829225,Q55276,"[[Adradas]] a wahn miunisipaliti luokiet ina di pravins a [[Soria]], Kiastiil ahn León, Spien."
P131,Q39856,Q55276,"[[Ágreda]] a wahn miunisipaliti luokiet ina di pravins a [[Soria]], Kiastiil ahn León, Spien."
P131,Q82878,Q145,"[[Nyuukasl]] apan Tain a wah siti ina Ingglan, [[Yunaitid Kindom]]."
P131,Q43475,Q145,"[[Daabi]] a wah siti ina Ingglan, [[Yunaitid Kindom]]."
P131,Q83065,Q145,"[[Lesta]] a wah siti ina Ingglan, [[Yunaitid Kindom]]."
P131,Q302875,Q29,"[[Vadillo]] a wahn miunisipaliti luokiet ina di pravins a Soria, Kiastiil ahn León, [[Spien]]."
P131,Q832188,Q29,"[[Salduero]] a wahn miunisipaliti luokiet ina di pravins a Soria, Kiastiil ahn León, [[Spien]]."
P131,Q835700,Q55276,"[[Cirujales del Río]] a wahn miunisipaliti luokiet ina di pravins a [[Soria]], Kiastiil ahn León, Spien."
P1376,Q1354,Q902,[[Daaka]] a di kiapital ah bigis siti ina [[Banggladesh]].
P1376,Q2841,Q739,[[Bogota]] a di kiapital fi [[Kolombia]].
P1376,Q64,Q183,[[Boerlin]] a di kiapital a [[Joermani]].
P1376,Q2844,Q155,[[Brazilia]] a di kiapital fi [[Brazil]].
P1376,Q84,Q21,[[Landan]] a di kiapital fi [[Ingglan]] an di Yunaitid Kindom.
P1376,Q597,Q45,[[Lizban]] a di kiapital fi [[Puotigal]].
P1376,Q1489,Q96,[[Mexiko Siti]] a di kyapital fi [[Mexiko]].
P1376,Q30994,Q25228,[[Di Vali]] a di kiapital fi [[Anggila]].
P1376,Q1524,Q41,[[Atenz]] a di kyapital fi [[Griis]].
P1376,Q649,Q159,[[Masko]] a di kyapital fi [[Rosha]].
P1376,Q220,Q38,[[Ruom]] a di kyapital fi [[Itali]].
P1376,Q239,Q31,[[Broslz]] a di kiapital fi [[Beljiom]].
P1376,Q472,Q219,[[Sofiya]] a di kiapital fi [[Bulgieria]].
P1376,Q1848,Q238,[[San Mariino Siti]] a di kiapital ah bigis siti ina [[San Mariino]].
P1376,Q956,Q148,[[Biejing]] a di kiapital fi di [[Piiplz Ripoblik a Chaina]].
P17,Q9255,Q813,[[Kiergi]] a di ofishal languij a [[Kiergistan]].
P17,Q1715,Q183,[[Anuova]] (Joerman pronongxieshan: [haˈnoːfɐ]) a wah siti ina [[Joermani]].
P2341,Q9255,Q813,[[Kiergi]] a di ofishal languij a [[Kiergistan]].
P2936,Q90,Q150,"Ikiapital a [[Paris]], ah di ofishal languij a [[French]]."
P2936,Q1867,Q9192,"Di kiapital a [[Taipei]], ah di ofishal languij a [[Mandarin]]."
P2936,Q649,Q7737,"Di kiapital a [[Masko]], ah di ofishal languij a [[Roshan]]."
P30,Q902,Q48,[[Banggladesh]] a wah savrin konchri a [[Ieja]].
P30,Q837,Q48,[[Nepal]] a wah savrin konchri a [[Ieja]].
P30,Q424,Q48,[[Kambodja]] a wah savrin konchri a [[Ieja]].
P30,Q817,Q48,[[Kuwiet]] a wah savrin konchri a [[Ieja]].
P30,Q695,Q538,[[Palau]] a wahn konchri ina [[Uoshania]].
