ENT1	ENT2	Properties
Q4700194	Q82955	['P106']
Q6400911	Q82955	['P106']
Q65285887	Q82955	['P106']
Q106680634	Q82955	['P106']
Q94997724	Q82955	['P106']
Q16364518	Q82955	['P106']
Q106681881	Q82955	['P106']
Q969642	Q82955	['P106']
Q2428520	Q82955	['P106']
Q660038	Q82955	['P106']
Q105278311	Q82955	['P106']
Q106680689	Q82955	['P106']
Q3348186	Q82955	['P106']
Q103864117	Q82955	['P106']
Q106680628	Q82955	['P106']
Q61136219	Q82955	['P106']
Q105080892	Q82955	['P106']
Q104776858	Q82955	['P106']
Q12870563	Q82955	['P106']
Q31355070	Q82955	['P106']
Q12863569	Q82955	['P106']
Q106528743	Q82955	['P106']
Q467000	Q82955	nan
Q673705	Q82955	['P106']
Q30172635	Q82955	['P106']
Q801	Q48	['P30']
Q31	Q46	['P30', 'P361']
Q822	Q48	['P30']
Q921	Q48	['P30']
Q902	Q48	['P30']
Q241	Q30	['P47']
Q854	Q48	['P30']
Q691	Q104621096	nan
Q334	Q48	['P30']
Q16707481	Q177220	['P106']
Q151892	Q177220	nan
Q2639866	Q177220	['P106']
Q78516	Q177220	nan
Q447343	Q177220	['P106']
Q29564107	Q177220	['P106']
Q157372	Q177220	['P106']
Q43189	Q177220	['P106']
Q18710983	Q177220	['P106']
Q4978828	Q177220	['P106']
Q468367	Q177220	['P106']
Q22928445	Q177220	['P106']
Q4293297	Q177220	['P106']
Q16185856	Q177220	['P106']
Q6522077	Q177220	['P106']
Q230451	Q177220	['P106']
Q12864919	Q177220	nan
Q293590	Q177220	['P106']
Q41173	Q177220	['P106']
Q463925	Q177220	['P106']
Q463930	Q177220	nan
Q6022566	Q298	['P17']
Q43387	Q43	['P17']
Q1718	Q183	['P17']
Q3873	Q298	['P17']
Q72	Q39	['P17']
Q172	Q16	['P17']
Q15499	Q414	nan
Q803	Q1624256	nan
Q16911	Q298	['P17']
Q244005	Q38	['P17']
Q40486	Q414	nan
Q35135	Q155	['P17']
Q1158517	Q414	nan
Q34370	Q1624256	nan
Q44758	Q414	['P17', 'P131']
Q933165	Q414	['P17']
Q12652053	Q414	nan
Q37506428	Q717	nan
Q220	Q38	['P17', 'P1376']
Q3711	Q403	['P17', 'P1376']
Q956	Q148	['P17', 'P131', 'P1376']
Q226	Q223	['P17', 'P1376']
Q1930	Q16	['P17', 'P1376']
Q727	Q1624256	nan
Q597	Q45	['P17', 'P1376']
Q994	Q230	['P17', 'P131', 'P1376']
Q64	Q183	['P17', 'P131', 'P1376']
Q1492	Q5705	['P1376']
Q90	Q142	['P17', 'P1376']
Q972594	Q28	['P17']
Q1094990	Q28	['P17']
Q1084388	Q28	['P17']
Q240322	Q28	['P17']
Q390971	Q28	['P17']
Q258522	Q28	['P17']
Q1084395	Q28	['P17']
Q523090	Q28	['P17']
Q1094998	Q28	['P17']
Q339890	Q28	['P17']
Q587260	Q28	['P17']
Q1084360	Q28	['P17']
Q1084400	Q28	['P17']
Q1095342	Q28	['P17']
Q946252	Q28	['P17']
Q484981	Q29	['P17']
