ENT1	ENT2	Properties
Q1424396	Q3314483	nan
Q13179	Q3314483	nan
Q14959	Q3314483	nan
Q477179	Q3314483	nan
Q13189	Q3314483	nan
Q578307	Q3314483	nan
Q190024	Q3314483	['P279']
Q279728	Q3314483	nan
Q13158	Q3314483	nan
Q34007	Q3314483	nan
Q89	Q3314483	['P279']
Q13188	Q3314483	nan
Q472653	Q3314483	nan
Q34887	Q3314483	nan
Q271179	Q3314483	nan
Q25222	Q5113	['P279']
Q256046	Q5113	nan
Q732487	Q5113	nan
Q43794	Q5113	nan
Q25393	Q5113	nan
Q16529344	Q5113	nan
Q10856	Q5113	nan
Q6072584	Q5113	nan
Q39861	Q5113	nan
Q846664	Q5113	nan
Q171953	Q5113	nan
Q41994	Q5113	nan
Q31431	Q5113	nan
Q43365	Q5113	nan
Q30153	Q152	nan
Q2258881	Q152	nan
Q273083	Q152	nan
Q209907	Q152	nan
Q7372	Q152	['P279']
Q2428509	Q152	nan
Q5141254	Q152	nan
Q237046	Q152	nan
Q62603	Q729	nan
Q2535664	Q729	nan
Q34706	Q729	nan
Q7368	Q729	nan
Q4767951	Q729	nan
Q1517781	Q729	nan
Q223044	Q729	nan
Q34505	Q729	nan
Q47253	Q729	nan
Q15879	Q729	nan
Q36396	Q729	nan
Q140	Q729	nan
Q19939	Q729	nan
Q916760	Q729	nan
Q42569	Q729	['P1889']
Q53636	Q729	nan
Q18498	Q729	nan
Q11788	Q729	nan
Q34718	Q729	nan
Q8331	Q729	nan
Q40802	Q729	nan
Q1038113	Q729	nan
Q6481228	Q1390	nan
Q9458574	Q1390	nan
Q546583	Q1390	nan
Q25375	Q1390	nan
Q25312	Q1390	nan
Q25420	Q1390	nan
Q81825	Q1390	nan
Q11946202	Q1390	nan
Q130778	Q1390	nan
Q83902	Q1390	nan
Q7386	Q1390	nan
Q1489	Q96	['P17', 'P131', 'P1376']
Q3870	Q114	['P17', 'P1376']
Q3894	Q1036	['P17', 'P1376']
Q1335	Q77	['P17', 'P1376']
Q2467	Q778	['P17', 'P1376']
Q2933	Q733	['P17', 'P1376']
Q3859	Q1037	['P17', 'P1376']
Q21197	Q217	['P17', 'P1376']
Q3897	Q916	['P17', 'P1376']
Q1362	Q843	['P17', 'P1376']
Q766	Q34692	['P36']
Q1207	Q37066	['P36']
Q159	Q649	['P36', 'P150']
Q34754	Q168652	['P36']
Q19844260	Q33999	['P106']
Q3875031	Q33999	['P106']
Q984426	Q33999	['P106']
Q65322568	Q33999	['P106']
Q31721222	Q33999	['P106']
Q3163659	Q33999	['P106']
Q5996446	Q33999	['P106']
Q12892187	Q33999	nan
Q61107576	Q33999	['P106']
Q65321750	Q33999	nan
Q422581	Q33999	['P106']
Q65322204	Q33999	nan
Q2796766	Q152	['P279']
Q597	Q45	['P17', 'P1376']
