Property,e1,e2,Sentence,Properties,TripleInWD
P31,Q1424396,Q3314483,[[Siwèl]] se yon [[fwi]].,,False
P31,Q13179,Q3314483,[[Franbwaz]] se yon [[fwi]].,,False
P31,Q14959,Q3314483,[[Sapoti]] se yon [[fwi]].,,False
P31,Q477179,Q3314483,[[Kantaloup]] se yon [[fwi]].,,False
P31,Q80235,Q3314483,[[Tamaren]] se yon [[fwi]].,,False
P31,Q13189,Q3314483,[[Pèch]] se yon [[fwi]].,,False
P31,Q578307,Q3314483,[[Nwazèt]] se yon [[fwi]].,,False
P31,Q190024,Q3314483,[[Mandarin]] se yon [[fwi]].,['P279'],False
P31,Q279728,Q3314483,[[Kenèp]] se yon [[fwi]].,,False
P31,Q13158,Q3314483,[[Frèz]] se yon [[fwi]].,,False
P31,Q34007,Q3314483,[[Kajou]] se yon [[fwi]].,,False
P31,Q89,Q3314483,[[Pòm]] se yon [[fwi]].,['P279'],False
P31,Q13188,Q3314483,[[Grenadin]] se yon [[fwi]].,,False
P31,Q472653,Q3314483,[[Kachiman]] se yon [[fwi]].,,False
P31,Q34887,Q3314483,[[Papay]] se yon [[fwi]].,,False
P31,Q271179,Q3314483,[[Zanmann]] se yon [[fwi]].,,False
P31,Q25222,Q5113,[[Koukou]] se yon [[zwazo]].,['P279'],False
P31,Q256046,Q5113,[[Boustabak]] se yon [[zwazo]].,,False
P31,Q732487,Q5113,[[Pèdri]] se yon [[zwazo]].,,False
P31,Q43794,Q5113,[[Kodenn]] se yon [[zwazo]].,,False
P31,Q25393,Q5113,[[Rosinyòl]] se yon [[zwazo]].,,False
P31,Q16529344,Q5113,[[Zwa]] se yon [[zwazo]].,,False
P31,Q10856,Q5113,[[Pijon]] se yon [[zwazo]].,,False
P31,Q6072584,Q5113,[[Kay]] se yon [[zwazo]].,,False
P31,Q39861,Q5113,[[Iwondèl]] se yon [[zwazo]].,,False
P31,Q846664,Q5113,[[Malfini]] se yon [[zwazo]].,,False
P31,Q171953,Q5113,[[Pentad]] se yon [[zwazo]].,,False
P31,Q41994,Q5113,[[Flaman]] se yon [[zwazo]].,,False
P31,Q31431,Q5113,[[Jako]] se yon [[zwazo]].,,False
P31,Q43365,Q5113,[[Kònèy]] se yon [[zwazo]].,,False
