Sentence,ENT1,ENT2,ENT1_Qcode,ENT2_Qcode,Property,Pred_Property,Prediction
Natalie Dessay a wah singa fram Frans .,Natalie Dessay,singa,Q241030,Q177220,P106,P37,FALSE
"Basshunter , Jonas Erik Altberg ( baan 22 Disemba 1984 a Halmstad ) a wah singa an DJ fram Swiidn .",Basshunter,singa,Q383541,Q177220,P106,P2341,FALSE
"Vybz Kartel ( ril niem Adidjah Azim Palmer ) a wah Jumiekan rappa , singa an DJ fram Portmore , Jumieka .",Vybz Kartel,singa,Q1357035,Q177220,P106,P495,FALSE
Harris Lilis Crosby ( 1903 - 1977 ) wehna Morkan singa .,Harris Lilis Crosby,singa,Q72984,Q177220,P106,P106,TRUE
Fantine Rodrigues Thó ( 15 fevereiro 1979 ) wehna Brazil singa .,Fantine Rodrigues Thó,singa,Q10280031,Q177220,P106,P2341,FALSE
"Sean Paul a wah Jumiekan rappa , singa an DJ fram Kinston .",Sean Paul,singa,Q200577,Q177220,P106,P106,TRUE
Matheus Rocha da Silva ( 10 junho 1981 ) wehna Brazil singa .,Matheus Rocha da Silva,singa,Q43193060,Q177220,P106,P2341,FALSE
Leonard Norman Cohen ( 21 September 1934 – 7 November 2016 ) wehna Kianadan singa .,Leonard Norman Cohen,singa,Q1276,Q177220,P106,P106,TRUE
Cher Lloyd a waah British singa .,Cher Lloyd,singa,Q230451,Q177220,P106,P106,TRUE
Luciana Andrade ( 18 setembro 1978 ) wehna Brazil singa .,Luciana Andrade,singa,Q10320248,Q177220,P106,P2341,FALSE
Anna Netrebko a wah singa fram Rosha .,Anna Netrebko,singa,Q78516,Q2865819,P106,P2936,FALSE
"Fuentecambrón a wahn miunisipaliti luokiet ina di pravins a Soria , Kiastiil ahn León , Spien .",Fuentecambrón,Soria,Q832009,Q55276,P131,P36,FALSE
"La Losilla a wahn miunisipaliti luokiet ina di pravins a Soria , Kiastiil ahn León , Spien .",La Losilla,Soria,Q837352,Q55276,P131,P495,FALSE
"Matamala de Almazán a wahn miunisipaliti luokiet ina di pravins a Soria , Kiastiil ahn León , Spien .",Matamala de Almazán,Soria,Q836175,Q55276,P131,P2936,FALSE
"Cihuela a wahn miunisipaliti luokiet ina di pravins a Soria , Kiastiil ahn León , Spien .",Cihuela,Soria,Q841496,Q55276,P131,P36,FALSE
"Ucero a wahn miunisipaliti luokiet ina di pravins a Soria , Kiastiil ahn León , Spien .",Ucero,Soria,Q835085,Q55276,P131,P36,FALSE
"Arancón a wahn miunisipaliti luokiet ina di Pravins a Soria , Kiastiil ahn León , Spien .",Arancón,Soria,Q36805,Q55276,P131,P36,FALSE
"Valdelagua del Cerro a wahn miunisipaliti luokiet ina di pravins a Soria , Kiastiil ahn León , Spien .",Valdelagua del Cerro,Soria,Q832134,Q55276,P131,P36,FALSE
"Valderrodilla a wahn miunisipaliti luokiet ina di pravins a Soria , Kiastiil ahn León , Spien .",Valderrodilla,Soria,Q834027,Q55276,P131,P36,FALSE
"Fuentearmegil a wahn miunisipaliti luokiet ina di pravins a Soria , Kiastiil ahn León , Spien .",Fuentearmegil,Soria,Q832389,Q55276,P131,P36,FALSE
"Adradas a wahn miunisipaliti luokiet ina di pravins a Soria , Kiastiil ahn León , Spien .",Adradas,Soria,Q829225,Q55276,P131,P36,FALSE
"Ágreda a wahn miunisipaliti luokiet ina di pravins a Soria , Kiastiil ahn León , Spien .",Ágreda,Soria,Q39856,Q55276,P131,P36,FALSE
"Nyuukasl apan Tain a wah siti ina Ingglan , Yunaitid Kindom .",Nyuukasl,Yunaitid Kindom,Q82878,Q145,P131,P39,FALSE
"Daabi a wah siti ina Ingglan , Yunaitid Kindom .",Daabi,Yunaitid Kindom,Q43475,Q145,P131,P39,FALSE
"Lesta a wah siti ina Ingglan , Yunaitid Kindom .",Lesta,Yunaitid Kindom,Q83065,Q145,P131,P2936,FALSE
"Vadillo a wahn miunisipaliti luokiet ina di pravins a Soria , Kiastiil ahn León , Spien .",Vadillo,Spien,Q302875,Q29,P131,P36,FALSE
"Salduero a wahn miunisipaliti luokiet ina di pravins a Soria , Kiastiil ahn León , Spien .",Salduero,Spien,Q832188,Q29,P131,P36,FALSE
"Cirujales del Río a wahn miunisipaliti luokiet ina di pravins a Soria , Kiastiil ahn León , Spien .",Cirujales del Río,Soria,Q835700,Q55276,P131,P1376,FALSE
Daaka a di kiapital ah bigis siti ina Banggladesh .,Daaka,Banggladesh,Q1354,Q902,P1376,P31,FALSE
Bogota a di kiapital fi Kolombia .,Bogota,Kolombia,Q2841,Q739,P1376,P131,FALSE
Boerlin a di kiapital a Joermani .,Boerlin,Joermani,Q64,Q183,P1376,P31,FALSE
Brazilia a di kiapital fi Brazil .,Brazilia,Brazil,Q2844,Q155,P1376,P495,FALSE
Landan a di kiapital fi Ingglan an di Yunaitid Kindom .,Landan,Ingglan,Q84,Q21,P1376,P2936,FALSE
Lizban a di kiapital fi Puotigal .,Lizban,Puotigal,Q597,Q45,P1376,P31,FALSE
Mexiko Siti a di kyapital fi Mexiko .,Mexiko Siti,Mexiko,Q1489,Q96,P1376,P36,FALSE
Di Vali a di kiapital fi Anggila .,Di Vali,Anggila,Q30994,Q25228,P1376,P31,FALSE
Atenz a di kyapital fi Griis .,Atenz,Griis,Q1524,Q41,P1376,P2936,FALSE
Masko a di kyapital fi Rosha .,Masko,Rosha,Q649,Q159,P1376,P31,FALSE
Ruom a di kyapital fi Itali .,Ruom,Itali,Q220,Q38,P1376,P495,FALSE
Broslz a di kiapital fi Beljiom .,Broslz,Beljiom,Q239,Q31,P1376,P31,FALSE
Sofiya a di kiapital fi Bulgieria .,Sofiya,Bulgieria,Q472,Q219,P1376,P31,FALSE
San Mariino Siti a di kiapital ah bigis siti ina San Mariino .,San Mariino Siti,San Mariino,Q1848,Q238,P1376,P131,FALSE
Biejing a di kiapital fi di Piiplz Ripoblik a Chaina .,Biejing,a Piiplz Ripoblik a Chaina,Q956,Q148,P1376,P31,FALSE
Kiergi a di ofishal languij a Kiergistan .,Kiergi,Kiergistan,Q9255,Q813,P17,P17,TRUE
Anuova ( Joerman pronongxieshan : [ haˈnoːfɐ ] ) a wah siti ina Joermani .,Anuova,Joermani,Q1715,Q183,P17,P37,FALSE
Kiergi a di ofishal languij a Kiergistan .,Kiergi,Kiergistan,Q9255,Q813,P2341,P17,FALSE
"Ikiapital a Paris , ah di ofishal languij a French .",Paris,French,Q90,Q150,P2936,P37,FALSE
"Di kiapital a Taipei , ah di ofishal languij a Mandarin .",Taipei,Mandarin,Q1867,Q9192,P2936,P37,FALSE
"Di kiapital a Masko , ah di ofishal languij a Roshan .",Masko,Roshan,Q649,Q7737,P2936,P31,FALSE
Banggladesh a wah savrin konchri a Ieja .,Banggladesh,Ieja,Q902,Q48,P30,P39,FALSE
Nepal a wah savrin konchri a Ieja .,Nepal,Ieja,Q837,Q48,P30,P37,FALSE
Kambodja a wah savrin konchri a Ieja .,Kambodja,Ieja,Q424,Q48,P30,P39,FALSE
Kuwiet a wah savrin konchri a Ieja .,Kuwiet,Ieja,Q817,Q48,P30,P39,FALSE
Palau a wahn konchri ina Uoshania .,Palau,Uoshania,Q695,Q538,P30,P17,FALSE
Nyuu Ziilant a wahn konchri ina Uoshania .,Nyuu Ziilant,Uoshania,Q664,Q538,P30,P31,FALSE
Swiidn a wah Naadik konchri ina Nadan Yuurop .,Swiidn,Yuurop,Q34,Q46,P30,P39,FALSE
Kenia a wahn konchri ina Afrika .,Kenia,Afrika,Q114,Q15,P30,P30,TRUE
Fiiji a wahn konchri ina Uoshania .,Fiiji,Uoshania,Q712,Q538,P30,P31,FALSE
Madagiaska a wahn konchri ina Afrika .,Madagiaska,Afrika,Q1019,Q15,P30,P30,TRUE
