Property,e1,e2,Sentence,Properties,TripleInWD
P1376,Q216,Q37,[[Vilnius]] i kapital blong [[Litwania]].,"['P17', 'P1376']",True
P1376,Q16556,Q816,[[Phoenix]] hem i kapital blong [[Arizona]].,['P1376'],True
P1376,Q64,Q183,"[[Berlin]], hem i kapitol blong [[Jemani]].","['P17', 'P131', 'P1376']",True
P1376,Q36526,Q691,[[Port Moresby]] hem i kapital blong [[Papua Niugini]].,"['P17', 'P131', 'P1376']",True
P1376,Q1861,Q869,[[Bangkok]] hem i kapital blong [[Taelan]].,"['P17', 'P131', 'P1376']",True
P1376,Q1085,Q213,[[Prague]] hem i kapital blong [[Jek Ripablik]].,"['P17', 'P131', 'P1376']",True
P1376,Q28249,Q759,[[Concord]] hem i kapital blong [[Niu Hampshire]].,,False
P1376,Q28515,Q1204,[[Springfield]] hem i kapital blong [[Illinois]].,['P1376'],True
P1376,Q1070178,Q576417,[[Isangel]] hem i kapital blong [[Tafea]].,['P1376'],True
P1376,Q956,Q148,[[Beijing]] hem i kapital blong [[Jaena]].,"['P17', 'P131', 'P1376']",True
P1376,Q1980393,Q836649,[[Saratamata]] hem i kapital blong [[Penama]].,,False
P1376,Q90,Q142,[[Paris]] hem i kapital blong [[Franis]].,"['P17', 'P1376']",True
P1376,Q25330,Q1408,[[Trenton]] hem i kapital blong [[Niu Yersey]].,['P1376'],True
P1376,Q1741,Q40,[[Vienna]] hem i kapital blong [[Ostria]].,"['P17', 'P131', 'P1376']",True
P1376,Q2807,Q29,[[Madrid]] i kapital blong [[Spen]].,"['P17', 'P1376']",True
P1376,Q8684,Q884,[[Seoul]] i kapital blong [[saot Koria]].,"['P17', 'P131', 'P1376']",True
P1376,Q30340,Q43684,"[[Zhengzhou]] hem i kapital blong [[Henan]], Jaena.","['P131', 'P1376']",True
P1376,Q40747,Q1211,[[Pierre]] hem i kapital blong [[Saut Dakota]].,['P1376'],True
P131,Q576417,Q686,[[Tafea]] i provens blong [[Vanuatu]].,"['P17', 'P131']",True
P131,Q740656,Q686,[[Malampa]] i provens blong [[Vanuatu]].,"['P17', 'P131']",True
P131,Q740640,Q686,[[Sanma]] hem i provens blong [[Vanuatu]].,"['P17', 'P131']",True
P131,Q836649,Q686,[[Penama]] i provens blong [[Vanuatu]].,"['P17', 'P131']",True
P131,Q822514,Q686,[[Torba]] i provens blong [[Vanuatu]].,"['P17', 'P131']",True
P131,Q650617,Q686,[[Shefa]] i provens blong [[Vanuatu]].,"['P17', 'P131']",True
P131,Q41278,Q884,[[Ulsan]] i bigtaon blong [[saot Koria]].,"['P17', 'P131']",True
P131,Q20921,Q884,[[Daejeon]] i bigtaon blong [[Saot Koria]].,"['P17', 'P131']",True
P131,Q20929,Q884,[[Sejong]] i bigtaon blong [[saot Koria]].,"['P17', 'P131']",True
P131,Q20934,Q884,[[Incheon]] i bigtaon blong [[Saot Koria]].,"['P17', 'P131']",True
P131,Q16520,Q884,[[Busan]] i bigtaon blong [[saot Koria]].,['P17'],False
P131,Q41283,Q884,[[Gwangju]] i bigtaon blong [[saot Koria]].,"['P17', 'P131']",True
P131,Q1799,Q36,[[Wrocław]] i wan bigtaon long [[Polan]].,['P17'],False
P131,Q167744,Q36,[[Gryfice]] i wan taon long [[Polan]].,['P17'],False
P131,Q196163,Q36,[[Łobez]] i wan taon long [[Polan]].,['P17'],False
P131,Q2386011,Q36,[[Bochotnica]] i wan smol taon long [[Polan]].,['P17'],False
P131,Q15220504,Q38,[[Coreca]] i taon long saot blong [[Itali]].,['P17'],False
P131,Q573239,Q183,[[Markdorf]] i taon long saot blong [[Jemani]].,['P17'],False
P131,Q103011,Q41,[[Korin]] i stap taon blong [[Gris]].,['P17'],False
P131,Q369954,Q142,[[Bry-sur-Marne]] stap taon blong [[Franis]].,['P17'],False
P30,Q1037,Q15,[[Rwanda]] i kaontri long [[Afrika]].,['P30'],True
P30,Q230,Q48,[[Jojia]] i kaontri long [[Esia]].,['P30'],True
P30,Q711,Q48,[[Mongolia]] i kaontri long [[Esia]].,['P30'],True
P30,Q902,Q48,[[Banglades]] i kaontri long [[Esia]].,['P30'],True
P30,Q1005,Q15,[[Gambia]] i kaontri long [[Afrika]].,['P30'],True
P30,Q963,Q15,[[Botsuana]] em i wan kaontri long [[Afrika]].,['P30'],True
P30,Q712,Q538,[[Fiji]] hem i wan kaontri long [[Pasifik]].,['P30'],True
P30,Q822,Q48,[[Lebanon]] i kaontri long [[Esia]].,['P30'],True
P30,Q928,Q48,[[Filipin]] i kaontri long [[Esia]].,['P30'],True
P30,Q183,Q46,[[Jemani]] i kaontri long [[Yurop]].,['P30'],True
P30,Q39,Q46,[[Swiselan]] i kaontri long [[Yurop]].,['P30'],True
P30,Q837,Q48,[[Nepal]] i kaontri long [[Esia]].,['P30'],True
P30,Q965,Q15,[[Bukina]] Faso i kaontri long [[Afrika]].,['P30'],True
P30,Q805,Q48,[[Yemen]] i kaontri long [[Esia]].,['P30'],True
P30,Q1030,Q15,[[Namibia]] i kaontri long [[Afrika]].,['P30'],True
P30,Q16,Q49,[[Kanada]] i wan kaontri blong [[Not Amerika]].,"['P30', 'P361']",True
P30,Q672,Q538,[[Tuvalu]] i kaontri long [[Pasifik]].,['P30'],True
P30,Q685,Q538,[[Solomon Aelan]] i kaontri long [[Pasifik]].,['P30'],True
P30,Q702,Q538,[[Mikronesia]] hem i wan kaontri long [[Pasifik]].,['P30'],True
P495,Q49724,Q30,"[[Hoobastank]], hem i miusik grup blong [[Yunaeted Stet blong Amerika]].",['P495'],True
P495,Q20672,Q408,"[[Pendulum]], hem i miusik grup blong [[Ostrelia]].",['P495'],True
P495,Q329178,Q142,"[[Justice]], hem i miusik grup blong [[Franis]].",['P495'],True
P6,Q315584,Q17,[[Takeo Fukuda]] (14 Januware 1905 – 5 Julae 1995) i praem minista blong [[Japan]].,['P27'],False
P6,Q315555,Q17,[[Morihiro Hosokawa]] (boen 14 Januware 1938) i praem minista blong [[Japan]].,['P27'],False
P6,Q233499,Q17,[[Yoshirō Mori]] (boen 14 Julae 1937) i praem minista blong [[Japan]].,['P27'],False
P6,Q57647,Q17,[[Yoshihiko Noda]] (boen 20 Mei 1957) i praem minista blong [[Japan]].,['P27'],False
P6,Q315725,Q17,[[Hitoshi Ashida]] (15 Novemba 1887 – 20 Jun 1959) i praem minista blong [[Japan]].,['P27'],False
P6,Q317675,Q17,[[Takeo Miki]] (17 Maj 1907 – 14 Novemba 1988) i praem minista blong [[Japan]].,['P27'],False
P6,Q130852,Q17,[[Junichiro Koizumi]] (boen 8 Januware 1942) i praem minista blong [[Japan]].,['P27'],False
P6,Q309374,Q17,[[Ryutaro Hashimoto]] (29 Julae 1937 – 1 Julae 2006) i praem minista blong [[Japan]].,['P27'],False
P6,Q132596,Q17,[[Tarō Asō]] (boen 20 Septemba 1940) i praem minista blong [[Japan]].,['P27'],False
P6,Q315572,Q17,[[Nobusuke Kishi]] (13 Nov 1896 – 7 Ogis 1987) i praem minista blong [[Japan]].,['P27'],False
P106,Q17219387,Q82955,[[Jirō Hatoyama]] (boen 1979) i [[politikis]] blong Japan.,['P106'],True
