Property,e1,e2,Sentence,Properties,TripleInWD
P106,Q4700194,Q82955,[[Akaki Minashvili]] es un georgiano [[politico]].,['P106'],True
P106,Q6400911,Q82955,[[Khatia Dekanoidze]] es un georgiano [[politico]].,['P106'],True
P106,Q65285887,Q82955,[[Isko Daseni]] es un georgiano [[politico]].,['P106'],True
P106,Q106680634,Q82955,[[Ana Buchukuri]] es un georgiano [[politico]].,['P106'],True
P106,Q94997724,Q82955,[[Irakli Beraia]] es un georgiano [[politico]].,['P106'],True
P106,Q16364518,Q82955,[[Akaki Bobokhidze]] es un georgiano [[politico]].,['P106'],True
P106,Q106681881,Q82955,[[Giorgi Godabrelidze]] es un georgiano [[politico]].,['P106'],True
P106,Q969642,Q82955,[[Giorgi (Gigi) Ugulava]] es un georgiano [[politico]].,['P106'],True
P106,Q2428520,Q82955,[[Vera Kobalia]] es un georgiano [[politico]].,['P106'],True
P106,Q660038,Q82955,[[Levan Varshalomidze]] es un georgiano [[politico]].,['P106'],True
P106,Q105278311,Q82955,[[Tariel Nakaidze]] es un georgiano [[politico]].,['P106'],True
P106,Q106680689,Q82955,[[Irakli Zarkua]] es un georgiano [[politico]].,['P106'],True
P106,Q3348186,Q82955,[[Erineo Maliksi]] (1938—2021) umuna a [[politico]] de las Filipinas.,['P106'],True
P106,Q103864117,Q82955,[[Mariam Kvrivishvili]] es un georgiano [[politico]].,['P106'],True
P106,Q106680628,Q82955,[[Zaza Lominadze]] es un georgiano [[politico]].,['P106'],True
P106,Q61136219,Q82955,[[Aleko Elisashvili]] es un georgiano [[politico]].,['P106'],True
P106,Q105080892,Q82955,[[Levan Khabeishvili]] es un georgiano [[politico]].,['P106'],True
P106,Q104776858,Q82955,[[Nona Mamulashvili]] es un georgiano [[politico]].,['P106'],True
P106,Q12870563,Q82955,[[Shalva Shavgulidze]] es un georgiano [[politico]].,['P106'],True
P106,Q31355070,Q82955,[[Kakha Kuchava]] es un georgiano [[politico]].,['P106'],True
P106,Q12863569,Q82955,[[Davit Kirkitadze]] es un georgiano [[politico]].,['P106'],True
P106,Q106528743,Q82955,[[Shalva Papuashvili]] es un georgiano [[politico]].,['P106'],True
P106,Q467000,Q82955,[[Sandra Roelofs]] es un [[politico]].,,False
P106,Q673705,Q82955,[[Davit Bakradze]] es un georgiano [[politico]].,['P106'],True
P106,Q30172635,Q82955,[[Elene Khoshtaria]] es un georgiano [[politico]].,['P106'],True
P30,Q801,Q48,[[Israel]] es un pais na [[Asia]].,['P30'],True
