Property,e1,e2,Sentence,Properties,TripleInWD
P36,Q423,Q18808,Kapitol bilong [[Not Korea]] emi [[Pyongyang]].,"['P36', 'P150']",True
P36,Q214,Q1780,Kapitol bilong [[Slovakia]] i [[Bratislava]].,['P36'],True
P36,Q189,Q1764,Kapitol bilong [[Aislan]] em i [[Reykjavik]].,['P36'],True
P36,Q40,Q1741,Kapitol bilong [[Ostria]] ol i kolim [[Vienna]].,"['P36', 'P150']",True
P36,Q32,Q1842,Kapitol bilong [[Laksembog]] emi [[Luxembourg]].,"['P36', 'P138', 'P1889']",True
P36,Q28,Q1781,Kapitol bilong [[Hangari]] ol i kolim [[Budapest]].,"['P36', 'P150']",True
P36,Q1044,Q3780,Kapitol bilong [[Sierra Leone]] i [[Freetown]].,['P36'],True
P1376,Q1781,Q28,[[Budapest]] em i kapitol bilong [[Hangari]].,"['P17', 'P131', 'P1376']",True
P1376,Q1530,Q796,[[Bagdad]] em i kapitol bilong [[Irak]].,"['P17', 'P1376']",True
P1376,Q19660,Q218,[[Busares]] i kapitol bilong [[Romenia]].,"['P17', 'P131', 'P1376']",True
P1376,Q585,Q20,[[Oslo]] i kapitol bilong [[Nowe]].,"['P17', 'P1376']",True
P1376,Q1780,Q214,[[Bratislava]] em i kapitol bilong kantri [[Slovakia]].,"['P17', 'P1376']",True
P1376,Q1754,Q34,[[Stockholm]] i kapitol bilong [[Suwidan]].,"['P17', 'P1376']",True
P1376,Q649,Q159,[[Mosko]] o Moskva em i kapitol bilong [[Rasia]].,"['P17', 'P131', 'P1376']",True
P1376,Q2807,Q29,[[Madrid]] i kapitol bilong [[Spen]].,"['P17', 'P1376']",True
P1376,Q1770,Q191,[[Talin]] i kapitol bilong [[Estonia]].,"['P17', 'P1376']",True
P1376,Q239,Q31,[[Brussels]] emi kapitol bilong kantri [[Beljiam]].,"['P17', 'P1376']",True
P1376,Q37806,Q686,[[Port Vila]] i kapitol bilong [[Vanuatu]].,"['P17', 'P1376']",True
P30,Q678,Q538,[[Tonga]] emi wanpela kantri long [[Osenia]].,['P30'],True
P30,Q334,Q48,[[Singapo]] i stap wanpela kantri long [[Esia]].,['P30'],True
P30,Q881,Q48,[[Vietnam]] em i kantri bilong [[Esia]].,['P30'],True
P30,Q45,Q46,[[Potugal]] em i kantri bilong [[Yurop]].,['P30'],True
P30,Q884,Q48,[[Saut Koria]] o Korea i kantri bilong [[Esia]].,['P30'],True
P30,Q79,Q15,[[Ijip]] em i kantri bilong kontinen [[Aprika]].,['P30'],True
