ENT1	ENT2	Properties
Q774	Q774	['P17']
Q105	Q132	['P138', 'P155']
Q38	Q1282	['P150']
Q5816	Q148	['P27']
Q60	Q30	['P17']
Q2513	Q23548	['P8324']
Q39	Q39	['P17']
Q794	Q48	['P30']
Q8739	Q13670	['P551']
Q18097	Q884	['P1366']
Q1033	Q15	['P30']
Q517	Q142	['P27']
Q297	Q2807	['P20', 'P119', 'P937']
Q733	Q733	['P17']
Q48	Q2	['P361']
Q336794	Q727	['P19', 'P20', 'P937']
Q48	Q46	['P47']
Q804	Q739	['P47', 'P530']
Q371808	Q996195	['P47']
Q90	Q171689	['P150']
Q5513	Q159	['P17', 'P205']
Q80338	Q902	['P17', 'P131']
Q41	Q1524	['P36']
Q11767	Q796	['P17']
Q354634	Q84	['P20']
Q1156	Q1191	['P131', 'P1376']
Q858	Q801	['P47', 'P530']
Q36074	Q408	['P17', 'P131']
Q44797	Q414	['P17', 'P131']
Q302	Q430776	['P551']
Q681427	Q794	['P17']
Q816739	Q996422	['P47']
Q39607	Q90	['P19']
Q878	Q878	['P17']
Q996195	Q996153	['P47']
Q817	Q817	['P17']
Q148	Q334	['P530']
Q371808	Q996422	['P47']
Q406	Q84	['P190']
Q38872	Q64	['P36']
Q252	Q48	['P30']
Q298	Q414	['P47', 'P530']
Q9036	Q367211	['P19', 'P551']
Q794	Q889	['P47', 'P530']
Q826	Q496967	['P463']
Q23109	Q23111	['P47']
Q846239	Q996153	['P47']
Q83672	Q231693	['P26']
Q30	Q23635	['P530']
Q996195	Q731606	['P47']
Q734	Q717	['P47', 'P530']
Q4918	Q79	['P17', 'P205']
Q371808	Q202393	['P47']
Q3151094	Q1369002	['P403']
Q16	Q241	['P530']
Q1029	Q924	['P47']
Q183	Q31	['P47', 'P530']
Q29	Q97	['P206']
Q201970	Q23103	['P131']
Q584	Q1670	['P974']
Q79	Q15	['P30']
Q242	Q242	['P17']
Q219	Q399	['P530']
Q2038	Q142	['P27']
Q17	Q928	['P47', 'P530']
Q1445	Q66743	['P47']
Q312741	Q35827	['P61']
Q30	Q15180	['P530']
Q46	Q458	['P1889']
Q115319	Q241	['P17', 'P131']
Q241	Q717	['P530']
Q730	Q734	['P47', 'P530']
Q30282932	Q16	['P17']
Q25	Q21	['P47']
Q380401	Q390670	['P26']
Q717	Q734	['P47', 'P530']
Q155	Q730	['P47', 'P530']
Q1408	Q30	['P17', 'P131']
Q130135	Q15	['P30']
Q29	Q458	['P361', 'P463']
Q432072	Q371808	['P47']
Q996195	Q996267	['P47']
Q996422	Q273312	['P47']
Q38	Q220	['P36']
Q458	Q237	['P47']
Q1775258	Q128139	['P131']
Q44401	Q142	['P17']
Q30	Q11703	['P150']
Q155	Q1029	['P530']
Q6722	Q2773	['P19', 'P551']
Q953	Q924	['P47', 'P530']
Q96	Q98	['P206']
Q83287	Q1439	['P740']
Q843	Q902	['P530']
Q30	Q16	['P47', 'P530']
Q273312	Q3769	['P131']
Q97	Q29	['P205']
Q25271	Q23548	['P137']
Q828	Q1780252	['P1589']
Q730	Q142	['P47', 'P530']
Q399	Q794	['P47', 'P530']
Q1025	Q912	['P47', 'P530']
Q34969	Q100	['P19']
Q38	Q31	['P530']
Q1342	Q30	['P17']
Q784	Q664609	['P361', 'P706']
Q37394	Q538	['P361', 'P706']
Q948333	Q273312	['P47']
Q1335	Q77	['P17', 'P1376']
Q155	Q408	['P530']
Q833	Q252	['P47', 'P530']
Q55	Q31	['P47', 'P530']
Q804	Q30	['P47', 'P530']
Q686	Q686	['P17']
Q30	Q816	['P150']
Q38370	Q80823	['P26']
Q811	Q811	['P17']
Q90	Q656902	['P138']
