ENT1	ENT2	Properties
Q1537	Q30	['P17', 'P131']
Q60	Q30	['P17']
Q34820	Q2887	['P190']
Q62591281	Q30	['P27']
Q790	Q801	['P530']
Q3621870	Q155	['P27']
Q97	Q155	['P205']
Q15091547	Q21	['P495']
Q45464	Q1978363	['P155']
Q5043	Q1218	['P740']
Q244	Q754	['P530']
Q48278	Q739	['P17']
Q233588	Q869	['P17', 'P131']
Q155	Q419	['P47', 'P530']
Q195371	Q1489	['P19', 'P20']
Q262523	Q30	['P17']
Q148	Q79	['P530']
Q4122570	Q289738	['P710']
Q333489	Q90	['P20']
Q17	Q794	['P530']
Q1530	Q796	['P17', 'P1376']
Q10690	Q25	['P1376']
Q298905	Q117147	['P40']
Q384	Q3711	['P190']
Q159	Q15180	['P807']
Q912	Q1008	['P47']
Q38903	Q231694	['P355']
Q38	Q36	['P530']
Q81802	Q29	['P17']
Q3655089	Q535	['P1877']
Q5878598	Q419	['P27', 'P945']
Q155	Q45	['P530']
Q148	Q15	['P530']
Q55164990	Q2484240	['P607']
Q939416	Q145	['P17', 'P495']
Q60176	Q96	['P17', 'P131']
Q148	Q881	['P47', 'P530']
Q1006	Q1041	['P47']
Q25262	Q881	['P17']
Q28237	Q1166	['P1376']
Q16	Q97	['P206']
Q19828	Q12138	['P361']
Q634	Q2	['P5869']
Q193638	Q1490	['P131']
Q3427179	Q106418	['P40']
Q30	Q1212	['P150']
Q1066237	Q142	['P17']
Q3777	Q965	['P17', 'P1376']
Q1155712	Q241	['P495']
Q218	Q142	['P530']
Q148	Q7817	['P463']
Q392169	Q46	['P30']
Q60	Q84	['P190']
Q801	Q801	['P17']
Q247566	Q90	['P131']
Q3748	Q1014	['P17', 'P1376']
Q1588	Q1612	['P47']
Q17496643	Q971	['P27']
Q725722	Q142	['P27']
Q36	Q30	['P530']
Q19491	Q881	['P17']
Q96	Q786	['P530']
Q2744840	Q419	['P17']
Q274126	Q241	['P17']
Q142	Q790	['P530']
Q115	Q15	['P30']
Q766	Q766	['P17']
Q16	Q1930	['P36']
Q40	Q46	['P30']
Q61107788	Q790	['P27']
Q916	Q45	['P530']
Q771	Q30	['P17', 'P131']
Q3859	Q1037	['P17', 'P1376']
Q170604	Q49	['P30']
Q884	Q884	['P17']
Q8908	Q142	['P17']
Q183	Q142	['P47', 'P530']
Q124	Q123	['P155']
Q30	Q16	['P47', 'P530']
Q61107124	Q790	['P27']
Q859	Q868	['P802']
Q43301	Q30	['P17']
Q353464	Q790	['P27']
Q3161170	Q142	['P27']
Q733	Q77	['P530']
Q183	Q155	['P530']
Q657461	Q739	['P17']
Q96	Q38	['P530']
Q414	Q77	['P47', 'P530']
Q148	Q38	['P530']
Q262	Q142	['P530']
Q523	Q525	['P5869']
Q142	Q822	['P530']
Q187697	Q790	['P27']
Q1609167	Q283317	['P3373']
Q2303927	Q142	['P17']
Q722071	Q15	['P30']
Q1335	Q77	['P17', 'P1376']
Q1635722	Q30	['P17']
Q739	Q77	['P530']
Q30	Q38	['P530']
Q2961084	Q38469029	['P527']
Q7323826	Q790	['P27']
Q311413	Q148	['P27']
Q220692	Q241	['P17', 'P131']
Q96	Q790	['P530']
Q36947	Q155	['P17']
Q2829753	Q2861263	['P26']
Q16	Q889	['P530']
Q928	Q29	['P530']
Q81802	Q5783	['P131']
Q141963	Q16	['P17']
Q40998	Q8162	['P279', 'P361']
Q1558	Q30	['P17', 'P131']
Q800	Q96	['P530']
Q16	Q241	['P530']
Q141963	Q340	['P47']
Q1877	Q881	['P17']
Q136538	Q30	['P17']
Q142	Q183	['P47', 'P530']
Q81972	Q29	['P17']
Q3446810	Q1515	['P19']
Q142	Q801	['P530']
Q16	Q49	['P30', 'P361']
Q102728	Q499588	['P47']
Q178925	Q29	['P17']
Q83172	Q159	['P17']
Q470798	Q374760	['P40']
Q95028	Q5783	['P131']
Q38	Q220	['P36']
Q208445	Q30	['P17']
Q17054	Q142	['P17', 'P131']
Q218	Q46	['P30']
Q18209161	Q790	['P17']
Q30	Q1408	['P150']
Q36168	Q244	['P17', 'P1376']
Q106544	Q536635	['P25']
Q155	Q29	['P530']
Q3113256	Q49757	['P106']
Q1209676	Q96	['P17', 'P27', 'P138', 'P495']
Q39	Q40	['P47', 'P530']
Q314704	Q10390390	['P26']
Q155	Q30	['P530']
Q25277	Q790	['P17', 'P150']
Q597	Q45	['P17', 'P1376']
Q570256	Q1362411	['P118']
Q12724	Q1210	['P47']
Q45	Q148	['P530']
Q179576	Q96	['P27']
Q16	Q33	['P530']
Q30	Q15180	['P530']
Q183	Q46	['P30']
Q35942	Q98	['P206', 'P706']
Q3513534	Q1001440	['P740']
Q16181	Q38	['P17']
Q47034	Q127623	['P47']
Q30	Q710	['P530']
Q2844	Q155	['P17', 'P138', 'P1376']
Q1054905	Q5092	['P131', 'P159']
Q884	Q38	['P530']
Q1333963	Q4918	['P403']
Q1462	Q38	['P17', 'P131']
Q61	Q30	['P17', 'P1376']
Q1001440	Q790	['P17']
Q30	Q5785	['P530']
Q1273644	Q1041	['P17']
Q81033	Q96	['P17']
Q39	Q46	['P30', 'P361']
Q30	Q414	['P530']
Q419	Q739	['P47', 'P530']
Q115895	Q39	['P17']
Q29	Q717	['P530']
Q869	Q869	['P17']
Q81972	Q5783	['P131']
Q1032	Q142	['P530']
Q739	Q717	['P47', 'P530']
Q155	Q298	['P530']
Q971	Q971	['P17']
Q622620	Q17	['P17']
Q3041903	Q142	['P27']
Q790	Q30	['P47', 'P530']
Q794	Q851	['P47', 'P530']
Q97	Q16	['P205']
Q42466	Q16181	['P131']
Q15091547	Q2256	['P131']
Q176	Q16	['P17', 'P131']
Q11435	Q11432	['P5135']
Q983295	Q1318954	['P463']
Q30	Q1527	['P150']
Q851	Q851	['P17']
Q4264	Q733	['P112', 'P527']
Q8023	Q1020378	['P19']
Q977	Q1045	['P47', 'P530']
Q8605	Q717	['P27']
Q148	Q48	['P30']
Q236	Q403	['P47', 'P530']
Q1515	Q1008	['P17']
Q6390162	Q30	['P27']
Q790	Q664609	['P361', 'P706']
Q556	Q283	['P138']
Q1313	Q1311	['P461']
Q33923	Q19546	['P39']
Q333549	Q685	['P17']
Q8932	Q347	['P527']
Q21294765	Q790	['P27']
Q16682060	Q790	['P17']
Q39	Q11933	['P150']
Q60	Q22654	['P1889']
Q766	Q145	['P47']
Q37320	Q30	['P17']
Q302	Q345	['P25']
Q48	Q2	['P361']
Q5139822	Q812	['P131']
Q130768	Q11432	['P527']
Q1218	Q801	['P17', 'P1376']
Q252	Q31	['P530']
Q45	Q97	['P206', 'P1589']
Q717	Q717	['P17']
Q679016	Q234149	['P26']
Q778120	Q1012419	['P131']
Q467803	Q117	['P945']
Q289738	Q790	['P27']
Q1370	Q1391	['P47']
Q148	Q148	['P17']
Q38	Q55	['P530']
Q778	Q2467	['P36']
Q150	Q121842	['P1889']
Q70	Q39	['P17', 'P1376']
Q76	Q30	['P27']
Q24384	Q1314	['P527']
Q183	Q837	['P530']
Q3185585	Q340	['P20']
Q30	Q148	['P530']
Q145	Q21	['P150']
Q65	Q30	['P17']
Q842	Q851	['P47', 'P530']
Q2467	Q778	['P17', 'P1376']
Q17	Q79	['P530']
Q12860	Q45859	['P26']
Q4361	Q155	['P17']
Q219	Q403	['P47', 'P530']
Q155	Q155	['P17']
Q2031705	Q1395689	['P102']
Q902	Q837	['P530']
Q96	Q96	['P17']
Q503201	Q142	['P27']
Q40	Q183	['P47', 'P530']
Q22299157	Q12565265	['P156']
Q81978	Q5783	['P131']
Q2807	Q8652	['P190']
Q319943	Q928	['P27']
Q38	Q796	['P530']
Q7275	Q6256	['P460', 'P1889']
Q47099	Q80478	['P1830']
Q30	Q96	['P47', 'P530']
Q43	Q183	['P530']
Q419	Q736	['P47']
Q766	Q664609	['P361']
Q3047892	Q790	['P20', 'P27']
Q174	Q155	['P17']
Q34	Q103672	['P150']
Q17760	Q14309	['P403']
Q85202389	Q262	['P27']
Q1781	Q1741	['P190']
Q1456853	Q490	['P20']
Q18221733	Q142	['P27']
Q7427818	Q1204	['P131']
Q47364624	Q790	['P17']
Q884	Q928	['P530']
Q142	Q145	['P530']
Q155	Q733	['P47', 'P530']
Q414	Q750	['P47', 'P530']
Q599316	Q205380	['P131']
Q115319	Q241	['P17', 'P131']
Q3616	Q794	['P17', 'P1376']
Q975463	Q466322	['P112']
Q33935	Q801	['P17']
Q965	Q3777	['P36']
Q1019	Q252	['P530']
Q52535	Q414	['P17']
Q1533	Q717	['P17', 'P1376']
Q717	Q739	['P47', 'P530']
Q3838	Q974	['P17', 'P1376']
Q39673	Q928	['P17']
Q45003	Q11473	['P2579']
Q1143411	Q142	['P17']
Q790	Q155	['P530']
Q916	Q155	['P530']
Q142	Q29	['P47', 'P530']
Q39	Q16	['P530']
Q41	Q145	['P530']
Q1211	Q30	['P17', 'P131']
Q334	Q8646	['P530']
Q1904	Q16	['P17', 'P131']
Q155	Q123759	['P463']
Q1297	Q30	['P17']
Q869	Q819	['P47', 'P530']
Q218	Q219	['P47', 'P530']
Q44401	Q142	['P17']
Q309475	Q1049	['P17']
Q18013	Q30	['P17']
Q183	Q790	['P530']
Q1454	Q30	['P17', 'P131']
Q142	Q30	['P530']
Q33121853	Q2743342	['P749']
Q265665	Q274412	['P19']
Q39	Q38	['P47', 'P530']
Q230	Q48	['P30']
Q796	Q43	['P47', 'P530']
Q29	Q142	['P47', 'P530']
Q8678	Q155	['P17', 'P1376']
Q414	Q155	['P47', 'P530']
Q9066870	Q1489	['P19']
Q837	Q148	['P47', 'P530']
Q984786	Q790	['P17']
Q252	Q717	['P530']
Q2807	Q29	['P17', 'P1376']
Q3052174	Q984786	['P19']
Q142	Q159	['P530']
Q458	Q46	['P30', 'P1889']
Q17	Q38	['P530']
Q701446	Q142	['P17']
Q16551	Q30	['P17', 'P131']
Q40302	Q30	['P495', 'P840']
Q43	Q48	['P30']
Q1041	Q3718	['P36']
Q36704	Q3711	['P36']
Q30	Q1370	['P150']
Q739	Q736	['P47', 'P530']
Q48	Q7204	['P527']
Q912	Q1032	['P47']
Q37	Q211	['P47', 'P530']
Q145	Q27	['P47', 'P530']
Q15777045	Q30072039	['P527']
Q404763	Q43684	['P131']
Q865	Q96	['P530']
Q5783	Q29	['P17', 'P131']
Q685	Q685	['P17']
Q884	Q96	['P530']
Q1297	Q90	['P190']
Q16	Q8646	['P530']
Q96	Q30	['P47', 'P530']
Q35	Q183	['P47', 'P530']
Q31	Q142	['P47', 'P530']
Q100242002	Q1257589	['P131']
Q148	Q30	['P530']
Q40	Q28	['P47', 'P530']
Q8652	Q30	['P17']
Q16947	Q148	['P17']
Q183	Q183	['P17']
Q3808	Q1009	['P17', 'P1376']
Q1914697	Q54823925	['P3373']
Q456	Q142	['P17']
