ENT1	ENT2	Properties
Q8798	Q212	['P17', 'P2341']
Q155	Q730	['P47', 'P530']
Q298	Q414	['P47', 'P530']
Q414	Q419	['P530']
Q79	Q79	['P17']
Q36600	Q29999	['P1376']
Q380427	Q801	['P119']
Q854	Q252	['P530']
Q159	Q48	['P30']
Q29	Q45	['P47', 'P530']
Q29	Q142	['P47', 'P530']
Q38	Q142	['P47', 'P530']
Q38	Q458	['P361', 'P463']
Q183	Q214	['P530']
Q1045	Q114	['P47', 'P530']
Q13712	Q38	['P17', 'P205']
Q419	Q155	['P47', 'P530']
Q794	Q668	['P530']
Q36	Q142	['P530']
Q2280	Q5119	['P31']
Q96	Q55	['P530']
Q823251	Q30	['P17']
Q419	Q298	['P47', 'P530']
Q865	Q17	['P47', 'P530']
Q142	Q142	['P17']
Q212	Q211	['P530']
Q13955	Q219060	['P17']
Q289957	Q163329	['P19']
Q7232943	Q21203	['P17']
Q858	Q79	['P530']
Q730	Q3001	['P36']
Q19897783	Q25279	['P276']
Q172	Q16	['P17']
Q717	Q96	['P530']
Q1065	Q458	['P530']
Q1008	Q15	['P30']
Q84	Q46	['P30']
Q986	Q977	['P47', 'P530']
Q739	Q717	['P47', 'P530']
Q29	Q155	['P530']
Q7411	Q234	['P2341']
Q869	Q819	['P47', 'P530']
Q35	Q183	['P47', 'P530']
Q796	Q805	['P530']
Q33	Q211	['P530']
Q25279	Q7411	['P37', 'P2936']
Q736	Q155	['P530']
Q114	Q1036	['P47', 'P530']
Q8605	Q199821	['P27']
Q865	Q668	['P530']
Q48957376	Q9174	['P31']
Q33	Q189	['P530']
Q27611	Q811	['P527']
Q2	Q525	['P397']
Q30	Q16	['P47', 'P530']
Q754	Q769	['P530']
Q652	Q39	['P17']
Q150747	Q154946	['P40']
Q4035	Q155	['P17']
Q79	Q4918	['P206']
Q41	Q43	['P47', 'P530']
Q183	Q183	['P17']
Q29999	Q21203	['P150']
Q822	Q858	['P47', 'P530']
Q181936	Q30	['P27']
Q29540	Q183	['P17']
Q391007	Q391142	['P47']
Q902	Q819	['P530']
Q800	Q804	['P47']
Q1860	Q145	['P17', 'P2341']
Q391142	Q16272	['P131']
Q96	Q155	['P530']
Q21	Q1860	['P37', 'P2936']
Q46	Q458	['P1889']
Q7411	Q26273	['P17']
Q142	Q228	['P47', 'P530']
Q1841	Q1841	['P140']
Q668	Q30	['P530']
Q1243	Q1210	['P47']
Q1019	Q1029	['P47']
Q391247	Q36198	['P47']
Q801	Q79	['P47', 'P530']
Q773447	Q16555	['P131']
Q42800	Q155	['P17']
Q29999	Q717	['P47']
Q423	Q17	['P530']
Q786	Q784	['P1889']
Q812	Q30	['P17', 'P131']
Q38	Q39	['P47', 'P530']
Q212	Q37	['P530']
Q2539553	Q25227	['P17']
Q37620	Q46	['P30']
Q28	Q217	['P530']
Q41604	Q142	['P17']
Q134741	Q37693	['P802']
Q3711	Q36704	['P1376']
Q1210	Q38	['P17', 'P131']
Q472	Q219	['P17', 'P1376']
Q25277	Q786	['P17', 'P150']
Q34433	Q145	['P17']
Q183	Q212	['P530']
Q207854	Q419	['P17', 'P3461']
Q35	Q34	['P47', 'P530']
Q159	Q20	['P47', 'P530']
Q2023	Q16	['P17', 'P131']
Q55	Q25528	['P150']
Q38	Q1280	['P150']
Q390692	Q391326	['P47']
Q1426400	Q11758	['P170']
Q1047	Q668	['P27']
Q145	Q46	['P30']
Q33856	Q25279	['P17']
Q16148683	Q30	['P495']
Q390824	Q391142	['P47']
Q33845	Q38	['P17']
Q30	Q53536	['P1304']
Q801	Q4918	['P206']
Q390824	Q36198	['P47']
Q55	Q29999	['P17', 'P131', 'P361', 'P1889']
Q6487517	Q30	['P17']
Q5240	Q362	['P793']
Q865	Q408	['P530']
Q858	Q801	['P47', 'P530']
Q180	Q52	['P1830', 'P1889']
Q16551	Q30	['P17', 'P131']
Q752	Q55	['P17', 'P131']
Q30	Q1370	['P150']
Q1028	Q15	['P30']
Q34261	Q790	['P17', 'P1376']
Q142	Q38	['P47', 'P530']
Q1462	Q38	['P17', 'P131']
Q15	Q48	['P47']
Q794	Q15180	['P47']
Q13955	Q858	['P17']
Q33856	Q21203	['P17']
Q419	Q750	['P47', 'P530']
Q2483	Q2484	['P156']
Q155	Q717	['P47', 'P530']
Q61	Q30	['P17', 'P1376']
Q686	Q686	['P17']
Q183	Q31	['P47', 'P530']
Q34943	Q868	['P737']
Q1431168	Q25279	['P17']
Q154946	Q150747	['P25', 'P138']
Q3870	Q5119	['P31']
Q183	Q64	['P36', 'P150']
Q1563	Q241	['P17', 'P1376']
Q865	Q819	['P530']
Q414	Q298	['P47', 'P530']
