Text	Wiki_ID	Wikidata_ID	Source
Yunaeted Nesen	None	Q1065	OpenTapioca
Yunaeted Nesen	None	Q1065	OpenTapioca
pasifik	1524	Q98	Wikipedia
Bislama	840	Q35452	Wikipedia
Port Vila	842	Q37806	Wikipedia
Pedro Fernández de Quirós	None	Q313633	OpenTapioca
Vanuatu	None	Q686	OpenTapioca
James Cook	None	Q7324	OpenTapioca
Vanuatu	None	Q686	OpenTapioca
Franis	None	Q142	OpenTapioca
Vanuatu	None	Q686	OpenTapioca
oli	None	Q95176690	OpenTapioca
Efate	3245	Q266594	Wikipedia
Ambrym	4409	Q459948	Wikipedia
Tanna	2635	Q65451907	Wikipedia
Pentikos	4211	Q960808	Wikipedia
Vanuatu	None	Q686	OpenTapioca
Vanuatu	None	Q686	OpenTapioca
Vanuatu	None	Q686	OpenTapioca
Vanuatu	None	Q686	OpenTapioca
Vanuatu	None	Q686	OpenTapioca
Ostrelia	2130	Q408	Wikipedia
Franis	2111	Q142	Wikipedia
Vanuatu	None	Q686	OpenTapioca
sam	None	Q3519761	OpenTapioca
sam	None	Q3519761	OpenTapioca
Vanuatu	None	Q686	OpenTapioca
Vanuatu	None	Q686	OpenTapioca
Bislama	840	Q35452	Wikipedia
Vanuatu	835	Q686	Wikipedia
Vanuatu	None	Q686	OpenTapioca
Vanuatu	835	Q686	Wikipedia
Edward Natapei	2882	Q379550	Wikipedia
Vanuatu	835	Q686	Wikipedia
Vanuatu	835	Q686	Wikipedia
Sam	None	Q3766	OpenTapioca
Pijin	4047	Q5113	Wikipedia
Solomon Aelan	6150	Q685	Wikipedia
Tok Pisin	2029	Q34159	Wikipedia
Ostrelia	2130	Q408	Wikipedia
Vanuatu	835	Q686	Wikipedia
Vanuatu	835	Q686	Wikipedia
Efate	3245	Q266594	Wikipedia
Vanuatu	835	Q686	Wikipedia
kaontri	2628	Q6256	Wikipedia
kaontri	2628	Q6256	Wikipedia
Vanuatu	835	Q686	Wikipedia
Port Vila	842	Q37806	Wikipedia
Ostrelia	2130	Q408	Wikipedia
Vanuatu	835	Q686	Wikipedia
Walter Lini	4218	Q724686	Wikipedia
Vanuatu	835	Q686	Wikipedia
Bislama	840	Q35452	Wikipedia
Vanuatu	None	Q686	OpenTapioca
Yumi	None	Q11255596	OpenTapioca
yumi	None	Q11255596	OpenTapioca
yumi	None	Q11255596	OpenTapioca
yumi	None	Q11255596	OpenTapioca
Papa	None	Q19546	OpenTapioca
Luganville	3249	Q876557	Wikipedia
Pasifik	None	Q98	OpenTapioca
Vanuatu	835	Q686	Wikipedia
Walter Lini	4218	Q724686	Wikipedia
Vanuatu	835	Q686	Wikipedia
Penama	2641	Q836649	Wikipedia
Saratamata	3250	Q1980393	Wikipedia
solwota	4407	Q184395	Wikipedia
kristaniti	3337	Q5043	Wikipedia
Vanuatu	835	Q686	Wikipedia
Vanuatu	835	Q686	Wikipedia
Sola	3247	Q1423143	Wikipedia
Kansas	None	Q1558	OpenTapioca
Texas	None	Q1439	OpenTapioca
Hindi	2887	Q1568	Wikipedia
Esia	2631	Q48	Wikipedia
Hindi	2887	Q1568	Wikipedia
Inglis	6001	Q1860	Wikipedia
Yurop	2473	Q46	Wikipedia
Franis	2111	Q142	Wikipedia
Andorra	2782	Q228	Wikipedia
Portugal	2846	Q45	Wikipedia
Madrid	2469	Q2807	Wikipedia
Spen	None	Q29	OpenTapioca
Polan	2542	Q36	Wikipedia
Jemani	2144	Q183	Wikipedia
Wol Wo Tu	2078	Q362	Wikipedia
Jemani	2144	Q183	Wikipedia
Papua Niugini	2131	Q691	Wikipedia
Bislama	840	Q35452	Wikipedia
Vanuatu	835	Q686	Wikipedia
navara	4445	Q65451898	Wikipedia
Man	None	Q9676	OpenTapioca
Katem	None	Q18779935	OpenTapioca
laplap	4212	Q16990651	Wikipedia
kava	4092	Q161067	Wikipedia
Not Amerika	4949	Q49	Wikipedia
Justin Trudeau	None	Q3099714	OpenTapioca
Esia	2631	Q48	Wikipedia
Afrika	4246	Q15	Wikipedia
Muhammed	2075	Q9458	Wikipedia
Islam	2074	Q432	Wikipedia
God	2272	Q190	Wikipedia
God	2272	Q190	Wikipedia
Amerika	2216	Q828	Wikipedia
Jaena	2837	Q148	Wikipedia
Jemani	2144	Q183	Wikipedia
Japan	5127	Q17	Wikipedia
Jisas Kraes	None	Q302	OpenTapioca
Moronae	4191	Q16387108	Wikipedia
Josef Smit	2270	Q47102	Wikipedia
Amerika	2216	Q828	Wikipedia
Momon	None	Q20047332	OpenTapioca
kam	None	Q740445	OpenTapioca
Jisas	None	Q302	OpenTapioca
Jemani	2144	Q183	Wikipedia
Yurop	2473	Q46	Wikipedia
Paris	2113	Q90	Wikipedia
Emmanuel Macron	5226	Q3052772	Wikipedia
Long	None	Q313606	OpenTapioca
Franis	None	Q142	OpenTapioca
Yurop	2473	Q46	Wikipedia
London	2620	Q84	Wikipedia
Elisabet II	2158	Q9682	Wikipedia
Franis	2111	Q142	Wikipedia
Franis	2111	Q142	Wikipedia
Jemani	2144	Q183	Wikipedia
kaontri	2628	Q6256	Wikipedia
Esia	2631	Q48	Wikipedia
Polan	2542	Q36	Wikipedia
kaontri	2628	Q6256	Wikipedia
Pasifik	1524	Q98	Wikipedia
Inglis	6001	Q1860	Wikipedia
Canberra	6295	Q3114	Wikipedia
Elisabet II	2158	Q9682	Wikipedia
kaontri	2628	Q6256	Wikipedia
Pasifik	1524	Q98	Wikipedia
Inglis	6001	Q1860	Wikipedia
Tok Pisin	2029	Q34159	Wikipedia
Michael Somare	2154	Q316264	Wikipedia
Elisabet II	2158	Q9682	Wikipedia
Ostrelia	2130	Q408	Wikipedia
Ostrelia	2130	Q408	Wikipedia
Beijing	5126	Q956	Wikipedia
Jaena	2837	Q148	Wikipedia
Jisas	None	Q302	OpenTapioca
kaontri	2628	Q6256	Wikipedia
Amerika	2216	Q828	Wikipedia
Yurop	2473	Q46	Wikipedia
Ostria	2779	Q40	Wikipedia
Franis	2111	Q142	Wikipedia
Beljiom	2816	Q31	Wikipedia
Neselan	2845	Q55	Wikipedia
Berlin	2145	Q64	Wikipedia
Jemani	None	Q183	OpenTapioca
Jemani	2144	Q183	Wikipedia
Papua Niugini	2131	Q691	Wikipedia
Solomon Aelan	6150	Q685	Wikipedia
Ostrelia	2130	Q408	Wikipedia
kaontri	2628	Q6256	Wikipedia
Pasifik	1524	Q98	Wikipedia
Elisabet II	2158	Q9682	Wikipedia
Spen	2012	Q29	Wikipedia
Spen	2012	Q29	Wikipedia
Not Amerika	4949	Q49	Wikipedia
Kanada	2064	Q16	Wikipedia
Alaska	2285	Q797	Wikipedia
Hawaii	2617	Q782	Wikipedia
Pasifik	1524	Q98	Wikipedia
Joe Biden	4892	Q6279	Wikipedia
Yunaeted Stet	None	Q30	OpenTapioca
Yunaeted Stet blong Amerika	None	Q30	OpenTapioca
Yunaeted Stet	None	Q30	OpenTapioca
independent	None	Q327591	OpenTapioca
Jemani	2144	Q183	Wikipedia
Jemani	2144	Q183	Wikipedia
kontinen	2468	Q5107	Wikipedia
Polan	2542	Q36	Wikipedia
Vermont	2692	Q16551	Wikipedia
Illinois	2639	Q1204	Wikipedia
Yunaeted Stet	None	Q30	OpenTapioca
oli	None	Q95176690	OpenTapioca
oli	None	Q95176690	OpenTapioca
Be	None	Q791615	OpenTapioca
Efesas	None	Q47611	OpenTapioca
Kristaniti	3337	Q5043	Wikipedia
wol	None	Q42329	OpenTapioca
oli	None	Q95176690	OpenTapioca
oli	None	Q95176690	OpenTapioca
oli	None	Q95176690	OpenTapioca
oli	None	Q95176690	OpenTapioca
oli	None	Q95176690	OpenTapioca
Jisas	None	Q302	OpenTapioca
kam	None	Q740445	OpenTapioca
kam	None	Q740445	OpenTapioca
kam	None	Q740445	OpenTapioca
Mo	None	Q28	OpenTapioca
wol	None	Q42329	OpenTapioca
Papa	None	Q19546	OpenTapioca
wei	None	Q30121	OpenTapioca
Hem	None	Q1047719	OpenTapioca
Hem	None	Q1047719	OpenTapioca
Baebol	1705	Q1845	Wikipedia
Inglis	6001	Q1860	Wikipedia
Jemani	2144	Q183	Wikipedia
Inglis	6001	Q1860	Wikipedia
Franis	2111	Q142	Wikipedia
Paris	2113	Q90	Wikipedia
God	2272	Q190	Wikipedia
Baebol	1705	Q1845	Wikipedia
Nepal	6129	Q837	Wikipedia
Jaena	2837	Q148	Wikipedia
Yunaeted Stet blong Amerika	2198	Q30	Wikipedia
Alabama	None	Q173	OpenTapioca
Alaska	None	Q797	OpenTapioca
Arizona	None	Q816	OpenTapioca
Arkansas	None	Q1612	OpenTapioca
Papua Niugini	2131	Q691	Wikipedia
Colorado	None	Q1261	OpenTapioca
Franis	2111	Q142	Wikipedia
kaontri	2628	Q6256	Wikipedia
Yurop	2473	Q46	Wikipedia
Moskow	2387	Q649	Wikipedia
San-Peterburg	3449	Q656	Wikipedia
Vietnam	2759	Q881	Wikipedia
kaontri	2628	Q6256	Wikipedia
pasifik	1524	Q98	Wikipedia
Bislama	840	Q35452	Wikipedia
Huang Xianfan(1899	None	Q5208	OpenTapioca
Jaena	2837	Q148	Wikipedia
Peru	2141	Q419	Wikipedia
kaontri	2628	Q6256	Wikipedia
Saot Amerika	2461	Q18	Wikipedia
kontinen	2468	Q5107	Wikipedia
Saot Amerika	None	Q18	OpenTapioca
Saot Amerika	2461	Q18	Wikipedia
Saot Amerika	2461	Q18	Wikipedia
Saot Amerika	2461	Q18	Wikipedia
Spen	2012	Q29	Wikipedia
Saot Amerika	2461	Q18	Wikipedia
Saot Amerika	2461	Q18	Wikipedia
Caracas	3138	Q1533	Wikipedia
Spen	2012	Q29	Wikipedia
Litwania	2676	Q37	Wikipedia
Kontinen	2468	Q5107	Wikipedia
Yurop	None	Q46	OpenTapioca
Valletta	3037	Q23800	Wikipedia
Santo aelan	4209	Q21099470	Wikipedia
Itali	2720	Q38	Wikipedia
Yuta	2264	Q829	Wikipedia
kaontri	2628	Q6256	Wikipedia
Saot Amerika	2461	Q18	Wikipedia
Yurop	2473	Q46	Wikipedia
Rasia	2382	Q159	Wikipedia
Belarus	2789	Q184	Wikipedia
Slovakia	2774	Q214	Wikipedia
Jek Ripablik	3265	Q213	Wikipedia
Jemani	2144	Q183	Wikipedia
Warsaw	3233	Q270	Wikipedia
Polan	2542	Q36	Wikipedia
Yurop	2473	Q46	Wikipedia
Kalifornia	None	Q99	OpenTapioca
Florida	None	Q812	OpenTapioca
Niu York	None	Q60	OpenTapioca
Arkansas	None	Q1612	OpenTapioca
Delaware	None	Q1393	OpenTapioca
Long	None	Q493033	OpenTapioca
Georgia	None	Q230	OpenTapioca
Hawaii	None	Q782	OpenTapioca
Idaho	None	Q1221	OpenTapioca
Belarus	2789	Q184	Wikipedia
kaontri	2628	Q6256	Wikipedia
Yurop	2473	Q46	Wikipedia
wol	2656	Q16502	Wikipedia
kontinen	2468	Q5107	Wikipedia
Vanuatu	835	Q686	Wikipedia
banyan	4406	Q65451834	Wikipedia
Vanuatu	835	Q686	Wikipedia
Isangel	3248	Q1070178	Wikipedia
Tafea	None	Q576417	OpenTapioca
toktok Rusia	2624	Q7737	Wikipedia
Illinois	None	Q1204	OpenTapioca
Vanuatu	835	Q686	Wikipedia
Saratamata	3250	Q1980393	Wikipedia
Penama	None	Q836649	OpenTapioca
Wol	2656	Q16502	Wikipedia
Vanuatu	835	Q686	Wikipedia
Port Vila	842	Q37806	Wikipedia
Efate	3245	Q266594	Wikipedia
Shefa	None	Q650617	OpenTapioca
Shefa	None	Q650617	OpenTapioca
tongoa	4398	Q1847568	Wikipedia
efate	3245	Q266594	Wikipedia
Vanuatu	835	Q686	Wikipedia
kaontri	2628	Q6256	Wikipedia
Yunaeted Stet blong Amerika	2198	Q30	Wikipedia
Obama	None	Q76	OpenTapioca
USA	None	Q30	OpenTapioca
Indiana	None	Q1415	OpenTapioca
Iowa	None	Q1546	OpenTapioca
Wyoming	None	Q1214	OpenTapioca
Wisconsin	None	Q1537	OpenTapioca
wol	2656	Q16502	Wikipedia
Vanuatu	835	Q686	Wikipedia
Malampa	None	Q740656	OpenTapioca
Yurop	2473	Q46	Wikipedia
Latvia	2704	Q211	Wikipedia
Belarus	2789	Q184	Wikipedia
Vilnius	2471	Q216	Wikipedia
Litwania	2676	Q37	Wikipedia
kaontri	2628	Q6256	Wikipedia
West Virginia	None	Q1371	OpenTapioca
Washington	None	Q61	OpenTapioca
Virginia	None	Q1370	OpenTapioca
Vermont	None	Q16551	OpenTapioca
Virginia	None	Q1370	OpenTapioca
Tennessee	None	Q1509	OpenTapioca
Saut Dakota	None	Q1211	OpenTapioca
Saut Carolina	None	Q1456	OpenTapioca
Rhode Island	None	Q1387	OpenTapioca
Pennsylvania	None	Q1400	OpenTapioca
Oregon	None	Q824	OpenTapioca
Oklahoma	None	Q1649	OpenTapioca
Ohio	None	Q1397	OpenTapioca
Estonia	2705	Q191	Wikipedia
Belarus	2789	Q184	Wikipedia
Litwania	2676	Q37	Wikipedia
Riga	5789	Q1773	Wikipedia
Latvia	None	Q211	OpenTapioca
Latvia	None	Q211	OpenTapioca
Latvia	None	Q211	OpenTapioca
Latvia	None	Q211	OpenTapioca
Latvia	None	Q211	OpenTapioca
Latvia	None	Q211	OpenTapioca
Yurop	2473	Q46	Wikipedia
Rasia	2382	Q159	Wikipedia
Latvia	2704	Q211	Wikipedia
Estonia	None	Q191	OpenTapioca
Not Dakota	None	Q1207	OpenTapioca
Not Carolina	None	Q1454	OpenTapioca
Finland	None	Q33	OpenTapioca
faef	None	Q7194814	OpenTapioca
Yurop	2473	Q46	Wikipedia
Nowei	2712	Q20	Wikipedia
Finlan	2708	Q33	Wikipedia
Niu Mexico	None	Q1522	OpenTapioca
New Jersey	None	Q1408	OpenTapioca
Nowei	None	Q20	OpenTapioca
Jemani	2144	Q183	Wikipedia
Copenhagen	6382	Q1748	Wikipedia
Denmak	None	Q35	OpenTapioca
New Hampshire	None	Q759	OpenTapioca
Nevada	None	Q1227	OpenTapioca
Nebraska	None	Q1553	OpenTapioca
Faroe aelan	None	Q4628	OpenTapioca
Yurop	2473	Q46	Wikipedia
Rome	3182	Q220	Wikipedia
