Text	Wiki_ID	Wikidata_ID	Source
Europa	1714	Q46	Wikipedia
Unión Europea	2043	Q458	Wikipedia
Dinamarca	19875	Q35	Wikipedia
Polonia	19832	Q36	Wikipedia
Chequia	21051	Q213	Wikipedia
Austria	7923	Q40	Wikipedia
Suiza	19842	Q39	Wikipedia
Francia	7929	Q142	Wikipedia
Luxemburgo	19863	Q32	Wikipedia
Bélgica	18720	Q31	Wikipedia
República Democrática Alemana	18725	Q16957	Wikipedia
Berlín	2714	Q64	Wikipedia
mundo	None	Q2	OpenTapioca
Europa	None	Q46	OpenTapioca
Alemania	None	Q183	OpenTapioca
Europa	None	Q46	OpenTapioca
Versalles	None	Q621	OpenTapioca
el mundo	None	Q2	OpenTapioca
Versalles	None	Q621	OpenTapioca
Japon	None	Q17	OpenTapioca
Y	None	Q38	OpenTapioca
Unido	None	Q386120	OpenTapioca
Europa	None	Q46	OpenTapioca
La	None	Q1588	OpenTapioca
Del	None	Q1393	OpenTapioca
Reich	None	Q12548	OpenTapioca
Alemania	None	Q183	OpenTapioca
Hitler	None	Q352	OpenTapioca
Alemania	None	Q183	OpenTapioca
Europa	None	Q46	OpenTapioca
Alemania	None	Q183	OpenTapioca
mundo	None	Q2	OpenTapioca
Brasil	1684	Q155	Wikipedia
2005	21753	Q2019	Wikipedia
Tierra	4678	Q2	Wikipedia
Europa	1714	Q46	Wikipedia
Asia	1678	Q48	Wikipedia
junio	21674	Q120	Wikipedia
diciembre	21680	Q126	Wikipedia
enero	2443	Q108	Wikipedia
Japón	1739	Q17	Wikipedia
China	1752	Q148	Wikipedia
India	1629	Q668	Wikipedia
Uste	None	Q60437084	OpenTapioca
Uste	None	Q60437084	OpenTapioca
pan	None	Q296872	OpenTapioca
Y	None	Q38	OpenTapioca
Brasil	1684	Q155	Wikipedia
Brasil	None	Q155	OpenTapioca
catolicismo	None	Q1841	OpenTapioca
La	None	Q1588	OpenTapioca
São Paulo	19265	Q174	Wikipedia
Leonardo da Vinci	19341	Q762	Wikipedia
Paris	19340	Q90	Wikipedia
Europa	1714	Q46	Wikipedia
España	1626	Q29	Wikipedia
Brasil	1684	Q155	Wikipedia
Unión Europea	2043	Q458	Wikipedia
no se sabe	None	Q1251492	OpenTapioca
Portugal	2033	Q45	Wikipedia
Brasil	1684	Q155	Wikipedia
1974	21728	Q2478	Wikipedia
Unión Europea	2043	Q458	Wikipedia
1965	21735	Q2650	Wikipedia
Paris	19340	Q90	Wikipedia
Francia	7929	Q142	Wikipedia
Fado	2038	Q185676	Wikipedia
Portugal	2033	Q45	Wikipedia
Nueva York	1701	Q1384	Wikipedia
2007	21751	Q2024	Wikipedia
Carlos do Carmo	2533	Q983479	Wikipedia
Europa	1714	Q46	Wikipedia
Finlandia	19497	Q33	Wikipedia
Holanda	21066	Q55	Wikipedia
fado	2038	Q185676	Wikipedia
Portugal	2033	Q45	Wikipedia
Portugal	2033	Q45	Wikipedia
Portugal	2033	Q45	Wikipedia
fado	2038	Q185676	Wikipedia
Portugal	2033	Q45	Wikipedia
fado	2038	Q185676	Wikipedia
Portugal	2033	Q45	Wikipedia
Portugal	2033	Q45	Wikipedia
1980	21723	Q2439	Wikipedia
Europa	1714	Q46	Wikipedia
1957	21741	Q5311	Wikipedia
Brasil	1684	Q155	Wikipedia
2016	21763	Q25245	Wikipedia
Japón	1739	Q17	Wikipedia
1968	21732	Q2644	Wikipedia
dia	21287	Q573	Wikipedia
Calendario Gregoriano	7710	Q12138	Wikipedia
Luna	24440	Q405	Wikipedia
dia	21287	Q573	Wikipedia
Calendario Gregoriano	7710	Q12138	Wikipedia
Lunes	2179	Q105	Wikipedia
Miercoles	2182	Q128	Wikipedia
dia	21287	Q573	Wikipedia
Calendario Gregoriano	7710	Q12138	Wikipedia
dia	21287	Q573	Wikipedia
Calendario Gregoriano	7710	Q12138	Wikipedia
dia	21287	Q573	Wikipedia
Calendario Gregoriano	7710	Q12138	Wikipedia
Sol	24441	Q525	Wikipedia
1565	7634	Q6634	Wikipedia
Pero	None	Q419	OpenTapioca
Gomburza	1976	Q655263	Wikipedia
Katipunan	18	Q673018	Wikipedia
Brasil	1684	Q155	Wikipedia
La	None	Q1588	OpenTapioca
con	None	Q5997110	OpenTapioca
Pero	None	Q419	OpenTapioca
con	None	Q5997110	OpenTapioca
con	None	Q5997110	OpenTapioca
Unión Europea	2043	Q458	Wikipedia
Madrid	1685	Q2807	Wikipedia
Venezuela	1636	Q717	Wikipedia
Venezuela	1636	Q717	Wikipedia
estado Mérida	None	Q165582	OpenTapioca
Colombia	2672	Q739	Wikipedia
lagunas	None	Q23397	OpenTapioca
La	None	Q1588	OpenTapioca
agricultura	None	Q2715455	OpenTapioca
papa	None	Q19546	OpenTapioca
Mérida	None	Q23551	OpenTapioca
todos	None	Q659679	OpenTapioca
Venezuela	None	Q717	OpenTapioca
Edo	None	Q1490	OpenTapioca
Mérida	None	Q23551	OpenTapioca
Mérida	None	Q23551	OpenTapioca
mundo	None	Q2	OpenTapioca
son	None	Q4174776	OpenTapioca
Apodo	None	Q10501	OpenTapioca
Pueblo	None	Q79923	OpenTapioca
Primera división	None	Q606832	OpenTapioca
Venezuela	None	Q717	OpenTapioca
Los Rebeldes del Rock	2620	Q11689586	Wikipedia
Tarlac	7435	Q13892	Wikipedia
Filipinas	34	Q928	Wikipedia
1985	8073	Q2431	Wikipedia
