Text	Wiki_ID	Wikidata_ID	Source
Léròp	2190	Q46	Wikipedia
Lazi	2123	Q48	Wikipedia
Lanmérik	2082	Q828	Wikipedia
loséyan Atlantik	2160	Q97	Wikipedia
loséyan Pasifik	2163	Q98	Wikipedia
parti	None	Q7278	OpenTapioca
So	None	Q23397	OpenTapioca
Latè	None	Q2	OpenTapioca
Soul	None	Q8684	OpenTapioca
frèt	None	Q24278783	OpenTapioca
frèt	None	Q24278783	OpenTapioca
van	None	Q686	OpenTapioca
Sibéri	None	Q5428	OpenTapioca
Netherlands	None	Q55	OpenTapioca
NIOZ	None	Q1362890	OpenTapioca
Byen	None	Q31749654	OpenTapioca
Michigan	None	Q1166	OpenTapioca
Létazini	None	Q30	OpenTapioca
Fonn	None	Q31209940	OpenTapioca
Parmi	None	Q54633	OpenTapioca
gen	None	Q5555008	OpenTapioca
Loséyan Atlantik	None	Q97	OpenTapioca
Latè	None	Q2	OpenTapioca
So	None	Q23397	OpenTapioca
Pasifik	None	Q98	OpenTapioca
Atèsté	None	Q34607	OpenTapioca
Jibralta	None	Q1410	OpenTapioca
So	None	Q23397	OpenTapioca
Atlant	None	Q97	OpenTapioca
Hérodote	None	Q26825	OpenTapioca
Atlantik	None	Q97	OpenTapioca
Atlas	None	Q130135	OpenTapioca
Lafrik	None	Q15	OpenTapioca
Atlantik	None	Q97	OpenTapioca
Léròp	None	Q46	OpenTapioca
Lazi	None	Q48	OpenTapioca
Lafrik	None	Q15	OpenTapioca
Òbò	None	Q973	OpenTapioca
Féroé	None	Q4628	OpenTapioca
Latè	None	Q2	OpenTapioca
Atlantik	None	Q97	OpenTapioca
Loséyan Atlantik	None	Q97	OpenTapioca
Loséyan Atlantik	None	Q97	OpenTapioca
Pasifik	None	Q98	OpenTapioca
Atlantik	None	Q97	OpenTapioca
LIE	None	Q347	OpenTapioca
Atlantik	None	Q97	OpenTapioca
LIE	None	Q347	OpenTapioca
Atlantik	None	Q97	OpenTapioca
Atlantik	None	Q97	OpenTapioca
Brézil	None	Q155	OpenTapioca
Libérya	None	Q1014	OpenTapioca
Létazini	None	Q30	OpenTapioca
Maròk	None	Q1028	OpenTapioca
Atlantik	None	Q97	OpenTapioca
Arktik	None	Q25322	OpenTapioca
Atlantik	None	Q97	OpenTapioca
sala	None	Q34442	OpenTapioca
Arktik	None	Q25322	OpenTapioca
Atlantik	None	Q97	OpenTapioca
bay	None	Q3715386	OpenTapioca
Atlantik	None	Q97	OpenTapioca
bay	None	Q3715386	OpenTapioca
Parmi	None	Q54633	OpenTapioca
Mègsik	None	Q96	OpenTapioca
Atlantik	None	Q97	OpenTapioca
Ensi	None	Q2	OpenTapioca
Atlantik	None	Q97	OpenTapioca
So	None	Q23397	OpenTapioca
So	None	Q23397	OpenTapioca
Karayb	None	Q664609	OpenTapioca
So	None	Q23397	OpenTapioca
Atlantik	None	Q97	OpenTapioca
Òbò	None	Q973	OpenTapioca
Lanmérik	None	Q828	OpenTapioca
Lafrik	None	Q15	OpenTapioca
Abò	None	Q38511	OpenTapioca
Maròk	None	Q1028	OpenTapioca
Nouvèl	None	Q214317	OpenTapioca
Atlantik	None	Q97	OpenTapioca
Panjé	None	Q4398	OpenTapioca
Atlantik	None	Q97	OpenTapioca
Loséyan Atlantik	None	Q97	OpenTapioca
Léròp	None	Q46	OpenTapioca
Lafrans	None	Q142	OpenTapioca
Acores	None	Q25263	OpenTapioca
Açores	None	Q25263	OpenTapioca
rotò	None	Q23397	OpenTapioca
Latè	None	Q2	OpenTapioca
L'Anse aux Meadows	None	Q189113	OpenTapioca
Bojador	None	Q599897	OpenTapioca
Sahara	None	Q40362	OpenTapioca
Gil Eanes	None	Q360391	OpenTapioca
Lenn	None	Q23397	OpenTapioca
Christophe Colomb	None	Q7322	OpenTapioca
Léròp	None	Q46	OpenTapioca
Létazini	None	Q30	OpenTapioca
Loséyan Endjen	None	Q1239	OpenTapioca
Lenn	None	Q23397	OpenTapioca
Liran	None	Q794	OpenTapioca
Pakistan	None	Q843	OpenTapioca
Lenn	None	Q23397	OpenTapioca
