Text	Wiki_ID	Wikidata_ID	Source
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
almanak gregoryen	3304	Q12138	Wikipedia
nonm	4210	Q11563	Wikipedia
