Text	Wiki_ID	Wikidata_ID	Source
Naat Amoerka	994	Q49	Wikipedia
Washintan D.C.	1509	Q61	Wikipedia
Atlantik Uoshan	157	Q97	Wikipedia
Kianada	728	Q16	Wikipedia
Mexiko	927	Q96	Wikipedia
Rosha	1201	Q159	Wikipedia
Kuol Waar	770	Q8683	Wikipedia
Joerman	665	Q188	Wikipedia
Itali	625	Q38	Wikipedia
Spien	1332	Q29	Wikipedia
Wah	None	Q17070284	OpenTapioca
Yunaitid Stiet	None	Q30	OpenTapioca
Yunaitid Stiet	None	Q30	OpenTapioca
Panish	1071	Q1321	Wikipedia
ina	None	Q1665109	OpenTapioca
French	446	Q150	Wikipedia
rilijan	1190	Q9174	Wikipedia
rais	1160	Q5090	Wikipedia
wiit	1517	Q15645384	Wikipedia
Afrika	50	Q15	Wikipedia
gens	None	Q899409	OpenTapioca
mek	None	Q96	OpenTapioca
ina	None	Q1665109	OpenTapioca
Yunaitid Stiet	None	Q30	OpenTapioca
ina	None	Q1665109	OpenTapioca
Ingglish	592	Q1860	Wikipedia
Panish	1071	Q1321	Wikipedia
British Empaya	248	Q8680	Wikipedia
Kiaribiyan	732	Q664609	Wikipedia
Yunaitid Stiet	1543	Q30	Wikipedia
Sanskrit	1237	Q11059	Wikipedia
India	580	Q668	Wikipedia
Induizim	589	Q9089	Wikipedia
Budizim	257	Q748	Wikipedia
Jainizim	641	Q9232	Wikipedia
Amoerkaz	110	Q828	Wikipedia
Kyuuba	779	Q241	Wikipedia
Sout Amoerka	1327	Q18	Wikipedia
Sout Amoerka	1327	Q18	Wikipedia
Aajentiina	28	Q414	Wikipedia
Brazil	244	Q155	Wikipedia
Atlantik Uoshan	157	Q97	Wikipedia
Surinam	1356	Q730	Wikipedia
Jumieka	681	Q766	Wikipedia
Biejing	210	Q956	Wikipedia
Kiev	739	Q1899	Wikipedia
Itali	625	Q38	Wikipedia
Renesans	1175	Q4692	Wikipedia
grama	508	Q8091	Wikipedia
ischri	601	Q309	Wikipedia
puoychri	1149	Q482	Wikipedia
Landan	793	Q84	Wikipedia
Wol Waar II	1528	Q362	Wikipedia
Ingglish	592	Q1860	Wikipedia
Kinston	None	Q34692	OpenTapioca
Instityuut a Jumieka	2696	Q6040469	Wikipedia
Landan	None	Q84	OpenTapioca
Landan	None	Q84	OpenTapioca
Jumieka	None	Q766	OpenTapioca
Ingglan	None	Q21	OpenTapioca
Landan	None	Q84	OpenTapioca
ina	None	Q1665109	OpenTapioca
ina	None	Q1665109	OpenTapioca
Ingglan	None	Q21	OpenTapioca
ina	None	Q1665109	OpenTapioca
put	None	Q34442	OpenTapioca
ina	None	Q1665109	OpenTapioca
Ingglan	None	Q21	OpenTapioca
League of Coloured Peoples	None	Q6509014	OpenTapioca
Ingglan	None	Q21	OpenTapioca
Istanbul	624	Q406	Wikipedia
Jumieka	None	Q766	OpenTapioca
Jumieka	None	Q766	OpenTapioca
Kinston	None	Q34692	OpenTapioca
Kinston	None	Q34692	OpenTapioca
Jumieka	None	Q766	OpenTapioca
ina	None	Q1665109	OpenTapioca
ina	None	Q1665109	OpenTapioca
Little Brown	None	Q552959	OpenTapioca
Luwiiz Benit	850	Q965821	Wikipedia
Landan	None	Q84	OpenTapioca
London	None	Q84	OpenTapioca
Ingglan	None	Q21	OpenTapioca
Ingglan	None	Q21	OpenTapioca
Ingglan	None	Q21	OpenTapioca
Jumieka	None	Q766	OpenTapioca
Ingglan	None	Q21	OpenTapioca
Ingglan	None	Q21	OpenTapioca
