Text	Wiki_ID	Wikidata_ID	Source
1969	4270	Q2485	Wikipedia
Kòrsou	5	Q25279	Wikipedia
Cola Debrot	8446	Q4352785	Wikipedia
Kòrsou	None	Q25279	OpenTapioca
papiamentu	1451	Q33856	Wikipedia
Oropa	2099	Q46	Wikipedia
Fidel Castro	8337	Q11256	Wikipedia
Black Power	7368	Q880483	Wikipedia
Jamaica	2611	Q766	Wikipedia
Trinidad i Tobago	1946	Q754	Wikipedia
Barbados	2210	Q244	Wikipedia
Cinelandia	8832	Q57316139	Wikipedia
Punda	2019	Q1967884	Wikipedia
A	None	Q48	OpenTapioca
Coca-Cola	None	Q3295867	OpenTapioca
Texas Instruments	None	Q193412	OpenTapioca
Texas	None	Q1439	OpenTapioca
SKS	None	Q25271	OpenTapioca
ruta	None	Q34442	OpenTapioca
Orlando	None	Q49233	OpenTapioca
kordon	None	Q1784293	OpenTapioca
Papa" Godett	None	Q1941062	OpenTapioca
Papa Godett	None	Q1941062	OpenTapioca
parti	None	Q7278	OpenTapioca
Papa	None	Q19546	OpenTapioca
parti	None	Q7278	OpenTapioca
parti	None	Q7278	OpenTapioca
SKS	None	Q25271	OpenTapioca
Werkspoor	None	Q2373726	OpenTapioca
Aruba	1408	Q21203	Wikipedia
Oropa	2099	Q46	Wikipedia
kapital	2788	Q5119	Wikipedia
Praga	6521	Q1085	Wikipedia
Osasco	4121	Q4035	Wikipedia
São Paulo	3204	Q174	Wikipedia
Brazil	1835	Q155	Wikipedia
Rio de Janeiro	3206	Q8678	Wikipedia
Brazil	1835	Q155	Wikipedia
Ingles	2529	Q1860	Wikipedia
Ingles	2529	Q1860	Wikipedia
Queen	5236	Q15862	Wikipedia
Kòrsou	None	Q25279	OpenTapioca
Den Sekreto	None	Q25702582	OpenTapioca
úniko	None	Q305997	OpenTapioca
mas	None	Q585956	OpenTapioca
mas	None	Q585956	OpenTapioca
Pero	None	Q419	OpenTapioca
Pero	None	Q419	OpenTapioca
Nan	None	Q34442	OpenTapioca
dos	None	Q6851276	OpenTapioca
mas	None	Q585956	OpenTapioca
Te	None	Q43407	OpenTapioca
Pero	None	Q419	OpenTapioca
Pero	None	Q419	OpenTapioca
echo	None	Q99223420	OpenTapioca
Nan	None	Q34442	OpenTapioca
ken	None	Q1107006	OpenTapioca
ken	None	Q1107006	OpenTapioca
Pero	None	Q419	OpenTapioca
Den Sekreto	None	Q25702582	OpenTapioca
Den Sekreto	None	Q25702582	OpenTapioca
Telecuracao	None	Q3155879	OpenTapioca
FM	None	Q702	OpenTapioca
93.3 FM	None	Q7949378	OpenTapioca
kapital	2788	Q5119	Wikipedia
New York	3309	Q1384	Wikipedia
Estadonan Uni di Merka	3205	Q30	Wikipedia
