Text	Wiki_ID	Wikidata_ID	Source
Afreka	1377	Q15	Wikipedia
Erabek	1672	Q13955	Wikipedia
Etlantic Oshen	2239	Q97	Wikipedia
ailen	2122	Q23442	Wikipedia
Pesifik Oshen	1857	Q98	Wikipedia
Ostrielya	1905	Q408	Wikipedia
Nyuu Ziilan	2496	Q664	Wikipedia
Nyuu Kaledonya	4926	Q33788	Wikipedia
Pitkern Ailen	13	Q35672	Wikipedia
Tasman Sii	4827	Q33254	Wikipedia
Pesifik Oshen	1857	Q98	Wikipedia
Ostrielya	1905	Q408	Wikipedia
Nyuu Ziilan	2496	Q664	Wikipedia
riveh	4916	Q4022	Wikipedia
Maun Biets	4503	Q1361458	Wikipedia
Kingston	2384	Q30963	Wikipedia
Ban Pain	4145	Q2740764	Wikipedia
Norfuk Ailen	None	Q31057	OpenTapioca
Nyuu Ziilan	None	Q664	OpenTapioca
James Cook	4917	Q7324	Wikipedia
Philip Gidley King	4113	Q725880	Wikipedia
Ostrielya	1905	Q408	Wikipedia
ailen	2122	Q23442	Wikipedia
Pesifik Oshen	1857	Q98	Wikipedia
Adamstoen	1829	Q48273	Wikipedia
Pitkern Ailen	None	Q35672	OpenTapioca
Pitkern	None	Q35672	OpenTapioca
Pitkern	None	Q35672	OpenTapioca
Adventist	None	Q104319	OpenTapioca
et's	None	Q115	OpenTapioca
Adventist	None	Q215168	OpenTapioca
Pitkerna	None	Q35672	OpenTapioca
Adventism	None	Q215168	OpenTapioca
A	None	Q48	OpenTapioca
Pitkerna	None	Q35672	OpenTapioca
A	None	Q48	OpenTapioca
pastor	None	Q96236305	OpenTapioca
pastor	None	Q96236305	OpenTapioca
Asya	2236	Q48	Wikipedia
saiens	1888	Q336	Wikipedia
laenghwij	2058	Q315	Wikipedia
Hiibruu	1863	Q9288	Wikipedia
Auramaik	3030	Q28602	Wikipedia
Medl Eist	4971	Q48214	Wikipedia
laenghwij	2058	Q315	Wikipedia
God	2591	Q190	Wikipedia
Norfuk	2353	Q33797	Wikipedia
Pitkern	2567	Q36554	Wikipedia
Asya	2236	Q48	Wikipedia
Poelish	3150	Q809	Wikipedia
Midl Urup	5011	Q27509	Wikipedia
Worsaaw	1934	Q270	Wikipedia
Norfuk Ailen	12	Q31057	Wikipedia
Pitkern Ailen	13	Q35672	Wikipedia
Pitkern	None	Q35672	OpenTapioca
haan	None	Q92553521	OpenTapioca
Kam ye	None	Q874676	OpenTapioca
dan	None	Q16867873	OpenTapioca
dan	None	Q16867873	OpenTapioca
ailen	2122	Q23442	Wikipedia
Pitkern Ailen	13	Q35672	Wikipedia
Pitkern Ailen	None	Q35672	OpenTapioca
Pitkerna	None	Q35672	OpenTapioca
Yunitid Kingdum	2151	Q145	Wikipedia
Asya	2236	Q48	Wikipedia
Ostrielya	1905	Q408	Wikipedia
North Merika	2581	Q49	Wikipedia
laenghwij	2058	Q315	Wikipedia
Medl Eist	4971	Q48214	Wikipedia
Jua	2592	Q7325	Wikipedia
Esrail	2015	Q801	Wikipedia
Erabek	1672	Q13955	Wikipedia
Auramaik	3030	Q28602	Wikipedia
Yunitid Kingdum	2151	Q145	Wikipedia
London	3804	Q84	Wikipedia
Skotlund	2288	Q22	Wikipedia
Waals	3312	Q25	Wikipedia
saiens	1888	Q336	Wikipedia
A	None	Q48	OpenTapioca
saiens	1888	Q336	Wikipedia
plaant	3880	Q756	Wikipedia
Leten	4913	Q397	Wikipedia
ailen	2122	Q23442	Wikipedia
Pesifik Oshen	1857	Q98	Wikipedia
Pitkern Ailen	13	Q35672	Wikipedia
ailen	2122	Q23442	Wikipedia
Pesifik Oshen	1857	Q98	Wikipedia
Pitkern Ailen	13	Q35672	Wikipedia
rilijin	2590	Q9174	Wikipedia
Jesus	1979	Q302	Wikipedia
God	2591	Q190	Wikipedia
kreschen	3082	Q106039	Wikipedia
Medl Eist	4971	Q48214	Wikipedia
Osheania	4696	Q538	Wikipedia
Ostrielya	1905	Q408	Wikipedia
Norfuk Ailen	12	Q31057	Wikipedia
Papua Nyuu Gini	2779	Q691	Wikipedia
Indien Oshen	2283	Q1239	Wikipedia
Erth	2417	Q2	Wikipedia
